"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1' SCBias_length='18mm' SCGround_length='18mm'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1' SCBias_length='18mm' SCGround_length='18mm'"
1.626,-13.6230607087407,-0.677320349708374
1.627,-13.6399787046734,-0.676522382192141
1.628,-13.6568950458587,-0.675727934810501
1.629,-13.6738096469203,-0.674936996142249
1.63,-13.690722422145,-0.674149554791048
1.631,-13.707633285482,-0.673365599385471
1.632,-13.7245421505426,-0.67258511857901
1.633,-13.7414489305984,-0.671808101050119
1.634,-13.7583535385818,-0.671034535502208
1.635,-13.7752558870849,-0.670264410663687
1.636,-13.7921558883587,-0.669497715287963
1.637,-13.8090534543122,-0.668734438153492
1.638,-13.8259484965126,-0.667974568063757
1.639,-13.842840926184,-0.667218093847333
1.64,-13.8597306542065,-0.666465004357862
1.641,-13.8766175911163,-0.665715288474124
1.642,-13.8935016471046,-0.6649689351
1.643,-13.9103827320173,-0.664225933164512
1.644,-13.9272607553537,-0.663486271621873
1.645,-13.944135626267,-0.662749939451444
1.646,-13.9610072535624,-0.662016925657802
1.647,-13.9778755456977,-0.661287219270725
1.648,-13.9947404107821,-0.660560809345236
1.649,-14.0116017565754,-0.659837684961587
1.65,-14.028459490488,-0.659117835225305
1.651,-14.0453135195802,-0.658401249267186
1.652,-14.0621637505614,-0.657687916243323
1.653,-14.0790100897894,-0.656977825335104
1.654,-14.0958524432707,-0.656270965749259
1.655,-14.1126907166591,-0.655567326717825
1.656,-14.1295248152556,-0.654866897498229
1.657,-14.1463546440077,-0.654169667373219
1.658,-14.1631801075091,-0.653475625650935
1.659,-14.1800011099992,-0.652784761664909
1.66,-14.1968175553622,-0.652097064774068
1.661,-14.2136293471273,-0.651412524362756
1.662,-14.2304363884677,-0.65073112984074
1.663,-14.2472385822004,-0.650052870643216
1.664,-14.2640358307857,-0.649377736230842
1.665,-14.2808280363267,-0.648705716089713
1.666,-14.297615100569,-0.648036799731415
1.667,-14.3143969249004,-0.647370976692993
1.668,-14.3311734103499,-0.646708236536994
1.669,-14.347944457588,-0.64604856885145
1.67,-14.364709966926,-0.64539196324992
1.671,-14.3814698383158,-0.644738409371456
1.672,-14.3982239713492,-0.644087896880648
1.673,-14.4149722652579,-0.643440415467617
1.674,-14.4317146189131,-0.642795954848018
1.675,-14.4484509308249,-0.642154504763066
1.676,-14.4651810991424,-0.641516054979518
1.677,-14.481905021653,-0.640880595289706
1.678,-14.4986225957825,-0.640248115511526
1.679,-14.5153337185946,-0.639618605488452
1.68,-14.5320382867906,-0.638992055089534
1.681,-14.5487361967089,-0.638368454209413
1.682,-14.5654273443257,-0.637747792768324
1.683,-14.5821116252536,-0.637130060712099
1.684,-14.5987889347422,-0.636515248012175
1.685,-14.6154591676774,-0.635903344665605
1.686,-14.6321222185818,-0.635294340695032
1.687,-14.6487779816135,-0.634688226148732
1.688,-14.6654263505674,-0.634084991100599
1.689,-14.6820672188736,-0.633484625650147
1.69,-14.6987004795983,-0.632887119922519
1.691,-14.7153260254427,-0.632292464068478
1.692,-14.7319437487445,-0.631700648264437
1.693,-14.7485535414757,-0.631111662712422
1.694,-14.7651552952442,-0.630525497640112
1.695,-14.7817489012931,-0.629942143300812
1.696,-14.7983342505005,-0.62936158997347
1.697,-14.8149112333798,-0.628783827962673
1.698,-14.8314797400796,-0.628208847598647
1.699,-14.8480396603834,-0.627636639237264
1.7,-14.8645908837099,-0.627067193260034
1.701,-14.8811332991133,-0.626500500074106
1.702,-14.8976667952825,-0.625936550112272
1.703,-14.9141912605421,-0.625375333832967
1.704,-14.930706582852,-0.624816841720258
1.705,-14.9472126498073,-0.62426106428386
1.706,-14.9637093486388,-0.623707992059118
1.707,-14.9801965662131,-0.623157615607008
1.708,-14.9966741890324,-0.622609925514148
1.709,-15.0131421032351,-0.622064912392783
1.71,-15.0296001945955,-0.621522566880784
1.711,-15.0460483485245,-0.620982879641648
1.712,-15.0624864500694,-0.620445841364494
1.713,-15.0789143839142,-0.619911442764067
1.714,-15.0953320343804,-0.619379674580709
1.715,-15.1117392854264,-0.618850527580392
1.716,-15.1281360206482,-0.61832399255469
1.717,-15.1445221232799,-0.617800060320769
1.718,-15.1608974761933,-0.617278721721403
1.719,-15.1772619618997,-0.616759967624961
1.72,-15.1936154625483,-0.616243788925389
1.721,-15.2099578599283,-0.615730176542227
1.722,-15.2262890354682,-0.615219121420579
1.723,-15.2426088702367,-0.614710614531133
1.724,-15.2589172449431,-0.614204646870133
1.725,-15.2752140399377,-0.613701209459378
1.726,-15.2914991352121,-0.613200293346222
1.727,-15.3077724104001,-0.612701889603559
1.728,-15.3240337447779,-0.612205989329832
1.729,-15.3402830172647,-0.611712583648997
1.73,-15.3565201064232,-0.611221663710542
1.731,-15.3727448904607,-0.610733220689464
1.732,-15.3889572472286,-0.610247245786264
1.733,-15.4051570542242,-0.609763730226945
1.734,-15.4213441885905,-0.609282665262989
1.735,-15.4375185271175,-0.608804042171356
1.736,-15.4536799462427,-0.608327852254493
1.737,-15.4698283220511,-0.607854086840294
1.738,-15.4859635302771,-0.607382737282093
1.739,-15.5020854463045,-0.606913794958693
1.74,-15.5181939451675,-0.606447251274287
1.741,-15.5342889015513,-0.605983097658528
1.742,-15.5503701897935,-0.605521325566461
1.743,-15.5664376838842,-0.605061926478517
1.744,-15.5824912574673,-0.604604891900531
1.745,-15.5985307838415,-0.604150213363713
1.746,-15.6145561359609,-0.60369788242463
1.747,-15.6305671864357,-0.6032478906652
1.748,-15.6465638075344,-0.602800229692686
1.749,-15.6625458711831,-0.602354891139681
1.75,-15.678513248968,-0.601911866664094
1.751,-15.6944658121355,-0.601471147949118
1.752,-15.7104034315932,-0.601032726703262
1.753,-15.7263259779124,-0.600596594660301
1.754,-15.742233321327,-0.600162743579263
1.755,-15.7581253317367,-0.599731165244441
1.756,-15.7740018787069,-0.599301851465359
1.757,-15.7898628314702,-0.598874794076756
1.758,-15.8057080589279,-0.598449984938585
1.759,-15.8215374296512,-0.598027415935992
1.76,-15.837350811882,-0.597607078979298
1.761,-15.8531480735347,-0.597188966003992
1.762,-15.8689290821973,-0.596773068970697
1.763,-15.8846937051331,-0.596359379865193
1.764,-15.900441809281,-0.595947890698357
1.765,-15.9161732612591,-0.595538593506174
1.766,-15.9318879273634,-0.595131480349708
1.767,-15.9475856735711,-0.594726543315113
1.768,-15.9632663655421,-0.59432377451358
1.769,-15.9789298686191,-0.593923166081323
1.77,-15.9945760478309,-0.593524710179611
1.771,-16.0102047678925,-0.593128398994682
1.772,-16.0258158932079,-0.59273422473778
1.773,-16.0414092878711,-0.592342179645108
1.774,-16.0569848156674,-0.591952255977823
1.775,-16.0725423400762,-0.591564446022011
1.776,-16.0880817242719,-0.591178742088677
1.777,-16.1036028311255,-0.59079513651372
1.778,-16.119105523207,-0.590413621657921
1.779,-16.1345896627871,-0.590034189906916
1.78,-16.1500551118386,-0.589656833671177
1.781,-16.1655017320384,-0.589281545386018
1.782,-16.1809293847701,-0.588908317511533
1.783,-16.1963379311251,-0.588537142532608
1.784,-16.2117272319047,-0.588168012958899
1.785,-16.2270971476225,-0.587800921324801
1.786,-16.242447538506,-0.587435860189433
1.787,-16.2577782644991,-0.587072822136616
1.788,-16.2730891852635,-0.586711799774866
1.789,-16.2883801601817,-0.586352785737349
1.79,-16.3036510483585,-0.585995772681884
1.791,-16.3189017086234,-0.585640753290905
1.792,-16.3341319995329,-0.585287720271455
1.793,-16.3493417793723,-0.584936666355151
1.794,-16.3645309061587,-0.584587584298171
1.795,-16.3796992376431,-0.584240466881237
1.796,-16.3948466313122,-0.583895306909576
1.797,-16.4099729443912,-0.583552097212914
1.798,-16.4250780338465,-0.583210830645456
1.799,-16.4401617563875,-0.58287150008584
1.8,-16.4552239684698,-0.582534098437145
1.801,-16.4702645262969,-0.58219861862685
1.802,-16.4852832858235,-0.581865053606825
1.803,-16.5002801027574,-0.581533396353287
1.804,-16.5152548325627,-0.581203639866789
1.805,-16.5302073304624,-0.580875777172216
1.806,-16.5451374514404,-0.580549801318719
1.807,-16.560045050245,-0.580225705379731
1.808,-16.5749299813912,-0.579903482452918
1.809,-16.5897920991638,-0.579583125660181
1.81,-16.60463125762,-0.579264628147597
1.811,-16.619447310592,-0.578947983085425
1.812,-16.6342401116909,-0.578633183668064
1.813,-16.6490095143077,-0.578320223114044
1.814,-16.6637553716187,-0.578009094665982
1.815,-16.6784775365864,-0.57769979159058
1.816,-16.6931758619638,-0.577392307178573
1.817,-16.7078502002966,-0.577086634744733
1.818,-16.7225004039276,-0.576782767627818
1.819,-16.7371263249975,-0.576480699190571
1.82,-16.7517278154507,-0.576180422819669
1.821,-16.7663047270371,-0.575881931925713
1.822,-16.7808569113152,-0.57558521994321
1.823,-16.7953842196558,-0.575290280330521
1.824,-16.8098865032454,-0.574997106569864
1.825,-16.8243636130893,-0.574705692167259
1.826,-16.8388154000149,-0.574416030652537
1.827,-16.8532417146753,-0.574128115579269
1.828,-16.8676424075529,-0.573841940524783
1.829,-16.8820173289625,-0.573557499090104
1.83,-16.8963663290548,-0.57327478489996
1.831,-16.9106892578204,-0.572993791602712
1.832,-16.9249859650934,-0.572714512870364
1.833,-16.9392563005545,-0.572436942398517
1.834,-16.9535001137345,-0.572161073906357
1.835,-16.9677172540194,-0.571886901136606
1.836,-16.9819075706524,-0.571614417855505
1.837,-16.9960709127387,-0.571343617852794
1.838,-17.0102071292493,-0.571074494941676
1.839,-17.0243160690241,-0.570807042958776
1.84,-17.0383975807767,-0.570541255764148
1.841,-17.0524515130977,-0.570277127241209
1.842,-17.066477714459,-0.570014651296725
1.843,-17.0804760332175,-0.569753821860792
1.844,-17.0944463176193,-0.5694946328868
1.845,-17.1083884158037,-0.569237078351395
1.846,-17.1223021758074,-0.568981152254464
1.847,-17.1361874455686,-0.568726848619092
1.848,-17.150044072931,-0.568474161491555
1.849,-17.1638719056481,-0.568223084941259
1.85,-17.1776707913875,-0.567973613060745
1.851,-17.1914405777355,-0.56772573996562
1.852,-17.2051811122003,-0.567479459794572
1.853,-17.2188922422178,-0.567234766709308
1.854,-17.2325738151551,-0.566991654894534
1.855,-17.2462256783149,-0.566750118557925
1.856,-17.2598476789402,-0.566510151930094
1.857,-17.2734396642192,-0.566271749264557
1.858,-17.2870014812888,-0.56603490483772
1.859,-17.30053297724,-0.565799612948831
1.86,-17.3140339991222,-0.565565867919943
1.861,-17.327504393948,-0.565333664095912
1.862,-17.3409440086973,-0.565102995844343
1.863,-17.3543526903233,-0.564873857555562
1.864,-17.3677302857551,-0.564646243642585
1.865,-17.381076641905,-0.564420148541109
1.866,-17.3943916056715,-0.564195566709441
1.867,-17.4076750239444,-0.563972492628495
1.868,-17.4209267436104,-0.56375092080175
1.869,-17.4341466115572,-0.563530845755231
1.87,-17.4473344746795,-0.563312262037456
1.871,-17.4604901798825,-0.563095164219423
1.872,-17.4736135740879,-0.562879546894566
1.873,-17.4867045042391,-0.562665404678735
1.874,-17.4997628173055,-0.562452732210154
1.875,-17.5127883602882,-0.562241524149394
1.876,-17.5257809802251,-0.562031775179333
1.877,-17.5387405241956,-0.561823480005137
1.878,-17.5516668393265,-0.561616633354211
1.879,-17.5645597727967,-0.561411229976186
1.88,-17.5774191718427,-0.561207264642872
1.881,-17.590244883764,-0.561004732148226
1.882,-17.603036755928,-0.560803627308326
1.883,-17.615794635776,-0.560603944961338
1.884,-17.6285183708281,-0.560405679967467
1.885,-17.6412078086889,-0.560208827208952
1.886,-17.6538627970528,-0.560013381590009
1.887,-17.6664831837096,-0.559819338036812
1.888,-17.67906881655,-0.559626691497446
1.889,-17.6916195435711,-0.559435436941892
1.89,-17.704135212882,-0.559245569361968
1.891,-17.7166156727095,-0.559057083771331
1.892,-17.7290607714037,-0.558869975205408
1.893,-17.7414703574435,-0.558684238721385
1.894,-17.7538442794427,-0.558499869398156
1.895,-17.7661823861552,-0.558316862336312
1.896,-17.7784845264811,-0.558135212658085
1.897,-17.7907505494727,-0.557954915507323
1.898,-17.8029803043396,-0.557775966049468
1.899,-17.8151736404552,-0.557598359471486
1.9,-17.8273304073624,-0.557422090981879
1.901,-17.8394504547792,-0.557247155810616
1.902,-17.851533632605,-0.557073549209117
1.903,-17.8635797909265,-0.556901266450203
1.904,-17.8755887800233,-0.556730302828082
1.905,-17.8875604503741,-0.556560653658296
1.906,-17.8994946526631,-0.556392314277696
1.907,-17.9113912377856,-0.556225280044405
1.908,-17.9232500568541,-0.556059546337777
1.909,-17.9350709612045,-0.555895108558383
1.91,-17.9468538024023,-0.555731962127938
1.911,-17.9585984322485,-0.555570102489314
1.912,-17.9703047027858,-0.555409525106461
1.913,-17.981972466305,-0.5552502254644
1.914,-17.9936015753513,-0.555092199069181
1.915,-18.0051918827298,-0.554935441447837
1.916,-18.0167432415127,-0.554779948148366
1.917,-18.0282555050449,-0.554625714739678
1.918,-18.0397285269503,-0.554472736811578
1.919,-18.0511621611389,-0.554321009974708
1.92,-18.0625562618118,-0.55417052986054
1.921,-18.0739106834689,-0.554021292121308
1.922,-18.0852252809142,-0.55387329243001
1.923,-18.0964999092628,-0.553726526480329
1.924,-18.1077344239469,-0.553580989986633
1.925,-18.1189286807228,-0.553436678683928
1.926,-18.1300825356764,-0.553293588327805
1.927,-18.1411958452308,-0.553151714694428
1.928,-18.1522684661517,-0.553011053580496
1.929,-18.1633002555543,-0.552871600803193
1.93,-18.1742910709102,-0.552733352200147
1.931,-18.1852407700529,-0.55259630362943
1.932,-18.1961492111856,-0.552460450969481
1.933,-18.2070162528864,-0.552325790119079
1.934,-18.217841754116,-0.552192316997341
1.935,-18.2286255742233,-0.552060027543631
1.936,-18.2393675729526,-0.551928917717559
1.937,-18.2500676104501,-0.551798983498953
1.938,-18.26072554727,-0.551670220887779
1.939,-18.2713412443814,-0.55154262590415
1.94,-18.2819145631753,-0.551416194588268
1.941,-18.2924453654704,-0.551290923000385
1.942,-18.3029335135206,-0.551166807220777
1.943,-18.3133788700207,-0.5510438433497
1.944,-18.3237812981136,-0.550922027507358
1.945,-18.334140661397,-0.550801355833857
1.946,-18.3444568239297,-0.550681824489183
1.947,-18.3547296502381,-0.550563429653147
1.948,-18.3649590053236,-0.550446167525372
1.949,-18.3751447546687,-0.550330034325223
1.95,-18.3852867642432,-0.550215026291807
1.951,-18.395384900512,-0.55010113968391
1.952,-18.4054390304408,-0.549988370779965
1.953,-18.415449021503,-0.549876715878021
1.954,-18.4254147416867,-0.549766171295706
1.955,-18.4353360595008,-0.54965673337018
1.956,-18.4452128439819,-0.549548398458111
1.957,-18.4550449647012,-0.549441162935622
1.958,-18.4648322917706,-0.549335023198272
1.959,-18.4745746958502,-0.54922997566101
1.96,-18.4842720481539,-0.549126016758123
1.961,-18.4939242204562,-0.549023142943228
1.962,-18.5035310851002,-0.54892135068922
1.963,-18.513092515002,-0.54882063648822
1.964,-18.5226083836593,-0.54872099685157
1.965,-18.5320785651568,-0.548622428309751
1.966,-18.5415029341734,-0.548524927412401
1.967,-18.5508813659882,-0.548428490728233
1.968,-18.5602137364878,-0.548333114845009
1.969,-18.5694999221724,-0.548238796369519
1.97,-18.5787398001625,-0.548145531927512
1.971,-18.5879332482052,-0.548053318163698
1.972,-18.5970801446813,-0.547962151741674
1.973,-18.6061803686111,-0.547872029343902
1.974,-18.6152337996616,-0.547782947671681
1.975,-18.6242403181525,-0.547694903445089
1.976,-18.6331998050627,-0.547607893402961
1.977,-18.6421121420374,-0.547521914302835
1.978,-18.6509772113934,-0.547436962920945
1.979,-18.6597948961265,-0.547353036052139
1.98,-18.6685650799176,-0.547270130509882
1.981,-18.677287647139,-0.547188243126201
1.982,-18.6859624828607,-0.547107370751634
1.983,-18.6945894728572,-0.54702751025521
1.984,-18.7031685036131,-0.546948658524419
1.985,-18.7116994623301,-0.546870812465153
1.986,-18.7201822369328,-0.546793969001664
1.987,-18.7286167160753,-0.546718125076567
1.988,-18.7370027891474,-0.546643277650751
1.989,-18.7453403462801,-0.546569423703365
1.99,-18.7536292783533,-0.546496560231794
1.991,-18.7618694769999,-0.546424684251587
1.992,-18.7700608346141,-0.546353792796451
1.993,-18.7782032443558,-0.546283882918196
1.994,-18.7862966001577,-0.546214951686706
1.995,-18.7943407967308,-0.54614699618988
1.996,-18.8023357295704,-0.546080013533625
1.997,-18.8102812949628,-0.546014000841799
1.998,-18.8181773899902,-0.545948955256168
1.999,-18.8260239125375,-0.54588487393639
2,-18.8338207612976,-0.54582175405995
2.001,-18.8415678357776,-0.545759592822152
2.002,-18.8492650363045,-0.545698387436042
2.003,-18.8569122640309,-0.545638135132409
2.004,-18.864509420941,-0.545578833159725
2.005,-18.8720564098558,-0.545520478784107
2.006,-18.8795531344396,-0.545463069289291
2.007,-18.8869994992046,-0.545406601976581
2.008,-18.8943954095177,-0.545351074164821
2.009,-18.9017407716046,-0.545296483190341
2.01,-18.9090354925566,-0.545242826406949
2.011,-18.9162794803357,-0.545190101185855
2.012,-18.9234726437797,-0.545138304915661
2.013,-18.9306148926076,-0.545087435002315
2.014,-18.9377061374255,-0.545037488869063
2.015,-18.9447462897316,-0.544988463956426
2.016,-18.951735261921,-0.544940357722154
2.017,-18.9586729672918,-0.54489316764119
2.018,-18.9655593200494,-0.544846891205622
2.019,-18.9723942353125,-0.544801525924664
2.02,-18.9791776291169,-0.544757069324606
2.021,-18.9859094184223,-0.544713518948765
2.022,-18.9925895211155,-0.544670872357475
2.023,-18.9992178560165,-0.544629127128028
2.024,-19.0057943428829,-0.544588280854633
2.025,-19.012318902415,-0.544548331148392
2.026,-19.01879145626,-0.544509275637255
2.027,-19.0252119270175,-0.544471111965978
2.028,-19.0315802382437,-0.544433837796102
2.029,-19.0378963144558,-0.54439745080588
2.03,-19.0441600811376,-0.544361948690279
2.031,-19.0503714647425,-0.54432732916092
2.032,-19.0565303926991,-0.544293589946039
2.033,-19.0626367934154,-0.544260728790454
2.034,-19.0686905962825,-0.54422874345553
2.035,-19.07469173168,-0.544197631719134
2.036,-19.0806401309789,-0.544167391375599
2.037,-19.086535726547,-0.544138020235694
2.038,-19.0923784517525,-0.544109516126573
2.039,-19.0981682409675,-0.544081876891746
2.04,-19.1039050295729,-0.544055100391031
2.041,-19.109588753962,-0.544029184500529
2.042,-19.1152193515442,-0.544004127112587
2.043,-19.1207967607489,-0.543979926135735
2.044,-19.1263209210293,-0.543956579494679
2.045,-19.1317917728659,-0.543934085130249
2.046,-19.1372092577708,-0.543912440999356
2.047,-19.1425733182902,-0.543891645074963
2.048,-19.1478838980088,-0.543871695346046
2.049,-19.1531409415526,-0.543852589817553
2.05,-19.1583443945926,-0.543834326510358
2.051,-19.1634942038481,-0.543816903461258
2.052,-19.1685903170898,-0.543800318722872
2.053,-19.1736326831431,-0.543784570363673
2.054,-19.178621251891,-0.543769656467906
2.055,-19.1835559742774,-0.54375557513555
2.056,-19.18843680231,-0.543742324482305
2.057,-19.1932636890626,-0.543729902639546
2.058,-19.198036588679,-0.543718307754265
2.059,-19.2027554563752,-0.543707537989059
2.06,-19.2074202484417,-0.543697591522076
2.061,-19.2120309222468,-0.543688466546994
2.062,-19.2165874362387,-0.543680161272959
2.063,-19.2210897499483,-0.543672673924562
2.064,-19.2255378239913,-0.543666002741811
2.065,-19.2299316200708,-0.543660145980066
2.066,-19.2342711009793,-0.543655101910038
2.067,-19.2385562306013,-0.543650868817709
2.068,-19.2427869739148,-0.543647445004334
2.069,-19.2469632969938,-0.543644828786375
2.07,-19.2510851670105,-0.54364301849548
2.071,-19.2551525522366,-0.543642012478437
2.072,-19.2591654220452,-0.543641809097142
2.073,-19.2631237469132,-0.54364240672855
2.074,-19.2670274984222,-0.543643803764661
2.075,-19.2708766492608,-0.543645998612456
2.076,-19.2746711732253,-0.543648989693872
2.077,-19.2784110452222,-0.543652775445774
2.078,-19.2820962412684,-0.543657354319896
2.079,-19.2857267384935,-0.543662724782823
2.08,-19.2893025151408,-0.543668885315939
2.081,-19.2928235505679,-0.543675834415407
2.082,-19.2962898252484,-0.543683570592104
2.083,-19.2997013207727,-0.543692092371629
2.084,-19.3030580198489,-0.543701398294203
2.085,-19.3063599063038,-0.543711486914698
2.086,-19.3096069650831,-0.543722356802553
2.087,-19.3127991822532,-0.543734006541753
2.088,-19.3159365450009,-0.543746434730794
2.089,-19.3190190416338,-0.543759639982642
2.09,-19.3220466615819,-0.543773620924702
2.091,-19.3250193953969,-0.543788376198769
2.092,-19.3279372347529,-0.543803904461
2.093,-19.3308001724467,-0.543820204381881
2.094,-19.3336082023982,-0.543837274646181
2.095,-19.3363613196495,-0.543855113952913
2.096,-19.3390595203664,-0.54387372101531
2.097,-19.341702801837,-0.543893094560777
2.098,-19.3442911624723,-0.543913233330864
2.099,-19.3468246018057,-0.543934136081207
2.1,-19.349303120493,-0.543955801581531
2.101,-19.3517267203115,-0.543978228615571
2.102,-19.3540954041601,-0.544001415981064
2.103,-19.3564091760584,-0.544025362489696
2.104,-19.3586680411463,-0.544050066967074
2.105,-19.3608720056834,-0.544075528252689
2.106,-19.3630210770477,-0.544101745199876
2.107,-19.3651152637354,-0.544128716675782
2.108,-19.3671545753599,-0.544156441561322
2.109,-19.3691390226505,-0.544184918751151
2.11,-19.3710686174516,-0.544214147153619
2.111,-19.3729433727213,-0.54424412569075
2.112,-19.3747633025307,-0.54427485329818
2.113,-19.3765284220621,-0.544306328925149
2.114,-19.3782387476078,-0.544338551534444
2.115,-19.3798942965688,-0.544371520102372
2.116,-19.3814950874532,-0.544405233618724
2.117,-19.3830411398745,-0.544439691086735
2.118,-19.38453247455,-0.54447489152305
2.119,-19.3859691132993,-0.544510833957695
2.12,-19.3873510790423,-0.544547517434011
2.121,-19.3886783957972,-0.544584941008674
2.122,-19.3899510886788,-0.544623103751594
2.123,-19.3911691838964,-0.544662004745936
2.124,-19.3923327087517,-0.544701643088039
2.125,-19.3934416916362,-0.544742017887416
2.126,-19.39449616203,-0.54478312826669
2.127,-19.3954961504983,-0.544824973361579
2.128,-19.3964416886899,-0.544867552320845
2.129,-19.3973328093343,-0.544910864306269
2.13,-19.3981695462392,-0.544954908492613
2.131,-19.3989519342883,-0.544999684067575
2.132,-19.3996800094381,-0.545045190231772
2.133,-19.4003538087153,-0.545091426198681
2.134,-19.4009733702145,-0.545138391194631
2.135,-19.4015387330946,-0.545186084458742
2.136,-19.4020499375763,-0.5452345052429
2.137,-19.402507024939,-0.545283652811725
2.138,-19.4029100375179,-0.545333526442536
2.139,-19.4032590187004,-0.545384125425305
2.14,-19.4035540129231,-0.545435449062633
2.141,-19.4037950656692,-0.545487496669706
2.142,-19.403982223464,-0.545540267574279
2.143,-19.4041155338724,-0.545593761116605
2.144,-19.4041950454948,-0.545647976649442
2.145,-19.4042208079644,-0.545702913537982
2.146,-19.4041928719423,-0.545758571159841
2.147,-19.4041112891158,-0.545814948905009
2.148,-19.4039761121922,-0.545872046175825
2.149,-19.4037873948976,-0.545929862386931
2.15,-19.4035451919707,-0.545988396965254
2.151,-19.4032495591608,-0.546047649349948
2.152,-19.4029005532228,-0.546107618992387
2.153,-19.4024982319132,-0.546168305356105
2.154,-19.4020426539867,-0.546229707916777
2.155,-19.4015338791912,-0.546291826162174
2.156,-19.4009719682643,-0.546354659592142
2.157,-19.4003569829286,-0.546418207718564
2.158,-19.3996889858878,-0.546482470065296
2.159,-19.3989680408217,-0.54654744616819
2.16,-19.3981942123826,-0.546613135575
2.161,-19.3973675661901,-0.546679537845397
2.162,-19.3964881688271,-0.546746652550898
2.163,-19.3955560878348,-0.546814479274851
2.164,-19.3945713917084,-0.546883017612397
2.165,-19.3935341498924,-0.546952267170437
2.166,-19.3924444327753,-0.547022227567594
2.167,-19.3913023116856,-0.547092898434182
2.168,-19.3901078588865,-0.54716427941217
2.169,-19.3888611475712,-0.547236370155151
2.17,-19.387562251858,-0.547309170328305
2.171,-19.3862112467845,-0.547382679608371
2.172,-19.3848082083043,-0.547456897683604
2.173,-19.3833532132801,-0.547531824253742
2.174,-19.3818463394797,-0.547607459029991
2.175,-19.3802876655703,-0.547683801734959
2.176,-19.3786772711134,-0.547760852102659
2.177,-19.37701523656,-0.547838609878441
2.178,-19.3753016432444,-0.547917074818983
2.179,-19.3735365733798,-0.547996246692251
2.18,-19.3717201100518,-0.548076125277448
2.181,-19.3698523372145,-0.548156710365018
2.182,-19.3679333396833,-0.548238001756577
2.183,-19.3659632031309,-0.548319999264892
2.184,-19.3639420140805,-0.548402702713862
2.185,-19.3618698599011,-0.548486111938462
2.186,-19.3597468288017,-0.548570226784728
2.187,-19.3575730098252,-0.548655047109708
2.188,-19.3553484928432,-0.54874057278144
2.189,-19.3530733685497,-0.548826803678923
2.19,-19.3507477284562,-0.54891373969207
2.191,-19.348371664885,-0.549001380721687
2.192,-19.3459452709638,-0.549089726679436
2.193,-19.3434686406198,-0.549178777487801
2.194,-19.3409418685738,-0.549268533080056
2.195,-19.338365050334,-0.54935899340024
2.196,-19.3357382821905,-0.549450158403103
2.197,-19.3330616612089,-0.54954202805411
2.198,-19.3303352852244,-0.549634602329365
2.199,-19.3275592528359,-0.549727881215616
2.2,-19.3247336633996,-0.549821864710198
2.201,-19.3218586170232,-0.549916552821017
2.202,-19.3189342145595,-0.550011945566503
2.203,-19.3159605576006,-0.550108042975591
2.204,-19.3129377484712,-0.550204845087687
2.205,-19.3098658902229,-0.55030235195262
2.206,-19.3067450866275,-0.550400563630634
2.207,-19.3035754421714,-0.550499480192341
2.208,-19.3003570620483,-0.550599101718694
2.209,-19.2970900521539,-0.550699428300948
2.21,-19.2937745190793,-0.550800460040643
2.211,-19.2904105701042,-0.550902197049553
2.212,-19.286998313191,-0.551004639449676
2.213,-19.2835378569784,-0.55110778737318
2.214,-19.2800293107749,-0.551211640962388
2.215,-19.2764727845523,-0.551316200369744
2.216,-19.2728683889393,-0.551421465757781
2.217,-19.2692162352153,-0.551527437299077
2.218,-19.2655164353039,-0.551634115176236
2.219,-19.2617691017658,-0.551741499581859
2.22,-19.2579743477934,-0.551849590718513
2.221,-19.2541322872034,-0.551958388798683
2.222,-19.2502430344306,-0.552067894044766
2.223,-19.2463067045215,-0.552178106689015
2.224,-19.2423234131275,-0.552289026973538
2.225,-19.2382932764988,-0.55240065515023
2.226,-19.2342164114774,-0.552512991480768
2.227,-19.2300929354905,-0.552626036236586
2.228,-19.2259229665445,-0.552739789698806
2.229,-19.221706623218,-0.552854252158265
2.23,-19.2174440246552,-0.552969423915432
2.231,-19.2131352905593,-0.553085305280399
2.232,-19.2087805411864,-0.553201896572857
2.233,-19.2043798973381,-0.553319198122059
2.234,-19.1999334803557,-0.553437210266779
2.235,-19.195441412113,-0.5535559333553
2.236,-19.19090381501,-0.553675367745376
2.237,-19.1863208119661,-0.553795513804196
2.238,-19.181692526414,-0.553916371908357
2.239,-19.1770190822923,-0.554037942443845
2.24,-19.1723006040395,-0.554160225805991
2.241,-19.1675372165872,-0.554283222399445
2.242,-19.1627290453535,-0.554406932638147
2.243,-19.1578762162364,-0.554531356945297
2.244,-19.1529788556073,-0.554656495753332
2.245,-19.148037090304,-0.554782349503881
2.246,-19.143051047625,-0.554908918647743
2.247,-19.1380208553217,-0.555036203644864
2.248,-19.1329466415929,-0.555164204964302
2.249,-19.1278285350775,-0.555292923084196
2.25,-19.1226666648484,-0.555422358491736
2.251,-19.1174611604057,-0.555552511683135
2.252,-19.1122121516704,-0.555683383163609
2.253,-19.1069197689773,-0.555814973447326
2.254,-19.101584143069,-0.5559472830574
2.255,-19.0962054050891,-0.556080312525843
2.256,-19.090783686576,-0.55621406239355
2.257,-19.0853191194559,-0.55634853321027
2.258,-19.0798118360368,-0.556483725534565
2.259,-19.0742619690016,-0.556619639933784
