Freq [GHz],Phase_Difference(HFSS),Phase_Difference(measured)
1.354,29.12440266,38.145214
1.355,29.16606521,38.196068
1.356,29.20779916,38.192268
1.357,29.24960464,38.341259
1.358,29.2914818,38.511563
1.359,29.33343077,38.433308
1.36,29.37545169,38.577698
1.361,29.41754472,38.692715
1.362,29.45970998,38.751576
1.363,29.50194763,38.775154
1.364,29.5442578,38.911755
1.365,29.58664064,38.89664
1.366,29.62909628,38.875614
1.367,29.67162488,38.869983
1.368,29.71422657,38.965389
1.369,29.75690151,38.99358
1.37,29.79964982,39.153199
1.371,29.84247165,39.198379
1.372,29.88536716,39.246246
1.373,29.92833648,39.091202
1.374,29.97137975,39.353157
1.375,30.01449713,39.441715
1.376,30.05768876,39.378403
1.377,30.10095477,39.621861
1.378,30.14429533,39.477218
1.379,30.18771056,39.57637
1.38,30.23120063,39.660343
1.381,30.27476566,39.616451
1.382,30.31840582,39.923713
1.383,30.36212124,39.801315
1.384,30.40591208,39.763572
1.385,30.44977847,40.016213
1.386,30.49372057,39.98507
1.387,30.53773852,40.130764
1.388,30.58183248,40.043549
1.389,30.62600258,40.363518
1.39,30.67024897,40.290604
1.391,30.71457181,40.562908
1.392,30.75897124,40.530956
1.393,30.80344742,40.35181
1.394,30.84800047,40.410854
1.395,30.89263057,40.480877
1.396,30.93733785,40.649326
1.397,30.98212247,40.684848
1.398,31.02698458,40.796761
1.399,31.07192431,40.569656
1.4,31.11694183,40.62817
1.401,31.16203729,40.727913
1.402,31.20721083,41.00534
1.403,31.2524626,40.915032
1.404,31.29779276,41.109264
1.405,31.34320145,41.132423
1.406,31.38868883,41.245079
1.407,31.43425505,41.208035
1.408,31.47990026,41.155056
1.409,31.52562461,41.284401
1.41,31.57142825,41.340591
1.411,31.61731133,41.641001
1.412,31.66327401,41.586511
1.413,31.70931644,41.740188
1.414,31.75543877,41.61259
1.415,31.80164115,41.847139
1.416,31.84792374,41.939495
1.417,31.89428668,41.919401
1.418,31.94073014,41.953873
1.419,31.98725426,41.88736
1.42,32.03385921,42.196833
1.421,32.08054512,42.126923
1.422,32.12731216,41.922285
1.423,32.17416048,42.131333
1.424,32.22109024,42.157481
1.425,32.26810158,42.521501
1.426,32.31519466,42.474215
1.427,32.36236965,42.58868
1.428,32.40962668,42.60038
1.429,32.45696592,42.464574
1.43,32.50438752,42.525795
1.431,32.55189164,42.609723
1.432,32.59947843,42.717346
1.433,32.64714805,42.875455
1.434,32.69490064,42.830531
1.435,32.74273638,42.980437
1.436,32.79065541,43.038709
1.437,32.83865789,43.161003
1.438,32.88674398,43.215762
1.439,32.93491383,43.091126
1.44,32.98316759,43.337716
1.441,33.03150543,43.373024
1.442,33.0799275,43.379256
1.443,33.12843396,43.517906
1.444,33.17702496,43.6394
1.445,33.22570066,43.525031
1.446,33.27446122,43.6081
1.447,33.3233068,43.877442
1.448,33.37223754,43.595893
1.449,33.42125361,43.84094
1.45,33.47035517,43.999126
1.451,33.51954236,43.915562
1.452,33.56881536,43.934097
1.453,33.61817432,44.211129
1.454,33.66761939,44.244832
1.455,33.71715072,44.248845
1.456,33.76676849,44.067323
1.457,33.81647285,44.379707
1.458,33.86626395,44.377145
1.459,33.91614194,44.480627
1.46,33.966107,44.414364
1.461,34.01615928,44.568823
1.462,34.06629893,44.584613
1.463,34.11652611,44.641309
1.464,34.16684098,44.742549
1.465,34.21724369,44.906546
1.466,34.26773441,44.912452
1.467,34.31831329,44.897941
1.468,34.3689805,45.127005
1.469,34.41973618,45.052432
1.47,34.47058049,45.272574
1.471,34.5215136,45.292561
1.472,34.57253565,45.605185
1.473,34.62364682,45.543911
1.474,34.67484725,45.363487
1.475,34.7261371,45.428803
1.476,34.77751653,45.581384
1.477,34.82898569,45.683196
1.478,34.88054475,45.857649
1.479,34.93219387,45.820172
1.48,34.98393318,45.690124
1.481,35.03576287,45.820009
1.482,35.08768307,46.056225
1.483,35.13969396,45.914927
1.484,35.19179567,46.068306
1.485,35.24398838,46.137776
1.486,35.29627224,46.240705
1.487,35.3486474,46.376771
1.488,35.40111402,46.354191
1.489,35.45367226,46.529484
1.49,35.50632227,46.477311
1.491,35.5590642,46.54137
1.492,35.61189822,46.665955
1.493,35.66482448,46.864679
1.494,35.71784313,46.57465
1.495,35.77095432,46.674022
1.496,35.82415822,46.910401
1.497,35.87745498,46.777114
1.498,35.93084475,47.033587
1.499,35.98432768,47.294739
1.5,36.03790393,47.011446
1.501,36.09157366,47.394865
1.502,36.14533701,47.469284
1.503,36.19919414,47.335375
1.504,36.2531452,47.713443
1.505,36.30719035,47.542086
1.506,36.36132973,47.539055
1.507,36.41556351,47.729083
1.508,36.46989182,47.737263
1.509,36.52431483,47.783952
1.51,36.57883267,48.077914
1.511,36.63344551,47.93317
1.512,36.6881535,48.063802
1.513,36.74295678,48.04868
1.514,36.7978555,48.188465
1.515,36.85284982,48.300612
1.516,36.90793987,48.25922
1.517,36.96312582,48.332544
1.518,37.01840781,48.54016
1.519,37.07378598,48.572968
1.52,37.12926048,48.544309
1.521,37.18483147,48.634618
1.522,37.24049908,48.687453
1.523,37.29626346,48.67409
1.524,37.35212477,48.908497
1.525,37.40808313,48.956377
1.526,37.46413871,49.132897
1.527,37.52029163,48.973298
1.528,37.57654205,49.182282
1.529,37.63289011,49.208378
1.53,37.68933595,49.384547
1.531,37.74587972,49.349709
1.532,37.80252155,49.418264
1.533,37.85926158,49.37358
1.534,37.91609996,49.740542
1.535,37.97303682,49.682069
1.536,38.03007231,49.584875
1.537,38.08720657,49.732079
1.538,38.14443972,49.805406
1.539,38.20177191,50.006645
1.54,38.25920328,50.036711
1.541,38.31673396,50.211416
1.542,38.37436408,50.149007
1.543,38.43209379,50.103184
1.544,38.48992321,50.384097
1.545,38.54785247,50.426543
1.546,38.60588172,50.267022
1.547,38.66401108,50.59909
1.548,38.72224068,50.502773
1.549,38.78057066,50.667704
1.55,38.83900114,50.936322
1.551,38.89753225,50.959062
1.552,38.95616412,50.727526
1.553,39.01489687,50.862594
1.554,39.07373064,51.262004
1.555,39.13266555,51.085788
1.556,39.19170172,51.17168
1.557,39.25083927,51.271459
1.558,39.31007834,51.474606
1.559,39.36941903,51.571048
1.56,39.42886147,51.565971
1.561,39.48840579,51.784541
1.562,39.5480521,51.729941
1.563,39.60780051,51.641581
1.564,39.66765115,51.712768
1.565,39.72760413,52.04902
1.566,39.78765957,51.878776
1.567,39.84781758,52.094151
1.568,39.90807827,52.011114
1.569,39.96844176,52.324342
1.57,40.02890815,52.148763
1.571,40.08947756,52.263116
1.572,40.15015009,52.527477
1.573,40.21092585,52.64892
1.574,40.27180496,52.589871
1.575,40.3327875,52.670209
1.576,40.3938736,52.673345
1.577,40.45506334,52.71933
1.578,40.51635684,52.854996
1.579,40.57775419,52.872413
1.58,40.63925549,52.906719
1.581,40.70086084,52.97001
1.582,40.76257033,53.099707
1.583,40.82438407,53.232328
1.584,40.88630214,53.221817
1.585,40.94832464,53.376382
1.586,41.01045166,53.422315
1.587,41.07268328,53.601992
1.588,41.13501961,53.731041
1.589,41.19746072,53.619436
1.59,41.2600067,53.966486
1.591,41.32265763,53.853883
1.592,41.3854136,53.971515
1.593,41.44827469,53.892264
1.594,41.51124098,54.083255
1.595,41.57431255,54.035876
1.596,41.63748947,53.884975
1.597,41.70077181,54.364214
1.598,41.76415966,54.260703
1.599,41.82765309,54.463278
1.6,41.89125216,54.556348
1.601,41.95495694,54.573803
1.602,42.01876751,54.492034
1.603,42.08268392,54.810942
1.604,42.14670624,54.894937
1.605,42.21083453,54.852466
1.606,42.27506885,54.952424
1.607,42.33940927,55.113783
1.608,42.40385583,55.217371
1.609,42.46840859,55.122674
1.61,42.53306761,55.324911
1.611,42.59783294,55.434936
1.612,42.66270462,55.589676
1.613,42.72768271,55.472298
1.614,42.79276724,55.379208
1.615,42.85795827,55.662424
1.616,42.92325583,55.79205
1.617,42.98865997,55.7041
1.618,43.05417072,55.880707
1.619,43.11978812,55.957028
1.62,43.1855122,56.222536
1.621,43.251343,56.086949
1.622,43.31728053,56.061803
1.623,43.38332484,56.330148
1.624,43.44947594,56.292539
1.625,43.51573387,56.368589
1.626,43.58209863,56.371173
1.627,43.64857025,56.459024
1.628,43.71514875,56.67064
1.629,43.78183414,56.858327
1.63,43.84862643,57.140034
1.631,43.91552564,56.955784
1.632,43.98253176,57.07415
1.633,44.04964481,56.899722
1.634,44.11686478,57.099839
1.635,44.18419169,57.103788
1.636,44.25162552,57.234313
1.637,44.31916628,57.320798
1.638,44.38681395,57.411616
1.639,44.45456852,57.408588
1.64,44.52242999,57.686159
1.641,44.59039835,57.743329
1.642,44.65847356,57.669655
1.643,44.72665562,57.88591
1.644,44.7949445,57.858532
1.645,44.86334018,58.106007
1.646,44.93184264,58.227171
1.647,45.00045183,58.136328
1.648,45.06916773,58.289109
1.649,45.1379903,58.467239
1.65,45.20691951,58.502863
1.651,45.27595532,58.470311
1.652,45.34509767,58.642386
1.653,45.41434653,58.656528
1.654,45.48370185,58.72034
1.655,45.55316357,58.70659
1.656,45.62273164,58.825768
1.657,45.692406,58.949791
1.658,45.76218659,59.019003
1.659,45.83207334,59.127954
1.66,45.9020662,59.030307
1.661,45.97216509,59.30974
1.662,46.04236993,59.215736
1.663,46.11268066,59.498948
1.664,46.18309719,59.316601
1.665,46.25361945,59.431319
1.666,46.32424734,59.505185
1.667,46.39498078,59.746045
1.668,46.46581967,59.679467
1.669,46.53676393,59.753579
1.67,46.60781345,60.139081
1.671,46.67896814,59.963909
1.672,46.75022788,59.924454
1.673,46.82159258,60.182089
1.674,46.89306212,60.177836
1.675,46.96463638,60.306906
1.676,47.03631526,60.182574
1.677,47.10809862,60.630692
1.678,47.17998635,60.60895
1.679,47.25197831,60.737775
1.68,47.32407437,60.716776
1.681,47.39627441,60.905922
1.682,47.46857827,60.97061
1.683,47.54098583,60.885738
1.684,47.61349692,61.142661
1.685,47.68611142,61.268511
1.686,47.75882915,61.185262
1.687,47.83164997,61.217983
1.688,47.90457371,61.113976
1.689,47.97760021,61.677739
1.69,48.05072931,61.428837
1.691,48.12396083,61.691514
1.692,48.19729459,61.58682
1.693,48.27073043,61.734132
1.694,48.34426815,61.878124
1.695,48.41790757,61.939087
1.696,48.49164849,62.015323
1.697,48.56549074,62.005456
1.698,48.6394341,62.239699
1.699,48.71347837,62.363435
1.7,48.78762335,62.37178
1.701,48.86186883,62.278797
1.702,48.93621459,62.478054
1.703,49.01066042,62.496195
1.704,49.0852061,62.643245
1.705,49.15985139,62.608589
1.706,49.23459607,62.780084
1.707,49.3094399,62.840971
1.708,49.38438264,62.704521
1.709,49.45942406,63.195961
1.71,49.5345639,62.926353
1.711,49.60980191,63.251145
1.712,49.68513784,63.476071
1.713,49.76057143,63.452338
1.714,49.83610242,63.325184
1.715,49.91173053,63.374557
1.716,49.98745549,63.727214
1.717,50.06327703,63.619456
1.718,50.13919486,63.850938
1.719,50.21520871,63.69384
1.72,50.29131827,63.952446
1.721,50.36752326,63.808186
1.722,50.44382337,64.207685
1.723,50.52021831,64.027612
1.724,50.59670776,64.232772
1.725,50.67329141,64.404171
1.726,50.74996894,64.500255
1.727,50.82674004,64.498418
1.728,50.90360438,64.361388
1.729,50.98056162,64.585755
1.73,51.05761144,64.570239
1.731,51.13475348,64.617672
1.732,51.21198741,64.746289
1.733,51.28931288,64.95386
1.734,51.36672953,64.991424
1.735,51.44423701,64.931334
1.736,51.52183495,65.169444
1.737,51.59952298,65.087306
1.738,51.67730074,65.37271
1.739,51.75516783,65.435754
1.74,51.83312389,65.520792
1.741,51.91116852,65.498221
1.742,51.98930133,65.628809
1.743,52.06752193,65.583088
1.744,52.14582991,65.865851
1.745,52.22422486,65.619847
1.746,52.30270638,65.83211
1.747,52.38127405,65.872123
1.748,52.45992745,66.107226
1.749,52.53866615,65.836694
1.75,52.61748972,66.14971
1.751,52.69639773,66.207498
1.752,52.77538973,66.281426
1.753,52.85446527,66.50026
1.754,52.93362392,66.371883
1.755,53.0128652,66.820267
1.756,53.09218867,66.847177
1.757,53.17159385,66.592394
1.758,53.25108027,66.722522
1.759,53.33064747,66.847656
1.76,53.41029494,67.049888
1.761,53.49002222,67.113608
1.762,53.56982881,67.026784
1.763,53.64971422,67.200359
1.764,53.72967793,67.357109
1.765,53.80971945,67.190076
1.766,53.88983827,67.364142
1.767,53.97003386,67.575154
1.768,54.05030572,67.625992
1.769,54.1306533,67.71306
1.77,54.21107608,67.939406
1.771,54.29157352,67.764162
1.772,54.37214508,68.058506
1.773,54.45279021,67.983891
1.774,54.53350836,68.120982
1.775,54.61429898,68.223906
1.776,54.69516149,68.237122
1.777,54.77609534,68.459172
1.778,54.85709995,68.387117
1.779,54.93817473,68.466319
1.78,55.01931912,68.53046
1.781,55.10053251,68.576678
1.782,55.18181433,68.667049
1.783,55.26316395,68.725911
1.784,55.3445808,68.764679
1.785,55.42606424,68.785002
1.786,55.50761368,68.736488
1.787,55.58922849,69.03381
1.788,55.67090805,68.973917
1.789,55.75265172,69.224606
1.79,55.83445888,69.18465
1.791,55.91632888,69.036125
1.792,55.99826108,69.287735
1.793,56.08025483,69.366065
1.794,56.16230947,69.509875
1.795,56.24442435,69.674682
1.796,56.32659879,69.678718
1.797,56.40883213,69.722457
1.798,56.49112369,69.780012
1.799,56.5734728,70.010411
1.8,56.65587876,69.925724
1.801,56.73834089,69.981159
1.802,56.82085848,69.949345
1.803,56.90343085,70.407345
1.804,56.98605728,70.314126
1.805,57.06873706,70.511866
1.806,57.15146948,70.502271
1.807,57.23425381,70.666956
1.808,57.31708933,70.577507
1.809,57.39997532,70.811936
1.81,57.48291102,70.550474
1.811,57.56589572,70.687449
1.812,57.64892864,70.85759
1.813,57.73200906,71.034697
1.814,57.81513621,71.126218
1.815,57.89830933,71.131725
1.816,57.98152766,71.334839
1.817,58.06479043,71.197577
1.818,58.14809686,71.413234
1.819,58.23144617,71.349905
1.82,58.31483759,71.732915
1.821,58.39827031,71.645034
1.822,58.48174355,71.815731
1.823,58.56525652,71.738075
1.824,58.64880839,71.939198
1.825,58.73239838,71.897918
1.826,58.81602566,72.090688
1.827,58.89968943,71.9133
1.828,58.98338885,71.778458
1.829,59.0671231,72.240105
1.83,59.15089136,72.281509
1.831,59.23469278,72.368142
1.832,59.31852654,72.604851
1.833,59.40239177,72.418083
1.834,59.48628765,72.407429
1.835,59.5702133,72.64901
1.836,59.65416788,72.654004
1.837,59.73815053,72.850411
1.838,59.82216038,72.825616
1.839,59.90619656,72.902169
1.84,59.99025819,72.925126
1.841,60.0743444,73.150546
1.842,60.15845431,73.112553
1.843,60.24258702,73.280241
1.844,60.32674166,73.146214
1.845,60.41091731,73.320068
1.846,60.4951131,73.37133
1.847,60.5793281,73.334532
1.848,60.66356142,73.637985
1.849,60.74781215,73.624377
1.85,60.83207937,73.825115
1.851,60.91636216,73.768292
1.852,61.00065961,73.904778
1.853,61.08497078,73.764694
1.854,61.16929475,73.994949
1.855,61.25363058,74.103873
1.856,61.33797734,74.0115
1.857,61.42233408,74.351623
1.858,61.50669987,74.382616
1.859,61.59107376,74.350746
1.86,61.67545479,74.439379
1.861,61.75984202,74.468067
1.862,61.84423448,74.669728
1.863,61.92863121,74.59258
1.864,62.01303125,74.648126
1.865,62.09743364,74.76082
1.866,62.1818374,74.885354
1.867,62.26624156,75.012545
1.868,62.35064514,74.998856
1.869,62.43504716,75.063786
1.87,62.51944665,75.272617
1.871,62.60384261,75.323401
1.872,62.68823406,75.342008
1.873,62.77262001,75.203747
1.874,62.85699946,75.364151
1.875,62.94137142,75.610802
1.876,63.02573488,75.586134
1.877,63.11008885,75.608886
1.878,63.19443232,75.718514
1.879,63.27876429,75.484009
1.88,63.36308374,75.713844
1.881,63.44738967,75.975797
1.882,63.53168106,75.897676
1.883,63.61595689,76.097254
1.884,63.70021614,76.084664
1.885,63.78445781,76.103363
1.886,63.86868085,76.438484
1.887,63.95288425,76.141174
1.888,64.03706698,76.491582
1.889,64.12122802,76.709499
1.89,64.20536632,76.576005
1.891,64.28948087,76.44992
1.892,64.37357062,76.573155
1.893,64.45763454,76.669585
1.894,64.5416716,76.642398
1.895,64.62568074,77.072342
1.896,64.70966094,76.772173
1.897,64.79361115,76.898267
1.898,64.87753033,77.052958
1.899,64.96141743,77.161096
1.9,65.04527141,77.175525
1.901,65.12909122,77.191648
1.902,65.21287581,77.434999
1.903,65.29662414,77.519974
1.904,65.38033514,77.197267
1.905,65.46400778,77.526098
1.906,65.54764099,77.717399
1.907,65.63123373,77.464751
1.908,65.71478494,77.64342
1.909,65.79829357,77.759517
1.91,65.88175856,77.68012
1.911,65.96517886,77.899674
1.912,66.04855341,78.0284
1.913,66.13188116,78.071071
1.914,66.21516104,78.178988
1.915,66.298392,78.085033
1.916,66.38157298,78.153765
1.917,66.46470293,78.290288
1.918,66.54778078,78.254737
1.919,66.63080549,78.29849
1.92,66.71377598,78.438116
1.921,66.79669121,78.85216
1.922,66.87955012,78.573476
1.923,66.96235164,78.613909
1.924,67.04509473,78.684768
1.925,67.12777832,78.625824
1.926,67.21040136,78.867463
1.927,67.29296279,79.109665
1.928,67.37546156,79.124064
1.929,67.45789662,79.007929
1.93,67.54026691,79.02673
1.931,67.62257137,79.273704
1.932,67.70480896,79.364843
1.933,67.78697862,79.131139
1.934,67.8690793,79.388662
1.935,67.95110996,79.499237
1.936,68.03306954,79.243742
1.937,68.114957,79.398434
1.938,68.1967713,79.568074
1.939,68.27851138,79.489391
1.94,68.3601762,79.643316
1.941,68.44176473,79.616138
1.942,68.52327592,79.829462
1.943,68.60470873,79.761421
1.944,68.68606213,80.155458
1.945,68.76733508,79.844366
1.946,68.84852655,79.865201
1.947,68.92963551,80.274365
1.948,69.01066092,80.10242
1.949,69.09160175,80.299784
1.95,69.17245699,80.24659
1.951,69.25322561,80.347447
1.952,69.33390658,80.512832
