Freq [GHz],S11 (dB)_HFSS,S11 (dB)_milled,S11 (dB)_z0lver
1.578,-39.57767293,-12.392978,-30.45784379
1.579,-39.57047145,-12.345057,-30.41942325
1.58,-39.56246772,-12.351578,-30.38115287
1.581,-39.55366374,-12.327456,-30.34283017
1.582,-39.54406191,-12.360172,-30.30457817
1.583,-39.53366509,-12.377793,-30.26636896
1.584,-39.52247653,-12.344707,-30.22814749
1.585,-39.51049991,-12.366351,-30.18994497
1.586,-39.49773931,-12.349123,-30.15176628
1.587,-39.48419922,-12.37261,-30.11356025
1.588,-39.46988452,-12.334463,-30.07548606
1.589,-39.45480047,-12.333148,-30.03737078
1.59,-39.43895271,-12.34971,-29.99922889
1.591,-39.42234724,-12.352425,-29.96126696
1.592,-39.40499041,-12.353309,-29.923159
1.593,-39.38688894,-12.360811,-29.88514986
1.594,-39.36804984,-12.363319,-29.84718884
1.595,-39.34848049,-12.345942,-29.80921796
1.596,-39.32818853,-12.365122,-29.77122981
1.597,-39.30718195,-12.36874,-29.73328343
1.598,-39.28546897,-12.326505,-29.69530486
1.599,-39.26305812,-12.38465,-29.65747648
1.6,-39.23995817,-12.383272,-29.61965164
1.601,-39.21617815,-12.363785,-29.58182438
1.602,-39.19172729,-12.365112,-29.54394665
1.603,-39.16661508,-12.339471,-29.50614989
1.604,-39.14085119,-12.368667,-29.46838193
1.605,-39.11444547,-12.353721,-29.43066772
1.606,-39.08740796,-12.367431,-29.39293958
1.607,-39.05974887,-12.359447,-29.35523681
1.608,-39.03147855,-12.371173,-29.31754565
1.609,-39.00260748,-12.322812,-29.27989367
1.61,-38.97314627,-12.374616,-29.24224559
1.611,-38.94310564,-12.368219,-29.20456111
1.612,-38.91249641,-12.329286,-29.16701812
1.613,-38.88132946,-12.372646,-29.12944476
1.614,-38.84961578,-12.360477,-29.09186651
1.615,-38.81736638,-12.383627,-29.05432684
1.616,-38.78459234,-12.367607,-29.01681973
1.617,-38.75130477,-12.379504,-28.97934467
1.618,-38.71751479,-12.374619,-28.94186951
1.619,-38.68323355,-12.331532,-28.90438204
1.62,-38.64847219,-12.378375,-28.86700986
1.621,-38.61324186,-12.386631,-28.82958647
1.622,-38.57755365,-12.380463,-28.79220645
1.623,-38.54141868,-12.371262,-28.75485993
1.624,-38.50484798,-12.376925,-28.71745755
1.625,-38.46785255,-12.37944,-28.68010929
1.626,-38.43044336,-12.352753,-28.6428582
1.627,-38.39263127,-12.362905,-28.60554164
1.628,-38.35442711,-12.355997,-28.56827886
1.629,-38.31584162,-12.376628,-28.53100455
1.63,-38.27688544,-12.361398,-28.49383325
1.631,-38.23756912,-12.343863,-28.45660917
1.632,-38.19790314,-12.389611,-28.4194765
1.633,-38.15789786,-12.373166,-28.38229281
1.634,-38.1175635,-12.409719,-28.34516696
1.635,-38.07691022,-12.376876,-28.3080186
1.636,-38.03594803,-12.355068,-28.27096429
1.637,-37.99468681,-12.389276,-28.23386367
1.638,-37.95313634,-12.369026,-28.19683645
1.639,-37.91130624,-12.386781,-28.15976095
1.64,-37.86920601,-12.352949,-28.12274984
1.641,-37.82684502,-12.347852,-28.08576647
1.642,-37.78423249,-12.38665,-28.04872975
1.643,-37.74137749,-12.349086,-28.01183768
1.644,-37.69828897,-12.37348,-27.97490582
1.645,-37.6549757,-12.390751,-27.93795218
1.646,-37.61144634,-12.397759,-27.90105392
1.647,-37.56770936,-12.367084,-27.86418554
1.648,-37.52377312,-12.39403,-27.82734782
1.649,-37.47964579,-12.386492,-27.79050732
1.65,-37.43533542,-12.387176,-27.75371956
1.651,-37.39084989,-12.406075,-27.71691122
1.652,-37.34619694,-12.394121,-27.68010851
1.653,-37.30138413,-12.408543,-27.64336272
1.654,-37.2564189,-12.383222,-27.60662542
1.655,-37.21130852,-12.418614,-27.56992752
1.656,-37.16606012,-12.378398,-27.53321413
1.657,-37.12068066,-12.390612,-27.49654882
1.658,-37.07517697,-12.401745,-27.45987119
1.659,-37.02955572,-12.389188,-27.42319805
1.66,-36.98382342,-12.395037,-27.38658863
1.661,-36.93798646,-12.369731,-27.35002089
1.662,-36.89205107,-12.426712,-27.31342623
1.663,-36.84602332,-12.398086,-27.27685103
1.664,-36.79990916,-12.399493,-27.24030237
1.665,-36.75371439,-12.40178,-27.20377139
1.666,-36.70744467,-12.426067,-27.16729447
1.667,-36.66110552,-12.360391,-27.13077265
1.668,-36.61470232,-12.399965,-27.09431658
1.669,-36.56824032,-12.456295,-27.05788143
1.67,-36.52172464,-12.427626,-27.02146633
1.671,-36.47516026,-12.40959,-26.98505495
1.672,-36.42855204,-12.405554,-26.94868302
1.673,-36.38190471,-12.415036,-26.91223849
1.674,-36.33522286,-12.38982,-26.87590879
1.675,-36.28851098,-12.405514,-26.8396124
1.676,-36.24177342,-12.428113,-26.80325487
1.677,-36.19501443,-12.414465,-26.76696949
1.678,-36.14823812,-12.435382,-26.73072032
1.679,-36.10144851,-12.399995,-26.6944225
1.68,-36.05464949,-12.427402,-26.65816276
1.681,-36.00784484,-12.424748,-26.62199558
1.682,-35.96103823,-12.417642,-26.58578856
1.683,-35.91423324,-12.444917,-26.54955743
1.684,-35.86743332,-12.419991,-26.51342013
1.685,-35.82064185,-12.4604,-26.4772404
1.686,-35.77386208,-12.43152,-26.44112819
1.687,-35.72709717,-12.413304,-26.40499341
1.688,-35.68035019,-12.445147,-26.36889402
1.689,-35.63362412,-12.414686,-26.33280106
1.69,-35.58692184,-12.448422,-26.2967604
1.691,-35.54024613,-12.448404,-26.26072665
1.692,-35.4935997,-12.450192,-26.22470531
1.693,-35.44698517,-12.413791,-26.18872331
1.694,-35.40040507,-12.411778,-26.15271855
1.695,-35.35386186,-12.4393,-26.11672827
1.696,-35.30735789,-12.431895,-26.08079525
1.697,-35.26089547,-12.474355,-26.04483773
1.698,-35.21447681,-12.455055,-26.00893575
1.699,-35.16810404,-12.49149,-25.97305115
1.7,-35.12177925,-12.453556,-25.93712441
1.701,-35.07550442,-12.46136,-25.90129349
1.702,-35.02928149,-12.493134,-25.86546679
1.703,-34.9831123,-12.482968,-25.82962203
1.704,-34.93699867,-12.455469,-25.79384437
1.705,-34.8909423,-12.438254,-25.75802682
1.706,-34.84494488,-12.497177,-25.72226783
1.707,-34.799008,-12.453414,-25.68649043
1.708,-34.75313322,-12.472377,-25.65074468
1.709,-34.70732201,-12.486172,-25.61504034
1.71,-34.66157581,-12.463024,-25.5793226
1.711,-34.61589599,-12.468265,-25.54365436
1.712,-34.57028388,-12.444568,-25.50801452
1.713,-34.52474075,-12.487063,-25.47232997
1.714,-34.47926781,-12.481345,-25.43667369
1.715,-34.43386623,-12.496871,-25.40107986
1.716,-34.38853714,-12.500245,-25.36547387
1.717,-34.3432816,-12.49199,-25.32989101
1.718,-34.29810065,-12.4855,-25.29432402
1.719,-34.25299526,-12.519133,-25.25878528
1.72,-34.20796639,-12.527013,-25.22327586
1.721,-34.16301492,-12.475537,-25.18774965
1.722,-34.11814172,-12.505156,-25.15225521
1.723,-34.0733476,-12.487386,-25.11677243
1.724,-34.02863334,-12.494809,-25.08130713
1.725,-33.98399968,-12.480844,-25.04591428
1.726,-33.93944734,-12.520353,-25.01045817
1.727,-33.89497696,-12.498665,-24.97504041
1.728,-33.8505892,-12.509755,-24.93963036
1.729,-33.80628466,-12.522589,-24.90426344
1.73,-33.76206389,-12.529474,-24.86891546
1.731,-33.71792745,-12.515565,-24.83358218
1.732,-33.67387583,-12.532146,-24.79823632
1.733,-33.62990951,-12.541261,-24.76292276
1.734,-33.58602894,-12.513358,-24.72764337
1.735,-33.54223455,-12.534878,-24.69237975
1.736,-33.49852672,-12.518805,-24.65711638
1.737,-33.45490581,-12.52805,-24.62187991
1.738,-33.41137217,-12.522369,-24.58664175
1.739,-33.36792612,-12.547747,-24.5514336
1.74,-33.32456795,-12.540482,-24.51619417
1.741,-33.28129791,-12.538581,-24.48101903
1.742,-33.23811627,-12.530693,-24.44586757
1.743,-33.19502323,-12.545234,-24.41075453
1.744,-33.15201901,-12.516276,-24.37565093
1.745,-33.10910378,-12.522336,-24.34052992
1.746,-33.06627771,-12.527164,-24.30541581
1.747,-33.02354093,-12.53902,-24.27037902
1.748,-32.98089356,-12.558639,-24.23530563
1.749,-32.93833572,-12.534903,-24.20024422
1.75,-32.89586748,-12.557274,-24.16523601
1.751,-32.85348893,-12.543116,-24.13022012
1.752,-32.8112001,-12.563547,-24.09517966
1.753,-32.76900103,-12.569704,-24.06024421
1.754,-32.72689175,-12.5458,-24.02526323
1.755,-32.68487227,-12.565936,-23.9903443
1.756,-32.64294256,-12.562005,-23.95538662
1.757,-32.60110261,-12.57381,-23.92048471
1.758,-32.55935239,-12.561567,-23.88557673
1.759,-32.51769184,-12.543015,-23.85071978
1.76,-32.4761209,-12.550908,-23.81584845
1.761,-32.43463949,-12.571259,-23.78098099
1.762,-32.39324753,-12.567847,-23.74616582
1.763,-32.35194492,-12.561852,-23.71133658
1.764,-32.31073155,-12.558244,-23.6765686
1.765,-32.26960729,-12.612206,-23.64172298
1.766,-32.22857202,-12.614329,-23.60697784
1.767,-32.18762559,-12.579993,-23.57223024
1.768,-32.14676786,-12.591567,-23.53749082
1.769,-32.10599866,-12.587232,-23.50275679
1.77,-32.06531783,-12.590514,-23.4680441
1.771,-32.02472518,-12.564423,-23.43334594
1.772,-31.98422053,-12.591792,-23.39866644
1.773,-31.94380368,-12.61292,-23.36404592
1.774,-31.90347444,-12.606312,-23.3294112
1.775,-31.86323258,-12.595735,-23.29480954
1.776,-31.8230779,-12.599008,-23.26014872
1.777,-31.78301016,-12.619187,-23.22556733
1.778,-31.74302915,-12.610422,-23.19097787
1.779,-31.70313461,-12.611462,-23.15642535
1.78,-31.6633263,-12.62709,-23.12188048
1.781,-31.62360398,-12.590867,-23.08736083
1.782,-31.58396739,-12.615011,-23.05282321
1.783,-31.54441626,-12.61381,-23.01830172
1.784,-31.50495034,-12.646004,-22.98382629
1.785,-31.46556934,-12.623755,-22.94936432
1.786,-31.42627299,-12.658292,-22.9149109
1.787,-31.38706101,-12.647024,-22.88047519
1.788,-31.34793311,-12.634483,-22.84600983
1.789,-31.308889,-12.617789,-22.81165191
1.79,-31.26992839,-12.640375,-22.77725537
1.791,-31.23105097,-12.642249,-22.74284276
1.792,-31.19225645,-12.648751,-22.70849835
1.793,-31.15354452,-12.657392,-22.67417727
1.794,-31.11491487,-12.631897,-22.63982375
1.795,-31.07636718,-12.682058,-22.60551998
1.796,-31.03790113,-12.626576,-22.57123381
1.797,-30.99951642,-12.665781,-22.53692005
1.798,-30.96121271,-12.666471,-22.50265929
1.799,-30.92298969,-12.694654,-22.46840065
1.8,-30.88484702,-12.66817,-22.43415995
1.801,-30.84678437,-12.677879,-22.39995352
1.802,-30.80880141,-12.661118,-22.36574721
1.803,-30.7708978,-12.639273,-22.33155256
1.804,-30.73307322,-12.70204,-22.29737538
1.805,-30.69532731,-12.689524,-22.2631931
1.806,-30.65765975,-12.693424,-22.22905228
1.807,-30.62007017,-12.68875,-22.19493643
1.808,-30.58255825,-12.680104,-22.16079717
1.809,-30.54512364,-12.715488,-22.12673934
1.81,-30.50776598,-12.7042,-22.09261183
1.811,-30.47048494,-12.732829,-22.05852531
1.812,-30.43328015,-12.693755,-22.02448246
1.813,-30.39615127,-12.738887,-21.99043755
1.814,-30.35909795,-12.75954,-21.95643585
1.815,-30.32211982,-12.727771,-21.92240325
1.816,-30.28521655,-12.695043,-21.88842756
1.817,-30.24838777,-12.707831,-21.85443304
1.818,-30.21163312,-12.671352,-21.82050284
1.819,-30.17495226,-12.726862,-21.78651625
1.82,-30.13834482,-12.698474,-21.75260869
1.821,-30.10181044,-12.715337,-21.71866992
1.822,-30.06534877,-12.770916,-21.68476451
1.823,-30.02895944,-12.701444,-21.65087821
1.824,-29.99264211,-12.760879,-21.61699957
1.825,-29.9563964,-12.708099,-21.58313148
1.826,-29.92022197,-12.765752,-21.54928579
1.827,-29.88411844,-12.758525,-21.51544792
1.828,-29.84808546,-12.755864,-21.48164309
1.829,-29.81212267,-12.762636,-21.4478427
1.83,-29.7762297,-12.736546,-21.4140173
1.831,-29.74040621,-12.750461,-21.38025347
1.832,-29.70465182,-12.793875,-21.34649302
1.833,-29.66896619,-12.761794,-21.31276833
1.834,-29.63334894,-12.778943,-21.27904813
1.835,-29.59779972,-12.797951,-21.24534523
1.836,-29.56231817,-12.755682,-21.21165361
1.837,-29.52690393,-12.780516,-21.17794692
1.838,-29.49155664,-12.814903,-21.14431643
1.839,-29.45627595,-12.752026,-21.11064486
1.84,-29.42106149,-12.804186,-21.07699064
1.841,-29.38591291,-12.804772,-21.04336558
1.842,-29.35082985,-12.806956,-21.00974602
1.843,-29.31581195,-12.778229,-20.97617052
1.844,-29.28085886,-12.811253,-20.94260755
1.845,-29.24597023,-12.792863,-20.90902181
1.846,-29.21114569,-12.782338,-20.87546796
1.847,-29.1763849,-12.799847,-20.84192991
1.848,-29.14168749,-12.843271,-20.80840427
1.849,-29.10705313,-12.805027,-20.77489251
1.85,-29.07248144,-12.810359,-20.74143516
1.851,-29.0379721,-12.838887,-20.70793574
1.852,-29.00352473,-12.843386,-20.67449045
1.853,-28.969139,-12.856358,-20.64104159
1.854,-28.93481455,-12.846082,-20.60760948
1.855,-28.90055104,-12.838534,-20.57417681
1.856,-28.86634811,-12.845448,-20.54077535
1.857,-28.83220543,-12.854425,-20.50740632
1.858,-28.79812264,-12.844291,-20.47402242
1.859,-28.7640994,-12.833399,-20.44066906
1.86,-28.73013537,-12.902209,-20.40730959
1.861,-28.6962302,-12.880528,-20.37398217
1.862,-28.66238356,-12.874361,-20.34066862
1.863,-28.62859509,-12.898641,-20.30735781
1.864,-28.59486447,-12.88888,-20.27408178
1.865,-28.56119135,-12.852998,-20.24082249
1.866,-28.52757539,-12.886947,-20.20755879
1.867,-28.49401626,-12.899004,-20.17429221
1.868,-28.46051362,-12.881409,-20.14107675
1.869,-28.42706713,-12.851844,-20.10785771
1.87,-28.39367646,-12.933794,-20.07464217
1.871,-28.36034128,-12.889422,-20.04149016
1.872,-28.32706126,-12.899162,-20.00830113
1.873,-28.29383606,-12.908976,-19.97514499
1.874,-28.26066536,-12.891607,-19.94199553
1.875,-28.22754883,-12.912251,-19.90888468
1.876,-28.19448613,-12.907279,-19.87578631
1.877,-28.16147695,-12.907187,-19.84267465
1.878,-28.12852096,-12.905575,-19.80960961
1.879,-28.09561783,-12.926305,-19.77652649
1.88,-28.06276724,-12.939573,-19.74346016
1.881,-28.02996886,-12.921929,-19.71044077
1.882,-27.99722239,-12.925496,-19.67740425
1.883,-27.96452749,-12.912801,-19.64439681
1.884,-27.93188385,-12.957975,-19.61140795
1.885,-27.89929116,-12.954719,-19.57842833
1.886,-27.86674909,-12.969636,-19.54546137
1.887,-27.83425733,-12.951204,-19.51251569
1.888,-27.80181557,-12.973108,-19.47956218
1.889,-27.76942349,-12.950751,-19.44663878
1.89,-27.73708079,-12.968141,-19.41374761
1.891,-27.70478714,-12.957439,-19.38084214
1.892,-27.67254225,-12.958604,-19.34797343
1.893,-27.64034581,-12.973608,-19.31510957
1.894,-27.6081975,-12.930474,-19.28224371
1.895,-27.57609702,-12.993983,-19.24941095
1.896,-27.54404408,-13.002398,-19.21657466
1.897,-27.51203836,-12.982724,-19.183788
1.898,-27.48007956,-12.956213,-19.15097801
1.899,-27.44816738,-13.017277,-19.11820475
1.9,-27.41630152,-13.002195,-19.08543304
1.901,-27.38448169,-12.98579,-19.05271029
1.902,-27.35270758,-13.013797,-19.0199565
1.903,-27.3209789,-13.060412,-18.98725393
1.904,-27.28929535,-13.034396,-18.95453497
1.905,-27.25765665,-13.036029,-18.92185847
1.906,-27.22606249,-13.046266,-18.88917015
1.907,-27.1945126,-13.046453,-18.85649701
1.908,-27.16300666,-13.042609,-18.82384706
1.909,-27.13154441,-13.062807,-18.79124483
1.91,-27.10012554,-13.068339,-18.75860656
1.911,-27.06874977,-13.078661,-18.72599595
1.912,-27.03741682,-13.064822,-18.69342274
1.913,-27.00612641,-13.06428,-18.66083972
1.914,-26.97487824,-13.053295,-18.62827516
1.915,-26.94367204,-13.089263,-18.59575795
1.916,-26.91250752,-13.044759,-18.5632107
1.917,-26.88138441,-13.079858,-18.53069108
1.918,-26.85030243,-13.080592,-18.49820487
1.919,-26.8192613,-13.077971,-18.46569824
1.92,-26.78826074,-13.100891,-18.4332301
1.921,-26.75730048,-13.046982,-18.40076945
1.922,-26.72638025,-13.113145,-18.36834087
1.923,-26.69549977,-13.108086,-18.33589592
1.924,-26.66465877,-13.13348,-18.30349271
1.925,-26.63385697,-13.115151,-18.27107189
1.926,-26.60309412,-13.11978,-18.23869214
1.927,-26.57236994,-13.151973,-18.20632763
1.928,-26.54168416,-13.111487,-18.17399047
1.929,-26.51103653,-13.10727,-18.14162589
1.93,-26.48042677,-13.108677,-18.10929736
1.931,-26.44985461,-13.147681,-18.07698761
1.932,-26.41931981,-13.120855,-18.04468593
1.933,-26.38882209,-13.136615,-18.01241967
1.934,-26.3583612,-13.134106,-17.98014291
1.935,-26.32793687,-13.157256,-17.94788391
1.936,-26.29754886,-13.170448,-17.91564372
1.937,-26.26719689,-13.177706,-17.88343943
1.938,-26.23688072,-13.16878,-17.85121594
1.939,-26.20660009,-13.172877,-17.8190269
1.94,-26.17635475,-13.151691,-17.7868529
1.941,-26.14614445,-13.199159,-17.75468532
1.942,-26.11596892,-13.162966,-17.72254285
1.943,-26.08582793,-13.175483,-17.69041946
1.944,-26.05572122,-13.200829,-17.65828917
1.945,-26.02564855,-13.194256,-17.62615322
1.946,-25.99560966,-13.209139,-17.59408214
1.947,-25.96560432,-13.230371,-17.56201952
1.948,-25.93563227,-13.251517,-17.52994242
1.949,-25.90569327,-13.220754,-17.49788814
1.95,-25.87578708,-13.202383,-17.46587305
1.951,-25.84591346,-13.23862,-17.43384257
1.952,-25.81607217,-13.251944,-17.40185321
1.953,-25.78626297,-13.231433,-17.36986768
1.954,-25.75648561,-13.261171,-17.33790905
1.955,-25.72673986,-13.239562,-17.30595382
1.956,-25.69702549,-13.283046,-17.27399894
1.957,-25.66734225,-13.302013,-17.24207732
1.958,-25.63768992,-13.253042,-17.21016731
1.959,-25.60806825,-13.279617,-17.17826248
1.96,-25.57847703,-13.270081,-17.14637469
1.961,-25.54891601,-13.287908,-17.11452143
1.962,-25.51938496,-13.298169,-17.08265745
1.963,-25.48988366,-13.278214,-17.05081763
1.964,-25.46041188,-13.261194,-17.01900203
1.965,-25.43096938,-13.280512,-16.98718958
1.966,-25.40155595,-13.317447,-16.9553822
1.967,-25.37217136,-13.275023,-16.92360604
1.968,-25.34281538,-13.287601,-16.89185066
1.969,-25.31348779,-13.34862,-16.86011134
1.97,-25.28418836,-13.320956,-16.82839065
1.971,-25.25491688,-13.305781,-16.79668395
1.972,-25.22567313,-13.286456,-16.76498424
1.973,-25.19645688,-13.305648,-16.73329337
1.974,-25.16726791,-13.34023,-16.70163135
1.975,-25.13810601,-13.387726,-16.66996115
1.976,-25.10897097,-13.356844,-16.63829889
1.977,-25.07986256,-13.355012,-16.60669421
1.978,-25.05078057,-13.362847,-16.57508825
1.979,-25.02172479,-13.364058,-16.54346966
1.98,-24.99269501,-13.349749,-16.51192509
1.981,-24.963691,-13.323387,-16.48036356
1.982,-24.93471257,-13.386621,-16.44880638
1.983,-24.9057595,-13.364202,-16.41726998
1.984,-24.87683158,-13.398146,-16.38573837
1.985,-24.8479286,-13.406432,-16.3542577
1.986,-24.81905036,-13.411143,-16.32277215
1.987,-24.79019665,-13.401956,-16.29129879
1.988,-24.76136726,-13.403078,-16.25984768
1.989,-24.73256199,-13.411683,-16.22840607
1.99,-24.70378064,-13.402637,-16.19696967
1.991,-24.675023,-13.445884,-16.16555675
1.992,-24.64628887,-13.437671,-16.13416813
1.993,-24.61757805,-13.428363,-16.10278378
1.994,-24.58889035,-13.447762,-16.07141957
1.995,-24.56022555,-13.435884,-16.04007487
1.996,-24.53158346,-13.457951,-16.00874759
1.997,-24.5029639,-13.440983,-15.97744893
1.998,-24.47436665,-13.494346,-15.94614808
1.999,-24.44579152,-13.459026,-15.9148666
2,-24.41723832,-13.468514,-15.88359512
2.001,-24.38870685,-13.499459,-15.8523375
2.002,-24.36019693,-13.497611,-15.8211113
2.003,-24.33170836,-13.504873,-15.78988041
2.004,-24.30324094,-13.502329,-15.75867037
2.005,-24.27479449,-13.517368,-15.72748275
2.006,-24.24636882,-13.505399,-15.69631477
2.007,-24.21796374,-13.49544,-15.6651437
2.008,-24.18957906,-13.508912,-15.63402467
2.009,-24.16121459,-13.524325,-15.60289932
2.01,-24.13287016,-13.56069,-15.57179277
2.011,-24.10454556,-13.533933,-15.54068962
2.012,-24.07624062,-13.509009,-15.50960914
2.013,-24.04795516,-13.527502,-15.47855699
2.014,-24.01968899,-13.561046,-15.44752834
2.015,-23.99144193,-13.525154,-15.41651212
2.016,-23.9632138,-13.56599,-15.38548215
2.017,-23.93500442,-13.554817,-15.35448796
2.018,-23.90681361,-13.563973,-15.32348952
2.019,-23.87864118,-13.556875,-15.29254561
2.02,-23.85048697,-13.563692,-15.26159434
2.021,-23.8223508,-13.561202,-15.23067091
2.022,-23.79423248,-13.595648,-15.19975424
2.023,-23.76613185,-13.609888,-15.16885611
2.024,-23.73804873,-13.627156,-15.13798341
2.025,-23.70998294,-13.615581,-15.10711596
2.026,-23.68193431,-13.575428,-15.07626274
2.027,-23.65390268,-13.610708,-15.04543062
2.028,-23.62588786,-13.6152,-15.01461636
2.029,-23.5978897,-13.607516,-14.98381275
2.03,-23.56990801,-13.635305,-14.95305455
2.031,-23.54194263,-13.626945,-14.92225814
2.032,-23.51399339,-13.633245,-14.89152919
2.033,-23.48606013,-13.656467,-14.86079098
2.034,-23.45814267,-13.632576,-14.83006751
2.035,-23.43024085,-13.657248,-14.7993655
2.036,-23.40235451,-13.631855,-14.76868894
2.037,-23.37448349,-13.640132,-14.73802813
2.038,-23.34662761,-13.674731,-14.7073858
2.039,-23.31878671,-13.628778,-14.6767498
2.04,-23.29096064,-13.670671,-14.64613517
2.041,-23.26314924,-13.705278,-14.61555164
2.042,-23.23535233,-13.657318,-14.58496783
2.043,-23.20756977,-13.711866,-14.5544019
2.044,-23.17980139,-13.700082,-14.52385906
2.045,-23.15204704,-13.708412,-14.49333242
2.046,-23.12430655,-13.731314,-14.46282083
2.047,-23.09657978,-13.737786,-14.43231561
2.048,-23.06886656,-13.691758,-14.40183963
2.049,-23.04116674,-13.694655,-14.37138852
2.05,-23.01348017,-13.757523,-14.34095545
2.051,-22.98580669,-13.700389,-14.31052308
2.052,-22.95814615,-13.697714,-14.28012277
2.053,-22.93049839,-13.771892,-14.24972228
2.054,-22.90286328,-13.817279,-14.21935834
2.055,-22.87524065,-13.742563,-14.18900257
2.056,-22.84763035,-13.786146,-14.15866868
2.057,-22.82003224,-13.778579,-14.12833349
2.058,-22.79244617,-13.780478,-14.09803634
2.059,-22.76487198,-13.811296,-14.0677504
2.06,-22.73730955,-13.782178,-14.03748979
2.061,-22.7097587,-13.816065,-14.00726001
2.062,-22.68221931,-13.83183,-13.97702729
2.063,-22.65469123,-13.844495,-13.94680514
2.064,-22.62717431,-13.841189,-13.91661654
2.065,-22.59966841,-13.782846,-13.88643276
2.066,-22.57217339,-13.847329,-13.8562594
2.067,-22.5446891,-13.844947,-13.82613405
2.068,-22.5172154,-13.873254,-13.79600563
2.069,-22.48975216,-13.826769,-13.76591341
2.07,-22.46229923,-13.864026,-13.73583732
2.071,-22.43485648,-13.866241,-13.7057634
2.072,-22.40742377,-13.842548,-13.67570126
2.073,-22.38000095,-13.89025,-13.6456744
2.074,-22.3525879,-13.89712,-13.61565486
2.075,-22.32518447,-13.905344,-13.58566256
2.076,-22.29779053,-13.863934,-13.55568249
2.077,-22.27040595,-13.905621,-13.52572633
2.078,-22.2430306,-13.895564,-13.49578725
2.079,-22.21566433,-13.919008,-13.46586192
2.08,-22.18830702,-13.912391,-13.43597333
2.081,-22.16095853,-13.914833,-13.40608953
2.082,-22.13361874,-13.917444,-13.37623005
2.083,-22.10628751,-13.941711,-13.34637568
2.084,-22.07896472,-13.988388,-13.3165481
2.085,-22.05165022,-13.977711,-13.28673496
2.086,-22.02434391,-13.944664,-13.25695882
2.087,-21.99704565,-13.983128,-13.22717822
2.088,-21.9697553,-13.973018,-13.19743029
2.089,-21.94247275,-13.942166,-13.16770275
2.09,-21.91519788,-14.004099,-13.13798239
2.091,-21.88793054,-14.015347,-13.10830035
2.092,-21.86067063,-13.964705,-13.07861026
2.093,-21.83341802,-13.98911,-13.04895202
2.094,-21.80617258,-14.035481,-13.01932231
2.095,-21.7789342,-14.049075,-12.98970148
2.096,-21.75170275,-14.054154,-12.96010061
2.097,-21.7244781,-14.055906,-12.93053605
2.098,-21.69726015,-14.054008,-12.90098827
2.099,-21.67004878,-14.039578,-12.87143361
2.1,-21.64284385,-14.072624,-12.84191868
2.101,-21.61564527,-14.040232,-12.81242514
2.102,-21.5884529,-14.105469,-12.78293273
2.103,-21.56126663,-14.108178,-12.75348543
2.104,-21.53408635,-14.098598,-12.72404481
2.105,-21.50691194,-14.10083,-12.69462909
2.106,-21.47974328,-14.117764,-12.66522562
2.107,-21.45258027,-14.132863,-12.63583665
2.108,-21.42542279,-14.121699,-12.60648754
2.109,-21.39827073,-14.112785,-12.5771457
2.11,-21.37112398,-14.09822,-12.54783639
2.111,-21.34398242,-14.153184,-12.51853249
2.112,-21.31684594,-14.097466,-12.48924771
2.113,-21.28971444,-14.123144,-12.45999146
2.114,-21.2625878,-14.132137,-12.43075547
2.115,-21.23546593,-14.119932,-12.40154393
2.116,-21.2083487,-14.143497,-12.37234251
2.117,-21.18123602,-14.17323,-12.34316364
2.118,-21.15412777,-14.209815,-12.31401351
2.119,-21.12702386,-14.190411,-12.28486666
2.12,-21.09992417,-14.203004,-12.2557497
2.121,-21.07282861,-14.205956,-12.22666262
2.122,-21.04573707,-14.249499,-12.19758522
2.123,-21.01864944,-14.197042,-12.16853476
2.124,-20.99156563,-14.205209,-12.13951427
2.125,-20.96448553,-14.240966,-12.11050072
2.126,-20.93740904,-14.217289,-12.08151424
2.127,-20.91033606,-14.247312,-12.05255484
2.128,-20.8832665,-14.218121,-12.02360567
2.129,-20.85620025,-14.23344,-11.99468765
2.13,-20.82913722,-14.217814,-11.96577512
2.131,-20.80207731,-14.29849,-11.93689087
2.132,-20.77502042,-14.276309,-11.90803785
2.133,-20.74796645,-14.306971,-11.87920137
2.134,-20.72091532,-14.25435,-11.85037371
2.135,-20.69386692,-14.29809,-11.82158324
2.136,-20.66682116,-14.305547,-11.79279885
2.137,-20.63977796,-14.317118,-11.7640565
2.138,-20.61273721,-14.304805,-11.73532617
2.139,-20.58569882,-14.334741,-11.70661761
2.14,-20.5586627,-14.365721,-11.67793375
2.141,-20.53162877,-14.337586,-11.64927557
2.142,-20.50459693,-14.30437,-11.62062497
2.143,-20.4775671,-14.341149,-11.59201158
2.144,-20.45053918,-14.348418,-11.5634211
2.145,-20.42351308,-14.355514,-11.53484695
2.146,-20.39648873,-14.338036,-11.50629113
2.147,-20.36946603,-14.371232,-11.47776871
2.148,-20.34244489,-14.386718,-11.44926
2.149,-20.31542524,-14.413828,-11.42077537
2.15,-20.28840699,-14.34365,-11.39230274
2.151,-20.26139004,-14.412661,-11.36386266
2.152,-20.23437433,-14.408251,-11.33545232
2.153,-20.20735977,-14.412634,-11.30706338
2.154,-20.18034628,-14.418549,-11.27869313
2.155,-20.15333377,-14.43177,-11.25035264
2.156,-20.12632216,-14.444721,-11.2220245
2.157,-20.09931138,-14.468977,-11.19372253
2.158,-20.07230134,-14.473391,-11.16543762
