"Freq [GHz]","VSWR(1) [] - probe_feed_x='5.7mm'"
1.155,398.237108631313
1.156,398.619229846411
1.157,398.999514741857
1.158,399.377959002966
1.159,399.75455836588
1.16,400.129308617974
1.161,400.5022055976
1.162,400.873245194621
1.163,401.242423350242
1.164,401.609736057194
1.165,401.97517935991
1.166,402.338749354378
1.167,402.700442188656
1.168,403.06025406251
1.169,403.418181227904
1.17,403.774219988744
1.171,404.128366701189
1.172,404.48061777371
1.173,404.830969666964
1.174,405.179418894126
1.175,405.52596202085
1.176,405.870595665224
1.177,406.213316498003
1.178,406.554121242587
1.179,406.89300667508
1.18,407.229969624287
1.181,407.565006971898
1.182,407.898115652398
1.183,408.229292653094
1.184,408.558535014313
1.185,408.885839829193
1.186,409.211204243968
1.187,409.534625457766
1.188,409.85610072278
1.189,410.175627344224
1.19,410.493202680366
1.191,410.808824142505
1.192,411.122489195004
1.193,411.434195355194
1.194,411.743940193657
1.195,412.051721333801
1.196,412.357536452371
1.197,412.661383278766
1.198,412.963259595729
1.199,413.263163238809
1.2,413.561092096602
1.201,413.857044110599
1.202,414.151017275271
1.203,414.44300963791
1.204,414.733019298729
1.205,415.021044410723
1.206,415.307083179578
1.207,415.59113386378
1.208,415.873194774481
1.209,416.153264275368
1.21,416.431340782768
1.211,416.707422765443
1.212,416.981508744679
1.213,417.25359729401
1.214,417.523687039323
1.215,417.791776658754
1.216,418.057864882501
1.217,418.321950492927
1.218,418.584032324323
1.219,418.844109262839
1.22,419.102180246534
1.221,419.358244265046
1.222,419.612300359771
1.223,419.864347623541
1.224,420.114385200535
1.225,420.362412286419
1.226,420.608428127886
1.227,420.852432022844
1.228,421.094423320107
1.229,421.334401419417
1.23,421.572365771106
1.231,421.80831587633
1.232,422.042251286615
1.233,422.274171603761
1.234,422.504076479968
1.235,422.73196561743
1.236,422.957838768286
1.237,423.181695734565
1.238,423.403536367941
1.239,423.623360569519
1.24,423.841168289931
1.241,424.056959528836
1.242,424.27073433516
1.243,424.482492806659
1.244,424.692235089785
1.245,424.899961379719
1.246,425.10567191991
1.247,425.309367002172
1.248,425.511046966376
1.249,425.710712200295
1.25,425.908363139417
1.251,426.104000266848
1.252,426.297624113055
1.253,426.48923525567
1.254,426.678834319452
1.255,426.86642197586
1.256,427.051998942951
1.257,427.235565985455
1.258,427.417123914122
1.259,427.596673585888
1.26,427.774215903446
1.261,427.94975181533
1.262,428.123282315237
1.263,428.294808442429
1.264,428.464331280999
1.265,428.631851959908
1.266,428.797371652787
1.267,428.960891577642
1.268,429.122412996653
1.269,429.281937216107
1.27,429.4394655858
1.271,429.594999499202
1.272,429.748540393188
1.273,429.900089747584
1.274,430.049649085129
1.275,430.197219971115
1.276,430.342804013344
1.277,430.486402861722
1.278,430.628018208117
1.279,430.767651786102
1.28,430.905305370694
1.281,431.040980778069
1.282,431.174679865577
1.283,431.306404531099
1.284,431.436156713137
1.285,431.563938390346
1.286,431.689751581523
1.287,431.813598345132
1.288,431.935480779176
1.289,432.055401020873
1.29,432.173361246582
1.291,432.289363671227
1.292,432.403410548398
1.293,432.515504169792
1.294,432.625646865169
1.295,432.73384100198
1.296,432.840088985312
1.297,432.944393257152
1.298,433.046756296697
1.299,433.147180619727
1.3,433.245668778405
1.301,433.342223361123
1.302,433.436846992153
1.303,433.529542331362
1.304,433.620312073998
1.305,433.709158950314
1.306,433.796085725523
1.307,433.881095199251
1.308,433.964190205496
1.309,434.045373612189
1.31,434.124648321063
1.311,434.202017267185
1.312,434.277483419014
1.313,434.351049777656
1.314,434.422719376998
1.315,434.49249528336
1.316,434.560380595003
1.317,434.626378441942
1.318,434.690491985982
1.319,434.752724419863
1.32,434.813078967455
1.321,434.871558883267
1.322,434.928167452262
1.323,434.982907989493
1.324,435.035783839841
1.325,435.086798377802
1.326,435.135955007088
1.327,435.183257160433
1.328,435.228708299374
1.329,435.272311913839
1.33,435.314071521716
1.331,435.353990669073
1.332,435.39207292942
1.333,435.428321903584
1.334,435.462741219333
1.335,435.495334531342
1.336,435.526105520574
1.337,435.555057894316
1.338,435.582195385619
1.339,435.607521753209
1.34,435.631040781068
1.341,435.652756278287
1.342,435.672672078741
1.343,435.690792040608
1.344,435.707120046451
1.345,435.721660002619
1.346,435.734415839118
1.347,435.74539150936
1.348,435.754590989652
1.349,435.762018279165
1.35,435.767677399703
1.351,435.77157239503
1.352,435.773707330993
1.353,435.7740862951
1.354,435.772713396084
1.355,435.76959276393
1.356,435.764728549394
1.357,435.758124923666
1.358,435.749786078259
1.359,435.739716224614
1.36,435.727919594066
1.361,435.714400436982
1.362,435.699163023163
1.363,435.682211641238
1.364,435.663550598275
1.365,435.643184219811
1.366,435.621116849277
1.367,435.597352848003
1.368,435.571896594692
1.369,435.544752485299
1.37,435.515924932698
1.371,435.485418366553
1.372,435.453237232631
1.373,435.419385993131
1.374,435.383869126024
1.375,435.346691124759
1.376,435.307856498159
1.377,435.267369770128
1.378,435.225235479338
1.379,435.181458178976
1.38,435.136042436485
1.381,435.088992833275
1.382,435.040313964455
1.383,434.990010438718
1.384,434.938086877782
1.385,434.884547916475
1.386,434.829398202124
1.387,434.77264239472
1.388,434.714285166097
1.389,434.654331200292
1.39,434.592785192857
1.391,434.529651850639
1.392,434.464935891808
1.393,434.398642045341
1.394,434.330775050884
1.395,434.261339658363
1.396,434.190340627897
1.397,434.117782729513
1.398,434.043670742921
1.399,433.968009457043
1.4,433.890803670167
1.401,433.812058189289
1.402,433.731777830186
1.403,433.649967416966
1.404,433.566631781935
1.405,433.481775765361
1.406,433.395404215196
1.407,433.307521986874
1.408,433.218133942869
1.409,433.127244952905
1.41,433.034859893221
1.411,432.940983646779
1.412,432.845621102583
1.413,432.748777155923
1.414,432.650456707824
1.415,432.550664664831
1.416,432.449405938943
1.417,432.346685447309
1.418,432.242508111931
1.419,432.136878859542
1.42,432.029802621399
1.421,431.921284332881
1.422,431.811328933615
1.423,431.699941366769
1.424,431.587126579316
1.425,431.472889521547
1.426,431.357235146925
1.427,431.240168411868
1.428,431.121694275525
1.429,431.001817699678
1.43,430.880543648229
1.431,430.757877087497
1.432,430.633822985403
1.433,430.508386311768
1.434,430.38157203788
1.435,430.253385136357
1.436,430.123830580858
1.437,429.992913345973
1.438,429.860638407058
1.439,429.727010739901
1.44,429.592035320628
1.441,429.455717125491
1.442,429.318061130676
1.443,429.1790723121
1.444,429.038755645294
1.445,428.897116105082
1.446,428.754158665469
1.447,428.609888299421
1.448,428.46430997889
1.449,428.317428674117
1.45,428.169249354163
1.451,428.019776986158
1.452,427.869016535225
1.453,427.716972964676
1.454,427.563651235218
1.455,427.40905630548
1.456,427.253193131141
1.457,427.096066665384
1.458,426.937681858196
1.459,426.778043656633
1.46,426.61715700442
1.461,426.45502684166
1.462,426.291658105164
1.463,426.127055727674
1.464,425.961224638163
1.465,425.794169761421
1.466,425.625896018033
1.467,425.456408324134
1.468,425.285711591288
1.469,425.113810726399
1.47,424.94071063146
1.471,424.766416203397
1.472,424.590932334057
1.473,424.414263909808
1.474,424.236415811775
1.475,424.057392915274
1.476,423.877200089998
1.477,423.695842199586
1.478,423.513324101784
1.479,423.329650648114
1.48,423.144826683712
1.481,422.958857047359
1.482,422.771746571237
1.483,422.583500080636
1.484,422.39412239427
1.485,422.203618323574
1.486,422.011992673145
1.487,421.819250240096
1.488,421.625395814307
1.489,421.430434178077
1.49,421.234370106143
1.491,421.037208365501
1.492,420.83895371522
1.493,420.639610906399
1.494,420.43918468208
1.495,420.237679776989
1.496,420.035100917705
1.497,419.831452822084
1.498,419.626740199627
1.499,419.420967751071
1.5,419.214140168321
1.501,419.006262134469
1.502,418.797338323616
1.503,418.587373400603
1.504,418.376372021219
1.505,418.164338831851
1.506,417.951278469449
1.507,417.737195561492
1.508,417.52209472576
1.509,417.305980570419
1.51,417.088857693614
1.511,416.87073068387
1.512,416.651604119398
1.513,416.431482568527
1.514,416.210370589234
1.515,415.988272729325
1.516,415.765193526096
1.517,415.541137506582
1.518,415.316109187013
1.519,415.090113073178
1.52,414.863153660032
1.521,414.635235431835
1.522,414.406362861732
1.523,414.176540412198
1.524,413.945772534401
1.525,413.714063668534
1.526,413.481418243582
1.527,413.247840677155
1.528,413.01333537553
1.529,412.77790673368
1.53,412.541559134863
1.531,412.304296950953
1.532,412.066124542075
1.533,411.827046256713
1.534,411.587066431519
1.535,411.346189391317
1.536,411.104419449051
1.537,410.861760905601
1.538,410.618218049864
1.539,410.373795158709
1.54,410.128496496729
1.541,409.882326316367
1.542,409.635288857736
1.543,409.387388348697
1.544,409.13862900463
1.545,408.88901502852
1.546,408.638550610808
1.547,408.387239929443
1.548,408.135087149705
1.549,407.882096424307
1.55,407.628271893123
1.551,407.373617683425
1.552,407.118137909513
1.553,406.86183667307
1.554,406.604718062626
1.555,406.346786153905
1.556,406.088045009672
1.557,405.828498679591
1.558,405.568151200407
1.559,405.307006595554
1.56,405.045068875508
1.561,404.782342037369
1.562,404.518830065234
1.563,404.254536929792
1.564,403.989466588445
1.565,403.723622985375
1.566,403.457010051287
1.567,403.189631703603
1.568,402.921491846151
1.569,402.652594369558
1.57,402.382943150712
1.571,402.112542053168
1.572,401.841394926817
1.573,401.569505608095
1.574,401.29687791974
1.575,401.023515670972
1.576,400.749422657299
1.577,400.474602660594
1.578,400.199059449023
1.579,399.92279677701
1.58,399.645818385354
1.581,399.368128001077
1.582,399.089729337306
1.583,398.810626093532
1.584,398.530821955388
1.585,398.250320594616
1.586,397.969125669323
1.587,397.687240823491
1.588,397.404669687518
1.589,397.121415877728
1.59,396.837482996631
1.591,396.552874632848
1.592,396.267594361026
1.593,395.981645741959
1.594,395.695032322497
1.595,395.407757635506
1.596,395.119825200002
1.597,394.831238520975
1.598,394.542001089445
1.599,394.252116382537
1.6,393.961587863368
1.601,393.670418981028
1.602,393.37861317078
1.603,393.086173853752
1.604,392.79310443723
1.605,392.499408314402
1.606,392.205088864498
1.607,391.910149452892
1.608,391.614593430877
1.609,391.318424135736
1.61,391.021644890842
1.611,390.724259005623
1.612,390.426269775464
1.613,390.127680481854
1.614,389.828494392266
1.615,389.528714760319
1.616,389.22834482553
1.617,388.927387813692
1.618,388.625846936496
1.619,388.323725391757
1.62,388.021026363471
1.621,387.717753021534
1.622,387.413908522204
1.623,387.109496007632
1.624,386.804518606249
1.625,386.498979432591
1.626,386.192881587294
1.627,385.88622815724
1.628,385.579022215402
1.629,385.271266821061
1.63,384.962965019682
1.631,384.654119842903
1.632,384.344734308575
1.633,384.034811420966
1.634,383.724354170477
1.635,383.413365533842
1.636,383.10184847415
1.637,382.789805940751
1.638,382.477240869411
1.639,382.164156182227
1.64,381.850554787716
1.641,381.536439580705
1.642,381.221813442671
1.643,380.906679241285
1.644,380.59103983087
1.645,380.274898052174
1.646,379.958256732523
1.647,379.641118685713
1.648,379.323486712142
1.649,379.005363598835
1.65,378.686752119373
1.651,378.367655033985
1.652,378.04807508967
1.653,377.728015019998
1.654,377.407477545331
1.655,377.086465372716
1.656,376.764981196048
1.657,376.443027695984
1.658,376.120607540058
1.659,375.797723382566
1.66,375.474377864767
1.661,375.150573614858
1.662,374.826313247956
1.663,374.501599366131
1.664,374.176434558491
1.665,373.850821401189
1.666,373.524762457422
1.667,373.198260277548
1.668,372.871317398971
1.669,372.543936346305
1.67,372.216119631409
1.671,371.887869753339
1.672,371.5591891984
1.673,371.230080440206
1.674,370.90054593972
1.675,370.570588145218
1.676,370.240209492487
1.677,369.909412404719
1.678,369.578199292479
1.679,369.246572553928
1.68,368.914534574757
1.681,368.582087728288
1.682,368.249234375373
1.683,367.915976864551
1.684,367.582317532053
1.685,367.248258701913
1.686,366.913802685758
1.687,366.578951783241
1.688,366.243708281648
1.689,365.908074456279
1.69,365.572052570345
1.691,365.235644874948
1.692,364.898853609258
1.693,364.561681000416
1.694,364.224129263676
1.695,363.886200602455
1.696,363.547897208257
1.697,363.209221260838
1.698,362.870174928127
1.699,362.530760366367
1.7,362.190979720144
1.701,361.850835122371
1.702,361.510328694414
1.703,361.169462546022
1.704,360.828238775478
1.705,360.486659469538
1.706,360.14472670361
1.707,359.802442541688
1.708,359.459809036334
1.709,359.116828228975
1.71,358.773502149602
1.711,358.42983281715
1.712,358.085822239281
1.713,357.741472412607
1.714,357.396785322538
1.715,357.051762943618
1.716,356.706407239211
1.717,356.36072016187
1.718,356.014703653227
1.719,355.668359643945
1.72,355.321690053953
1.721,354.974696792441
1.722,354.627381757837
1.723,354.279746837866
1.724,353.931793909604
1.725,353.583524839615
1.726,353.234941483854
1.727,352.88604568778
1.728,352.536839286456
1.729,352.187324104467
1.73,351.83750195605
1.731,351.487374645193
1.732,351.136943965503
1.733,350.786211700443
1.734,350.435179623373
1.735,350.08384949736
1.736,349.732223075467
1.737,349.380302100797
1.738,349.028088306292
1.739,348.675583415145
1.74,348.322789140552
1.741,347.969707185856
1.742,347.61633924462
1.743,347.262687000676
1.744,346.908752128143
1.745,346.554536291454
1.746,346.200041145507
1.747,345.845268335571
1.748,345.490219497367
1.749,345.134896257333
1.75,344.779300232301
1.751,344.423433029745
1.752,344.067296248006
1.753,343.710891475916
1.754,343.354220293225
1.755,342.997284270508
1.756,342.640084969152
1.757,342.282623941482
1.758,341.924902730838
1.759,341.566922871496
1.76,341.20868588891
1.761,340.850193299575
1.762,340.491446611179
1.763,340.132447322569
1.764,339.773196923899
1.765,339.413696896675
1.766,339.053948713728
1.767,338.693953839209
1.768,338.333713728884
1.769,337.973229829934
1.77,337.612503581092
1.771,337.251536412729
1.772,336.890329746825
1.773,336.528884997168
1.774,336.167203569147
1.775,335.805286860068
1.776,335.443136259032
1.777,335.080753147047
1.778,334.718138897058
1.779,334.355294874098
1.78,333.992222435066
1.781,333.628922929147
1.782,333.265397697505
1.783,332.901648073635
1.784,332.537675383241
1.785,332.173480944243
1.786,331.809066066933
1.787,331.444432054048
1.788,331.079580200714
1.789,330.714511794562
1.79,330.349228115741
1.791,329.983730437031
1.792,329.618020023797
1.793,329.252098134107
1.794,328.885966018766
1.795,328.519624921322
1.796,328.153076078232
1.797,327.786320718788
1.798,327.419360065169
1.799,327.052195332617
1.8,326.684827729326
1.801,326.317258456627
1.802,325.949488708903
1.803,325.581519673813
1.804,325.213352532105
1.805,324.844988457861
1.806,324.476428618592
1.807,324.107674174976
1.808,323.738726281192
1.809,323.369586084975
1.81,323.000254727452
1.811,322.63073334334
1.812,322.261023060987
1.813,321.891125002407
1.814,321.521040283282
1.815,321.150770013088
1.816,320.780315295067
1.817,320.409677226352
1.818,320.038856897959
1.819,319.66785539483
1.82,319.296673795932
1.821,318.925313174288
1.822,318.553774596947
1.823,318.18205912518
1.824,317.810167814383
1.825,317.438101714232
1.826,317.06586186865
1.827,316.69344931589
1.828,316.320865088638
1.829,315.948110213919
1.83,315.575185713298
1.831,315.20209260286
1.832,314.828831893229
1.833,314.455404589599
1.834,314.081811691963
1.835,313.708054194875
1.836,313.334133087754
1.837,312.960049354727
1.838,312.585803974888
1.839,312.211397922135
1.84,311.836832165283
1.841,311.462107668274
1.842,311.087225389954
1.843,310.712186284331
1.844,310.336991300466
1.845,309.961641382717
1.846,309.586137470525
1.847,309.210480498724
1.848,308.83467139736
1.849,308.458711091885
1.85,308.082600503227
1.851,307.706340547608
1.852,307.3299321369
1.853,306.953376178389
1.854,306.576673575113
1.855,306.199825225617
1.856,305.822832024132
1.857,305.445694860673
1.858,305.068414620992
1.859,304.690992186653
1.86,304.313428435116
1.861,303.935724239694
1.862,303.557880469709
1.863,303.179897990423
1.864,302.801777663181
1.865,302.423520345431
1.866,302.04512689067
1.867,301.666598148639
1.868,301.287934965287
1.869,300.909138182798
1.87,300.530208639704
1.871,300.15114717083
1.872,299.771954607468
1.873,299.392631777316
1.874,299.013179504496
1.875,298.633598609762
1.876,298.253889910369
1.877,297.874054220214
1.878,297.494092349818
1.879,297.114005106412
1.88,296.733793293992
1.881,296.353457713318
1.882,295.972999161997
1.883,295.592418434516
1.884,295.211716322194
1.885,294.830893613414
1.886,294.449951093477
1.887,294.06888954479
1.888,293.687709746781
1.889,293.306412476059
1.89,292.924998506347
1.891,292.543468608629
1.892,292.161823551068
1.893,291.780064099186
1.894,291.398191015864
1.895,291.016205061207
1.896,290.634106992944
1.897,290.25189756608
1.898,289.869577533241
1.899,289.487147644517
1.9,289.104608647605
1.901,288.721961287856
1.902,288.33920630822
1.903,287.956344449391
1.904,287.573376449768
1.905,287.190303045596
1.906,286.807124970869
1.907,286.423842957497
1.908,286.040457735264
1.909,285.656970031887
1.91,285.273380573115
1.911,284.889690082647
1.912,284.505899282291
1.913,284.122008891954
1.914,283.738019629636
1.915,283.353932211555
1.916,282.969747352139
1.917,282.585465764086
1.918,282.201088158335
1.919,281.816615244208
1.92,281.432047729338
1.921,281.047386319879
1.922,280.662631720291
1.923,280.277784633579
1.924,279.892845761327
1.925,279.507815803583
1.926,279.122695459025
1.927,278.737485424994
1.928,278.352186397482
1.929,277.96679907117
1.93,277.581324139495
1.931,277.195762294716
1.932,276.810114227847
1.933,276.424380628795
1.934,276.03856218633
1.935,275.652659588199
1.936,275.266673521068
1.937,274.880604670597
1.938,274.494453721555
1.939,274.10822135767
1.94,273.721908261864
1.941,273.335515116181
1.942,272.949042601827
1.943,272.562491399212
1.944,272.175862188013
1.945,271.789155647219
1.946,271.402372455049
1.947,271.015513289165
1.948,270.628578826577
1.949,270.241569743701
1.95,269.854486716426
1.951,269.467330420109
1.952,269.080101529693
1.953,268.692800719574
1.954,268.305428663848
1.955,267.917986036153
1.956,267.530473509803
1.957,267.142891757805
1.958,266.755241452902
1.959,266.367523267587
1.96,265.979737874124
1.961,265.591885944589
1.962,265.203968150958
1.963,264.815985165068
1.964,264.427937658654
1.965,264.039826303402
1.966,263.651651770995
1.967,263.263414733138
1.968,262.875115861559
1.969,262.486755828058
1.97,262.098335304539
1.971,261.709854963062
1.972,261.321315475836
1.973,260.932717515318
1.974,260.54406175408
1.975,260.155348865089
1.976,259.766579521513
1.977,259.377754396864
1.978,258.988874164997
1.979,258.59993950016
1.98,258.210951076995
1.981,257.821909570622
1.982,257.432815656553
1.983,257.043670010852
1.984,256.654473310081
1.985,256.265226231401
1.986,255.875929452497
1.987,255.48658365172
1.988,255.097189508
1.989,254.707747700983
1.99,254.318258910984
1.991,253.928723819067
1.992,253.539143106999
1.993,253.149517457401
1.994,252.759847553637
1.995,252.370134079908
1.996,251.980377721313
1.997,251.590579163812
1.998,251.200739094264
1.999,250.810858200471
2,250.42093717127
2.001,250.03097669639
2.002,249.640977466626
2.003,249.25094017381
2.004,248.860865510864
2.005,248.470754171782
2.006,248.080606851681
2.007,247.690424246841
2.008,247.300207054682
2.009,246.909955973826
2.01,246.519671704162
2.011,246.129354946765
2.012,245.739006403997
2.013,245.348626779531
2.014,244.958216778325
2.015,244.567777106693
2.016,244.177308472336
2.017,243.786811584319
2.018,243.396287153121
2.019,243.005735890638
2.02,242.615158510254
2.021,242.22455572681
2.022,241.833928256678
2.023,241.443276817718
2.024,241.052602129365
2.025,240.661904912591
2.026,240.271185890013
2.027,239.880445785823
2.028,239.489685325828
2.029,239.098905237531
2.03,238.708106250078
2.031,238.317289094357
2.032,237.92645450293
2.033,237.53560321012
2.034,237.144735952004
2.035,236.753853466445
2.036,236.362956493099
2.037,235.972045773441
2.038,235.581122050776
2.039,235.190186070304
2.04,234.799238579071
2.041,234.408280326017
2.042,234.017312062019
2.043,233.626334539903
2.044,233.235348514401
2.045,232.844354742245
2.046,232.453353982179
2.047,232.06234699492
2.048,231.67133454323
2.049,231.280317391925
2.05,230.889296307842
2.051,230.498272059962
2.052,230.107245419303
2.053,229.71621715904
2.054,229.325188054439
2.055,228.93415888296
2.056,228.543130424183
2.057,228.152103459893
2.058,227.761078774089
2.059,227.370057152912
2.06,226.979039384829
2.061,226.588026260452
2.062,226.197018572734
2.063,225.80601711685
2.064,225.415022690281
2.065,225.024036092824
2.066,224.633058126565
2.067,224.242089595943
2.068,223.851131307751
2.069,223.460184071137
2.07,223.069248697594
2.071,222.678326001035
2.072,222.28741679778
2.073,221.89652190654
2.074,221.50564214849
2.075,221.11477834718
2.076,220.723931328695
2.077,220.333101921528
2.078,219.942290956679
2.079,219.551499267625
2.08,219.160727690349
2.081,218.769977063351
2.082,218.379248227664
2.083,217.988542026845
2.084,217.597859307007
2.085,217.207200916807
2.086,216.816567707493
2.087,216.42596053291
2.088,216.035380249435
2.089,215.644827716114
2.09,215.254303794559
2.091,214.863809349008
2.092,214.473345246362
2.093,214.082912356109
2.094,213.692511550465
2.095,213.30214370422
2.096,212.911809694876
2.097,212.521510402616
2.098,212.131246710301
2.099,211.741019503467
2.1,211.350829670374
2.101,210.960678101977
2.102,210.57056569196
2.103,210.180493336707
2.104,209.790461935386
2.105,209.40047238985
2.106,209.010525604709
2.107,208.620622487348
2.108,208.230763947883
2.109,207.840950899221
2.11,207.451184257032
2.111,207.061464939737
2.112,206.671793868592
2.113,206.282171967589
2.114,205.89260016356
2.115,205.503079386093
2.116,205.113610567623
2.117,204.724194643355
2.118,204.334832551331
2.119,203.945525232407
2.12,203.556273630246
2.121,203.167078691385
2.122,202.777941365122
2.123,202.388862603646
2.124,201.999843361957
2.125,201.610884597889
2.126,201.221987272128
2.127,200.833152348227
2.128,200.444380792549
2.129,200.055673574341
2.13,199.667031665678
2.131,199.27845604152
2.132,198.889947679658
2.133,198.501507560751
2.134,198.113136668303
2.135,197.724835988729
2.136,197.336606511248
2.137,196.948449227986
2.138,196.560365133896
2.139,196.172355226835
2.14,195.784420507492
2.141,195.396561979455
2.142,195.008780649132
2.143,194.621077525841
2.144,194.233453621738
2.145,193.845909951862
2.146,193.45844753408
2.147,193.071067389178
2.148,192.683770540732
2.149,192.296558015242
2.15,191.909430842025
2.151,191.522390053281
2.152,191.135436684031
2.153,190.748571772185
2.154,190.361796358462
2.155,189.97511148648
2.156,189.588518202632
2.157,189.202017556227
2.158,188.815610599354
2.159,188.429298386955
2.16,188.043081976817
2.161,187.656962429537
2.162,187.270940808541
2.163,186.885018180071
2.164,186.499195613179
2.165,186.11347417975
2.166,185.72785495445
2.167,185.342339014743
2.168,184.956927440921
2.169,184.571621316033
2.17,184.186421725928
2.171,183.801329759224
2.172,183.416346507333
2.173,183.03147306441
2.174,182.646710527379
2.175,182.262059995933
2.176,181.877522572506
2.177,181.493099362261
2.178,181.108791473107
2.179,180.724600015656
2.18,180.340526103303
2.181,179.95657085209
2.182,179.572735380793
2.183,179.189020810883
2.184,178.805428266523
2.185,178.421958874548
2.186,178.038613764465
2.187,177.655394068456
2.188,177.27230092135
2.189,176.889335460625
2.19,176.50649882639
2.191,176.123792161407
2.192,175.741216611022
2.193,175.358773323205
2.194,174.97646344851
2.195,174.594288140126
2.196,174.212248553778
2.197,173.830345847758
2.198,173.448581182941
2.199,173.06695572273
2.2,172.685470633062
2.201,172.304127082434
2.202,171.922926241801
2.203,171.541869284666
2.204,171.16095738701
2.205,170.780191727275
2.206,170.399573486402
2.207,170.019103847751
2.208,169.638783997165
2.209,169.258615122876
2.21,168.878598415568
2.211,168.498735068314
2.212,168.119026276568
2.213,167.739473238197
2.214,167.360077153398
2.215,166.980839224731
2.216,166.601760657109
2.217,166.222842657749
2.218,165.844086436203
2.219,165.46549320429
2.22,165.087064176133
2.221,164.708800568113
2.222,164.330703598877
2.223,163.952774489301
2.224,163.57501446247
2.225,163.19742474371
2.226,162.820006560521
2.227,162.442761142572
2.228,162.065689721725
2.229,161.688793531952
2.23,161.312073809386
2.231,160.935531792264
2.232,160.559168720918
2.233,160.182985837761
2.234,159.806984387277
2.235,159.431165615999
2.236,159.0555307725
2.237,158.680081107361
2.238,158.304817873154
2.239,157.929742324451
2.24,157.554855717765
2.241,157.180159311575
2.242,156.805654366281
2.243,156.4313421442
2.244,156.057223909526
2.245,155.683300928349
2.246,155.309574468613
2.247,154.936045800077
2.248,154.562716194343
2.249,154.189586924818
2.25,153.816659266672
2.251,153.443934496851
2.252,153.071413894044
2.253,152.699098738663
2.254,152.326990312839
2.255,151.955089900359
2.256,151.583398786714
2.257,151.211918259014
2.258,150.840649606018
2.259,150.469594118072
2.26,150.09875308712
2.261,149.728127806687
2.262,149.357719571808
2.263,148.987529679081
2.264,148.617559426591
2.265,148.247810113914
