Freq [GHz],"SimuldB(S(2,1)) []",Meausre_S21 Log Mag(dB),,,,,"dB(S(1,1)) []"
1.095,-0.091665208,0.070981093,,,,,-62.21701044
1.096,-0.091689849,0.080299512,,,,,-62.26318621
1.097,-0.091714345,0.052570656,,,,,-62.30827638
1.098,-0.091738697,0.067990392,,,,,-62.35224764
1.099,-0.091762905,0.045383207,,,,,-62.39506695
1.1,-0.091786969,0.068971723,,,,,-62.43670161
1.101,-0.091810891,0.05236714,,,,,-62.47711933
1.102,-0.09183467,0.065242037,,,,,-62.51628832
1.103,-0.091858308,0.078897901,,,,,-62.55417737
1.104,-0.091881805,0.052382845,,,,,-62.59075596
1.105,-0.091905161,0.084272966,,,,,-62.6259943
1.106,-0.091928377,0.10376978,,,,,-62.65986345
1.107,-0.091951454,0.053971663,,,,,-62.69233539
1.108,-0.091974391,0.066666588,,,,,-62.72338313
1.109,-0.091997191,0.07792259,,,,,-62.75298076
1.11,-0.092019853,0.076791622,,,,,-62.78110356
1.111,-0.092042377,0.068638489,,,,,-62.80772808
1.112,-0.092064765,0.061994478,,,,,-62.8328322
1.113,-0.092087017,0.050213724,,,,,-62.85639521
1.114,-0.092109133,0.070991352,,,,,-62.87839791
1.115,-0.092131114,0.073044732,,,,,-62.89882265
1.116,-0.092152961,0.050417561,,,,,-62.91765339
1.117,-0.092174674,0.06389831,,,,,-62.93487578
1.118,-0.092196253,0.035998676,,,,,-62.95047719
1.119,-0.0922177,0.0316348,,,,,-62.96444679
1.12,-0.092239014,0.074497245,,,,,-62.97677555
1.121,-0.092260197,0.060971472,,,,,-62.98745631
1.122,-0.092281248,0.071161307,,,,,-62.99648376
1.123,-0.092302168,0.042573176,,,,,-63.00385454
1.124,-0.092322959,0.047117319,,,,,-63.00956716
1.125,-0.092343619,0.059436601,,,,,-63.01362207
1.126,-0.092364151,0.036332402,,,,,-63.01602165
1.127,-0.092384554,0.088786773,,,,,-63.01677017
1.128,-0.092404829,0.06172156,,,,,-63.0158738
1.129,-0.092424976,0.061524853,,,,,-63.01334058
1.13,-0.092444997,0.067003518,,,,,-63.0091804
1.131,-0.09246489,0.043713272,,,,,-63.00340493
1.132,-0.092484658,0.041299462,,,,,-62.99602763
1.133,-0.092504301,0.050604969,,,,,-62.98706364
1.134,-0.092523818,0.077502109,,,,,-62.97652977
1.135,-0.092543211,0.069146663,,,,,-62.96444444
1.136,-0.09256248,0.045852363,,,,,-62.95082755
1.137,-0.092581625,0.054356761,,,,,-62.93570051
1.138,-0.092600648,0.048224065,,,,,-62.91908609
1.139,-0.092619548,0.061417531,,,,,-62.90100837
1.14,-0.092638326,0.048700579,,,,,-62.88149266
1.141,-0.092656983,0.065573417,,,,,-62.86056541
1.142,-0.092675519,0.045006271,,,,,-62.83825415
1.143,-0.092693934,0.065984048,,,,,-62.81458735
1.144,-0.09271223,0.057183377,,,,,-62.78959442
1.145,-0.092730406,0.063294657,,,,,-62.76330553
1.146,-0.092748463,0.06014074,,,,,-62.73575158
1.147,-0.092766402,0.051897805,,,,,-62.70696412
1.148,-0.092784223,0.056792732,,,,,-62.67697522
1.149,-0.092801926,0.049097519,,,,,-62.64581744
1.15,-0.092819512,0.049233094,,,,,-62.61352369
1.151,-0.092836982,0.051256835,,,,,-62.58012722
1.152,-0.092854336,0.059152476,,,,,-62.54566148
1.153,-0.092871574,0.074197955,,,,,-62.51016008
1.154,-0.092888697,0.071714424,,,,,-62.47365671
1.155,-0.092905706,0.04976853,,,,,-62.43618507
1.156,-0.0929226,0.012272147,,,,,-62.39777882
1.157,-0.092939381,0.052829109,,,,,-62.35847148
1.158,-0.092956049,0.053487841,,,,,-62.31829642
1.159,-0.092972604,0.052981213,,,,,-62.27728678
1.16,-0.092989046,0.080646932,,,,,-62.23547539
1.161,-0.093005378,0.039028529,,,,,-62.1928948
1.162,-0.093021597,0.055346113,,,,,-62.14957715
1.163,-0.093037706,0.060513068,,,,,-62.10555419
1.164,-0.093053705,0.017495094,,,,,-62.0608572
1.165,-0.093069594,0.040240336,,,,,-62.015517
1.166,-0.093085373,0.046701014,,,,,-61.96956388
1.167,-0.093101044,0.072452478,,,,,-61.9230276
1.168,-0.093116606,0.05701717,,,,,-61.87593733
1.169,-0.09313206,0.02204399,,,,,-61.82832169
1.17,-0.093147406,0.020347467,,,,,-61.78020866
1.171,-0.093162645,0.062397879,,,,,-61.73162561
1.172,-0.093177778,0.055449601,,,,,-61.6825993
1.173,-0.093192804,0.060033716,,,,,-61.6331558
1.174,-0.093207725,0.022693885,,,,,-61.58332056
1.175,-0.09322254,0.026166717,,,,,-61.53311837
1.176,-0.093237251,0.043835055,,,,,-61.48257334
1.177,-0.093251857,0.043309439,,,,,-61.43170892
1.178,-0.093266358,0.054174799,,,,,-61.3805479
1.179,-0.093280757,0.045832422,,,,,-61.3291124
1.18,-0.093295052,0.044372045,,,,,-61.27742388
1.181,-0.093309245,0.063418813,,,,,-61.22550315
1.182,-0.093323335,0.036800236,,,,,-61.17337035
1.183,-0.093337324,0.02972476,,,,,-61.12104499
1.184,-0.093351211,0.046831809,,,,,-61.06854594
1.185,-0.093364997,0.026258379,,,,,-61.01589143
1.186,-0.093378683,0.050346561,,,,,-60.96309907
1.187,-0.093392269,0.024934165,,,,,-60.91018588
1.188,-0.093405755,0.044445802,,,,,-60.85716826
1.189,-0.093419142,0.059910558,,,,,-60.80406203
1.19,-0.09343243,0.0320867,,,,,-60.75088242
1.191,-0.09344562,0.059002489,,,,,-60.69764412
1.192,-0.093458711,0.016232289,,,,,-60.64436125
1.193,-0.093471706,0.06325455,,,,,-60.5910474
1.194,-0.093484603,0.040563781,,,,,-60.53771562
1.195,-0.093497403,0.035873767,,,,,-60.48437847
1.196,-0.093510108,0.043234549,,,,,-60.43104799
1.197,-0.093522716,0.024943478,,,,,-60.37773573
1.198,-0.093535229,0.065159962,,,,,-60.32445279
1.199,-0.093547647,0.043232553,,,,,-60.2712098
1.2,-0.09355997,0.034653649,,,,,-60.21801692
1.201,-0.093572199,0.025494957,,,,,-60.16488392
1.202,-0.093584335,0.037194353,,,,,-60.11182011
1.203,-0.093596376,0.047370821,,,,,-60.05883442
1.204,-0.093608325,0.049863137,,,,,-60.00593537
1.205,-0.093620182,0.043166105,,,,,-59.95313109
1.206,-0.093631946,0.018550871,,,,,-59.90042937
1.207,-0.093643618,0.042672686,,,,,-59.84783761
1.208,-0.093655199,0.05622869,,,,,-59.79536287
1.209,-0.093666689,0.037723899,,,,,-59.74301191
1.21,-0.093678089,0.027315475,,,,,-59.69079112
1.211,-0.093689398,0.058623537,,,,,-59.6387066
1.212,-0.093700618,0.047479216,,,,,-59.58676415
1.213,-0.093711748,0.024363952,,,,,-59.53496928
1.214,-0.093722789,0.028158493,,,,,-59.48332722
1.215,-0.093733741,0.024905974,,,,,-59.43184293
1.216,-0.093744606,0.024170592,,,,,-59.3805211
1.217,-0.093755382,0.049590483,,,,,-59.32936618
1.218,-0.093766071,0.062384613,,,,,-59.27838239
1.219,-0.093776673,0.053688817,,,,,-59.22757371
1.22,-0.093787188,0.031396028,,,,,-59.17694387
1.221,-0.093797617,0.046589315,,,,,-59.12649643
1.222,-0.09380796,0.048723377,,,,,-59.07623472
1.223,-0.093818218,0.051646963,,,,,-59.02616187
1.224,-0.09382839,0.056668527,,,,,-58.97628083
1.225,-0.093838477,0.036605995,,,,,-58.92659435
1.226,-0.093848481,0.048700839,,,,,-58.87710504
1.227,-0.0938584,0.033602215,,,,,-58.8278153
1.228,-0.093868235,0.054379307,,,,,-58.77872739
1.229,-0.093877987,0.026196113,,,,,-58.72984341
1.23,-0.093887656,0.051317733,,,,,-58.68116532
1.231,-0.093897243,0.046083421,,,,,-58.63269492
1.232,-0.093906747,0.038926113,,,,,-58.58443388
1.233,-0.09391617,0.032297857,,,,,-58.53638375
1.234,-0.093925511,0.012755115,,,,,-58.48854595
1.235,-0.093934771,0.037849959,,,,,-58.44092176
1.236,-0.09394395,0.045886993,,,,,-58.39351237
1.237,-0.093953049,0.047727861,,,,,-58.34631884
1.238,-0.093962068,0.057124365,,,,,-58.29934215
1.239,-0.093971007,0.007978337,,,,,-58.25258314
1.24,-0.093979867,0.038754214,,,,,-58.2060426
1.241,-0.093988648,0.007824424,,,,,-58.15972119
1.242,-0.093997351,0.043595921,,,,,-58.11361949
1.243,-0.094005975,0.02044962,,,,,-58.06773801
1.244,-0.094014521,0.041900892,,,,,-58.02207717
1.245,-0.09402299,0.068836503,,,,,-57.9766373
1.246,-0.094031382,0.058874153,,,,,-57.93141869
1.247,-0.094039697,0.009561713,,,,,-57.88642151
1.248,-0.094047935,0.025633877,,,,,-57.84164592
1.249,-0.094056097,0.057790767,,,,,-57.79709197
1.25,-0.094064183,0.037995692,,,,,-57.75275967
1.251,-0.094072194,0.027828828,,,,,-57.70864897
1.252,-0.09408013,0.041519087,,,,,-57.66475977
1.253,-0.094087991,0.022467582,,,,,-57.62109189
1.254,-0.094095778,0.049845938,,,,,-57.57764514
1.255,-0.09410349,0.03854708,,,,,-57.53441925
1.256,-0.094111129,0.013814338,,,,,-57.49141393
1.257,-0.094118694,0.055548545,,,,,-57.44862882
1.258,-0.094126186,0.025613895,,,,,-57.40606353
1.259,-0.094133606,0.052814089,,,,,-57.36371765
1.26,-0.094140953,0.036240559,,,,,-57.3215907
1.261,-0.094148228,0.016458498,,,,,-57.27968219
1.262,-0.094155431,0.026596513,,,,,-57.23799158
1.263,-0.094162563,0.026976008,,,,,-57.19651832
1.264,-0.094169623,0.037727255,,,,,-57.15526181
1.265,-0.094176613,0.02548955,,,,,-57.11422142
1.266,-0.094183533,0.039628565,,,,,-57.0733965
1.267,-0.094190382,0.026667301,,,,,-57.0327864
1.268,-0.094197161,0.021304356,,,,,-56.9923904
1.269,-0.094203871,0.066181384,,,,,-56.95220778
1.27,-0.094210512,0.028257636,,,,,-56.91223781
1.271,-0.094217084,0.031913575,,,,,-56.87247972
1.272,-0.094223587,0.038622215,,,,,-56.83293274
1.273,-0.094230023,0.028429212,,,,,-56.79359606
1.274,-0.09423639,0.043290507,,,,,-56.75446888
1.275,-0.09424269,0.029137235,,,,,-56.71555036
1.276,-0.094248922,0.011610907,,,,,-56.67683966
1.277,-0.094255088,0.024421444,,,,,-56.63833591
1.278,-0.094261187,0.029048285,,,,,-56.60003826
1.279,-0.094267219,0.025847951,,,,,-56.56194582
1.28,-0.094273185,0.046007361,,,,,-56.5240577
1.281,-0.094279086,0.03548184,,,,,-56.48637299
1.282,-0.094284922,0.059014786,,,,,-56.44889079
1.283,-0.094290692,0.028790968,,,,,-56.41161017
1.284,-0.094296397,0.019198103,,,,,-56.3745302
1.285,-0.094302038,0.006939455,,,,,-56.33764996
1.286,-0.094307615,0.020718435,,,,,-56.30096849
1.287,-0.094313128,0.02145306,,,,,-56.26448486
1.288,-0.094318577,0.043137401,,,,,-56.2281981
1.289,-0.094323963,0.039559063,,,,,-56.19210727
1.29,-0.094329285,0.01569535,,,,,-56.1562114
1.291,-0.094334546,0.025730103,,,,,-56.12050952
1.292,-0.094339743,0.043866701,,,,,-56.08500066
1.293,-0.094344879,0.052401222,,,,,-56.04968386
1.294,-0.094349953,0.062463995,,,,,-56.01455815
1.295,-0.094354965,0.016666956,,,,,-55.97962254
1.296,-0.094359916,0.053781871,,,,,-55.94487606
1.297,-0.094364806,0.040510647,,,,,-55.91031773
1.298,-0.094369635,0.065147355,,,,,-55.87594658
1.299,-0.094374404,0.022025732,,,,,-55.84176162
1.3,-0.094379113,0.011843522,,,,,-55.80776188
1.301,-0.094383762,0.025281945,,,,,-55.77394638
1.302,-0.094388352,0.011169328,,,,,-55.74031414
1.303,-0.094392882,0.034567066,,,,,-55.70686419
1.304,-0.094397353,0.052813329,,,,,-55.67359554
1.305,-0.094401766,-0.001691146,,,,,-55.64050723
1.306,-0.09440612,0.065724008,,,,,-55.60759828
1.307,-0.094410416,0.033163339,,,,,-55.57486773
1.308,-0.094414655,0.016560307,,,,,-55.5423146
1.309,-0.094418835,0.028478568,,,,,-55.50993793
1.31,-0.094422959,0.030276062,,,,,-55.47773676
1.311,-0.094427025,0.02776975,,,,,-55.44571012
1.312,-0.094431035,0.070585236,,,,,-55.41385706
1.313,-0.094434988,0.016281907,,,,,-55.38217662
1.314,-0.094438885,0.036555205,,,,,-55.35066786
1.315,-0.094442726,0.036747728,,,,,-55.31932982
1.316,-0.094446511,-0.004704371,,,,,-55.28816156
1.317,-0.094450241,0.032629117,,,,,-55.25716214
1.318,-0.094453916,0.012155407,,,,,-55.22633063
1.319,-0.094457536,0.055583883,,,,,-55.19566609
1.32,-0.094461101,0.025663951,,,,,-55.1651676
1.321,-0.094464612,0.000734804,,,,,-55.13483422
1.322,-0.094468069,0.046788421,,,,,-55.10466504
1.323,-0.094471472,0.00318705,,,,,-55.07465915
1.324,-0.094474822,0.011296988,,,,,-55.04481564
1.325,-0.094478118,0.000554939,,,,,-55.01513358
1.326,-0.094481361,0.019511573,,,,,-54.9856121
1.327,-0.094484552,0.00963318,,,,,-54.95625028
1.328,-0.09448769,0.027580667,,,,,-54.92704724
1.329,-0.094490775,0.006920553,,,,,-54.89800208
1.33,-0.094493809,0.036379024,,,,,-54.86911393
1.331,-0.094496791,-0.02161091,,,,,-54.84038191
1.332,-0.094499721,-0.000883433,,,,,-54.81180514
1.333,-0.094502601,0.042051695,,,,,-54.78338276
1.334,-0.094505429,0.050791819,,,,,-54.7551139
1.335,-0.094508206,0.02440626,,,,,-54.72699771
1.336,-0.094510933,0.002968462,,,,,-54.69903333
1.337,-0.09451361,0.013070571,,,,,-54.67121992
1.338,-0.094516237,0.003311185,,,,,-54.64355663
1.339,-0.094518814,-0.002596342,,,,,-54.61604264
1.34,-0.094521341,0.05901796,,,,,-54.58867709
1.341,-0.094523819,0.0270673,,,,,-54.56145918
1.342,-0.094526249,0.032380495,,,,,-54.53438807
1.343,-0.094528629,0.005799684,,,,,-54.50746295
1.344,-0.094530961,0.027912375,,,,,-54.48068302
1.345,-0.094533245,-0.011559702,,,,,-54.45404746
1.346,-0.09453548,-0.004201854,,,,,-54.42755548
1.347,-0.094537668,0.019910075,,,,,-54.40120627
1.348,-0.094539808,0.017636854,,,,,-54.37499906
1.349,-0.094541901,0.002118917,,,,,-54.34893305
1.35,-0.094543947,0.016832499,,,,,-54.32300747
1.351,-0.094545945,0.015934017,,,,,-54.29722155
1.352,-0.094547898,0.031655256,,,,,-54.2715745
1.353,-0.094549803,0.015612298,,,,,-54.24606558
1.354,-0.094551663,-0.008741107,,,,,-54.22069403
1.355,-0.094553477,0.020805152,,,,,-54.19545908
1.356,-0.094555245,0.010641651,,,,,-54.17036
1.357,-0.094556967,0.032969933,,,,,-54.14539603
1.358,-0.094558644,0.003052644,,,,,-54.12056645
1.359,-0.094560277,-0.007244501,,,,,-54.09587053
1.36,-0.094561864,-0.003018027,,,,,-54.07130752
1.361,-0.094563407,0.02570842,,,,,-54.04687672
1.362,-0.094564905,0.001157504,,,,,-54.02257741
1.363,-0.09456636,0.004864226,,,,,-53.99840887
1.364,-0.09456777,0.001754841,,,,,-53.97437039
1.365,-0.094569137,0.00368222,,,,,-53.95046129
1.366,-0.09457046,0.013253693,,,,,-53.92668085
1.367,-0.09457174,-0.016774382,,,,,-53.9030284
1.368,-0.094572978,0.015267191,,,,,-53.87950323
1.369,-0.094574172,0.011568085,,,,,-53.85610468
1.37,-0.094575324,0.011462063,,,,,-53.83283206
1.371,-0.094576433,0.010889177,,,,,-53.8096847
1.372,-0.0945775,0.02157587,,,,,-53.78666194
1.373,-0.094578525,0.017737694,,,,,-53.76376312
1.374,-0.094579509,0.005115075,,,,,-53.74098757
1.375,-0.094580451,0.01452322,,,,,-53.71833465
1.376,-0.094581352,0.008002625,,,,,-53.6958037
1.377,-0.094582211,-0.000231029,,,,,-53.67339409
1.378,-0.09458303,0.019897051,,,,,-53.65110518
1.379,-0.094583808,0.005254551,,,,,-53.62893633
1.38,-0.094584546,0.033540122,,,,,-53.60688691
1.381,-0.094585243,-0.020694127,,,,,-53.58495631
1.382,-0.094585901,0.013600178,,,,,-53.56314389
1.383,-0.094586518,-0.024500109,,,,,-53.54144906
1.384,-0.094587096,-0.00222306,,,,,-53.51987118
1.385,-0.094587635,0.002621171,,,,,-53.49840967
1.386,-0.094588134,0.019659916,,,,,-53.47706392
1.387,-0.094588595,0.012386702,,,,,-53.45583333
1.388,-0.094589016,0.007433969,,,,,-53.4347173
1.389,-0.094589399,-0.001255836,,,,,-53.41371526
1.39,-0.094589744,-0.003597071,,,,,-53.39282661
1.391,-0.09459005,-0.007970173,,,,,-53.37205078
1.392,-0.094590318,0.018282738,,,,,-53.35138719
1.393,-0.094590549,-0.006725483,,,,,-53.33083527
1.394,-0.094590742,-0.001642894,,,,,-53.31039445
1.395,-0.094590897,0.009860761,,,,,-53.29006418
1.396,-0.094591015,0.015667466,,,,,-53.26984389
1.397,-0.094591097,0.002173782,,,,,-53.24973302
1.398,-0.094591141,0.018561503,,,,,-53.22973103
1.399,-0.094591149,0.005578165,,,,,-53.20983738
1.4,-0.09459112,0.009130975,,,,,-53.19005151
1.401,-0.094591055,-0.004035445,,,,,-53.17037289
1.402,-0.094590954,-0.00161971,,,,,-53.15080099
1.403,-0.094590817,0.004273695,,,,,-53.13133527
1.404,-0.094590645,0.001285444,,,,,-53.11197522
1.405,-0.094590437,0.024372589,,,,,-53.0927203
1.406,-0.094590193,-0.007174085,,,,,-53.07357
1.407,-0.094589915,0.029500874,,,,,-53.0545238
1.408,-0.094589602,0.008139666,,,,,-53.03558119
1.409,-0.094589254,-0.002854466,,,,,-53.01674167
1.41,-0.094588871,-0.0130305,,,,,-52.99800472
1.411,-0.094588454,-0.002398872,,,,,-52.97936986
1.412,-0.094588003,-0.015201044,,,,,-52.96083658
1.413,-0.094587517,-0.011921441,,,,,-52.9424044
1.414,-0.094586998,-0.007834693,,,,,-52.92407281
1.415,-0.094586446,0.011626783,,,,,-52.90584134
1.416,-0.094585859,0.035556037,,,,,-52.88770951
1.417,-0.09458524,-0.00360062,,,,,-52.86967683
1.418,-0.094584587,0.028415423,,,,,-52.85174283
1.419,-0.094583902,0.002213143,,,,,-52.83390704
1.42,-0.094583184,0.009431135,,,,,-52.81616899
1.421,-0.094582433,0.001029906,,,,,-52.79852821
1.422,-0.09458165,-0.004899296,,,,,-52.78098426
1.423,-0.094580834,0.016433092,,,,,-52.76353665
1.424,-0.094579987,0.004299956,,,,,-52.74618495
1.425,-0.094579107,0.016091486,,,,,-52.7289287
1.426,-0.094578196,0.002845866,,,,,-52.71176744
1.427,-0.094577253,-0.003267474,,,,,-52.69470075
1.428,-0.094576279,-0.010169346,,,,,-52.67772817
1.429,-0.094575274,0.007914668,,,,,-52.66084926
1.43,-0.094574238,-0.020020641,,,,,-52.64406359
1.431,-0.094573171,-0.021274833,,,,,-52.62737073
1.432,-0.094572073,-0.002829973,,,,,-52.61077025
1.433,-0.094570945,0.035253592,,,,,-52.59426172
1.434,-0.094569786,0.002659384,,,,,-52.57784471
1.435,-0.094568598,0.024440859,,,,,-52.56151881
1.436,-0.094567379,0.003565499,,,,,-52.54528361
1.437,-0.09456613,-0.012796424,,,,,-52.52913868
1.438,-0.094564852,-0.014296867,,,,,-52.51308361
1.439,-0.094563544,0.009467687,,,,,-52.497118
1.44,-0.094562207,-0.005340908,,,,,-52.48124144
1.441,-0.09456084,-0.024332877,,,,,-52.46545352
1.442,-0.094559445,-0.003740956,,,,,-52.44975386
1.443,-0.094558021,-0.002902549,,,,,-52.43414204
1.444,-0.094556568,-0.007712222,,,,,-52.41861768
1.445,-0.094555086,-0.000452523,,,,,-52.40318038
1.446,-0.094553576,-0.015493519,,,,,-52.38782975
1.447,-0.094552038,0.000702403,,,,,-52.37256542
1.448,-0.094550471,-0.024658773,,,,,-52.35738698
1.449,-0.094548877,-0.004181608,,,,,-52.34229408
1.45,-0.094547255,0.014226864,,,,,-52.32728631
1.451,-0.094545605,-0.009765812,,,,,-52.31236332
1.452,-0.094543928,-0.002791972,,,,,-52.29752472
1.453,-0.094542224,-0.002197933,,,,,-52.28277015
1.454,-0.094540492,-0.006419282,,,,,-52.26809924
1.455,-0.094538734,-0.020105628,,,,,-52.25351162
1.456,-0.094536948,0.000455623,,,,,-52.23900694
1.457,-0.094535136,0.004796656,,,,,-52.22458482
1.458,-0.094533298,0.005896285,,,,,-52.21024491
1.459,-0.094531432,-0.002793237,,,,,-52.19598686
1.46,-0.094529541,-0.002897786,,,,,-52.18181031
1.461,-0.094527624,-0.014329446,,,,,-52.16771491
1.462,-0.09452568,-0.008867128,,,,,-52.15370032
1.463,-0.094523711,-0.013654014,,,,,-52.13976618
1.464,-0.094521716,0.023386398,,,,,-52.12591216
1.465,-0.094519696,0.004996105,,,,,-52.11213791
1.466,-0.09451765,-0.007802004,,,,,-52.0984431
1.467,-0.094515579,-0.002528518,,,,,-52.08482738
1.468,-0.094513483,-0.006467937,,,,,-52.07129042
1.469,-0.094511362,-0.010034744,,,,,-52.05783189
1.47,-0.094509216,0.019114144,,,,,-52.04445147
1.471,-0.094507046,-0.009394568,,,,,-52.03114881
1.472,-0.094504851,-0.029847804,,,,,-52.0179236
1.473,-0.094502632,-0.014232959,,,,,-52.00477552
1.474,-0.094500388,-0.01200575,,,,,-51.99170424
1.475,-0.094498121,-0.021998413,,,,,-51.97870943
1.476,-0.094495829,0.003272455,,,,,-51.9657908
1.477,-0.094493514,-0.031287,,,,,-51.95294801
1.478,-0.094491175,-0.034002099,,,,,-51.94018076
1.479,-0.094488812,-0.014327509,,,,,-51.92748873
1.48,-0.094486426,-0.027300045,,,,,-51.91487163
1.481,-0.094484017,-0.017772963,,,,,-51.90232913
1.482,-0.094481584,-0.030753346,,,,,-51.88986093
1.483,-0.094479129,-0.024034394,,,,,-51.87746674
1.484,-0.094476651,-0.011630284,,,,,-51.86514625
1.485,-0.09447415,-0.01056563,,,,,-51.85289917
1.486,-0.094471626,-0.007440354,,,,,-51.84072518
1.487,-0.09446908,-0.01072829,,,,,-51.82862401
1.488,-0.094466512,0.000165097,,,,,-51.81659535
1.489,-0.094463921,0.005076286,,,,,-51.80463892
1.49,-0.094461308,-0.006492356,,,,,-51.79275443
1.491,-0.094458674,-0.020982882,,,,,-51.78094158
1.492,-0.094456017,-0.000727213,,,,,-51.76920009
