"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]","ang_deg(S(3,1)) [deg]","ang_deg(S(3,2)) [deg]","ang_deg(S(3,3)) [deg]"
1.052,65.7015832111399,-151.711906596412,-54.1405746216114,-151.761252395478,150.218313385492,-54.7782915534838
1.053,65.6142405806673,-151.85751789362,-54.2997621334015,-151.906960152626,150.036313041891,-54.9387053607928
1.054,65.5269329026904,-152.003131741985,-54.4588576440326,-152.052670036289,149.854322388049,-55.0990192855852
1.055,65.4396601670145,-152.148748141372,-54.6178612131026,-152.198382045502,149.672341373423,-55.2592334081406
1.056,65.3524223636088,-152.294367091657,-54.776772899885,-152.344096179317,149.490369947621,-55.4193478084741
1.057,65.2652194826067,-152.439988592725,-54.9355927633287,-152.489812436801,149.308408060396,-55.5793625663357
1.058,65.1780515143064,-152.58561264447,-55.0943208620587,-152.635530817038,149.126455661651,-55.73927776121
1.059,65.090918449172,-152.731239246794,-55.2529572543759,-152.781251319126,148.944512701436,-55.8990934723157
1.06,65.0038202778337,-152.876868399609,-55.4115019982585,-152.926973942181,148.762579129948,-56.0588097786054
1.061,64.9167569910884,-153.022500102836,-55.5699551513611,-153.072698685333,148.580654897532,-56.2184267587652
1.062,64.8297285799007,-153.168134356405,-55.7283167710161,-153.21842554773,148.398739954683,-56.3779444912143
1.063,64.7427350354031,-153.313771160257,-55.8865869142338,-153.364154528535,148.21683425204,-56.5373630541047
1.064,64.655776348897,-153.459410514339,-56.0447656377025,-153.509885626927,148.034937740391,-56.6966825253209
1.065,64.5688525118533,-153.605052418609,-56.2028529977895,-153.655618842101,147.853050370671,-56.8559029824798
1.066,64.4819635159125,-153.750696873034,-56.360849050541,-153.801354173268,147.671172093964,-57.01502450293
1.067,64.3951093528863,-153.89634387759,-56.5187538516829,-153.947091619654,147.489302861498,-57.1740471637517
1.068,64.3082900147572,-154.041993432263,-56.676567456621,-154.092831180504,147.307442624649,-57.3329710417568
1.069,64.22150549368,-154.187645537046,-56.8342899204418,-154.238572855076,147.125591334942,-57.4917962134877
1.07,64.1347557819818,-154.333300191944,-56.9919212979127,-154.384316642645,146.943748944047,-57.6505227552184
1.071,64.0480408721631,-154.478957396969,-57.1494616434825,-154.530062542502,146.76191540378,-57.8091507429528
1.072,63.9613607568983,-154.624617152144,-57.3069110112821,-154.675810553955,146.580090666105,-57.9676802524259
1.073,63.8747154290361,-154.770279457499,-57.4642694551249,-154.821560676327,146.398274683132,-58.1261113591023
1.074,63.7881048816004,-154.915944313076,-57.6215370285071,-154.967312908957,146.216467407117,-58.284444138177
1.075,63.7015291077909,-155.061611718923,-57.7787137846089,-155.113067251201,146.034668790463,-58.4426786645746
1.076,63.6149881009839,-155.207281675099,-57.9357997762942,-155.25882370243,145.85287878572,-58.6008150129494
1.077,63.5284818547325,-155.352954181674,-58.0927950561117,-155.404582262032,145.671097345581,-58.7588532576851
1.078,63.4420103627677,-155.498629238723,-58.2496996762954,-155.550342929409,145.489324422888,-58.9167934728949
1.079,63.3555736189987,-155.644306846335,-58.406513688765,-155.696105703983,145.307559970628,-59.074635732421
1.08,63.269171617514,-155.789987004603,-58.5632371451267,-155.841870585187,145.125803941932,-59.2323801098347
1.081,63.1828043525814,-155.935669713634,-58.7198700966738,-155.987637572475,144.94405629008,-59.3900266784364
1.082,63.0964718186493,-156.081354973541,-58.876412594387,-156.133406665315,144.762316968494,-59.5475755112551
1.083,63.010174010347,-156.227042784448,-59.0328646889354,-156.279177863189,144.580585930744,-59.7050266810486
1.084,62.9239109224854,-156.372733146488,-59.189226430677,-156.424951165599,144.398863130545,-59.8623802603034
1.085,62.8376825500575,-156.518426059802,-59.3454978696594,-156.570726572059,144.217148521755,-60.0196363212348
1.086,62.7514888882396,-156.664121524541,-59.5016790556202,-156.716504082103,144.035442058378,-60.1767949357862
1.087,62.6653299323912,-156.809819540867,-59.6577700379882,-156.862283695279,143.853743694566,-60.33385617563
1.088,62.5792056780563,-156.955520108948,-59.8137708658835,-157.008065411151,143.672053384611,-60.4908201121666
1.089,62.4931161209636,-157.101223228963,-59.9696815881187,-157.153849229299,143.490371082953,-60.6476868165253
1.09,62.4070612570275,-157.2469289011,-60.125502253199,-157.299635149319,143.308696744175,-60.8044563595636
1.091,62.3210410823485,-157.392637125557,-60.2812329093239,-157.445423170826,143.127030323005,-60.9611288118673
1.092,62.2350555932141,-157.538347902539,-60.4368736043867,-157.591213293446,142.945371774316,-61.1177042437511
1.093,62.1491047860991,-157.684061232262,-60.5924243859764,-157.737005516824,142.763721053124,-61.2741827252579
1.094,62.0631886576668,-157.829777114952,-60.7478853013775,-157.882799840622,142.58207811459,-61.4305643261592
1.095,61.9773072047691,-157.975495550842,-60.9032563975717,-158.028596264516,142.400442914018,-61.5868491159553
1.096,61.8914604244475,-158.121216540175,-61.0585377212377,-158.174394788199,142.218815406856,-61.7430371638748
1.097,61.8056483139337,-158.266940083204,-61.2137293187527,-158.320195411379,142.037195548697,-61.8991285388754
1.098,61.7198708706501,-158.41266618019,-61.3688312361932,-158.465998133783,141.855583295277,-62.0551233096436
1.099,61.6341280922108,-158.558394831405,-61.5238435193353,-158.611802955149,141.673978602474,-62.2110215445948
1.1,61.5484199764222,-158.704126037128,-61.678766213656,-158.757609875236,141.492381426311,-62.3668233118734
1.101,61.4627465212831,-158.849859797649,-61.8335993643337,-158.903418893817,141.310791722953,-62.5225286793532
1.102,61.3771077249861,-158.995596113265,-61.9883430162496,-159.049230010679,141.129209448709,-62.6781377146373
1.103,61.2915035859182,-159.141334984284,-62.1429972139878,-159.195043225629,140.947634560031,-62.8336504850582
1.104,61.2059341026607,-159.287076411024,-62.2975620018369,-159.340858538488,140.766067013513,-62.9890670576784
1.105,61.120399273991,-159.432820393809,-62.4520374237905,-159.486675949091,140.584506765892,-63.14438749929
1.106,61.0348990988823,-159.578566932976,-62.6064235235481,-159.632495457293,140.402953774048,-63.2996118764153
1.107,60.9494335765049,-159.724316028867,-62.7607203445163,-159.778317062962,140.221407995002,-63.4547402553068
1.108,60.8640027062266,-159.870067681836,-62.9149279298092,-159.924140765983,140.039869385918,-63.6097727019476
1.109,60.7786064876134,-160.015821892246,-63.0690463222502,-160.069966566256,139.858337904103,-63.7647092820516
1.11,60.6932449204302,-160.161578660469,-63.2230755643719,-160.215794463699,139.676813507005,-63.9195500610635
1.111,60.6079180046415,-160.307337986884,-63.3770156984181,-160.361624458244,139.495296152214,-64.0742951041596
1.112,60.5226257404122,-160.453099871882,-63.5308667663439,-160.507456549839,139.313785797462,-64.2289444762474
1.113,60.4373681281079,-160.598864315861,-63.6846288098174,-160.65329073845,139.132282400622,-64.3834982419665
1.114,60.352145168296,-160.744631319229,-63.8383018702203,-160.799127024056,138.950785919708,-64.5379564656885
1.115,60.2669568617462,-160.890400882404,-63.9918859886488,-160.944965406654,138.769296312877,-64.6923192115173
1.116,60.181803209431,-161.036173005812,-64.1453812059152,-161.090805886256,138.587813538425,-64.8465865432901
1.117,60.096684212527,-161.181947689886,-64.2987875625486,-161.236648462889,138.406337554791,-65.0007585245766
1.118,60.0115998724148,-161.327724935073,-64.4521050987956,-161.382493136598,138.224868320553,-65.1548352186805
1.119,59.9265501906801,-161.473504741825,-64.6053338546222,-161.528339907443,138.04340579443,-65.308816688639
1.12,59.8415351691145,-161.619287110604,-64.7584738697141,-161.674188775498,137.861949935284,-65.4627029972239
1.121,59.7565548097159,-161.765072041881,-64.9115251834784,-161.820039740854,137.680500702114,-65.6164942069411
1.122,59.6716091146894,-161.910859536137,-65.0644878350442,-161.96589280362,137.499058054061,-65.7701903800323
1.123,59.5866980864478,-162.056649593862,-65.2173618632642,-162.111747963917,137.317621950406,-65.9237915784739
1.124,59.5018217276125,-162.202442215552,-65.3701473067154,-162.257605221885,137.136192350569,-66.0772978639789
1.125,59.4169800410142,-162.348237401717,-65.5228442037008,-162.403464577677,136.954769214111,-66.2307092979962
1.126,59.3321730296932,-162.494035152871,-65.6754525922499,-162.549326031463,136.773352500732,-66.3840259417118
1.127,59.2474006969007,-162.63983546954,-65.8279725101205,-162.695189583429,136.591942170271,-66.5372478560488
1.128,59.1626630460989,-162.785638352258,-65.9804039947994,-162.841055233776,136.410538182707,-66.6903751016685
1.129,59.0779600809623,-162.931443801567,-66.1327470835041,-162.986922982722,136.229140498159,-66.8434077389701
1.13,58.9932918053779,-163.077251818021,-66.2850018131835,-163.132792830498,136.047749076884,-66.9963458280919
1.131,58.9086582234459,-163.223062402179,-66.4371682205196,-163.278664777354,135.866363879277,-67.1491894289116
1.132,58.824059339481,-163.368875554612,-66.5892463419283,-163.424538823552,135.684984865873,-67.3019386010467
1.133,58.7394951580125,-163.514691275897,-66.7412362135613,-163.570414969373,135.503611997346,-67.4545934038553
1.134,58.6549656837849,-163.660509566623,-66.8931378713066,-163.716293215111,135.322245234506,-67.6071538964366
1.135,58.5704709217594,-163.806330427385,-67.0449513507906,-163.862173561077,135.140884538305,-67.7596201376316
1.136,58.4860108771138,-163.952153858788,-67.1966766873786,-164.008056007597,134.959529869829,-67.9119921860232
1.137,58.4015855552435,-164.097979861447,-67.3483139161766,-164.153940555012,134.778181190305,-68.0642700999376
1.138,58.3171949617623,-164.243808435983,-67.4998630720329,-164.299827203679,134.596838461095,-68.2164539374445
1.139,58.2328391025031,-164.389639583029,-67.6513241895388,-164.445715953971,134.415501643703,-68.3685437563577
1.14,58.1485179835183,-164.535473303223,-67.8026973030302,-164.591606806277,134.234170699765,-68.5205396142359
1.141,58.0642316110809,-164.681309597216,-67.9539824465892,-164.737499760998,134.052845591058,-68.6724415683833
1.142,57.9799799916851,-164.827148465665,-68.1051796540454,-164.883394818553,133.871526279495,-68.8242496758506
1.143,57.8957631320468,-164.972989909236,-68.2562889589772,-165.029291979378,133.690212727125,-68.9759639934351
1.144,57.8115810391047,-165.118833928604,-68.4073103947132,-165.17519124392,133.508904896136,-69.1275845776822
1.145,57.7274337200207,-165.264680524452,-68.5582439943336,-165.321092612646,133.327602748851,-69.2791114848854
1.146,57.6433211821806,-165.410529697473,-68.7090897906722,-165.466996086034,133.146306247729,-69.4305447710874
1.147,57.5592434331951,-165.556381448368,-68.859847816317,-165.61290166458,132.965015355367,-69.5818844920811
1.148,57.4752004809003,-165.702235777846,-69.0105181036123,-165.758809348794,132.783730034496,-69.73313070341
1.149,57.3911923333584,-165.848092686626,-69.1611006846598,-165.904719139202,132.602450247985,-69.8842834603691
1.15,57.3072189988586,-165.993952175434,-69.3115955913207,-166.050631036346,132.421175958837,-70.0353428180058
1.151,57.2232804859177,-166.139814245005,-69.4620028552165,-166.19654504078,132.239907130193,-70.1863088311206
1.152,57.1393768032808,-166.285678896082,-69.6123225077309,-166.342461153076,132.058643725326,-70.3371815542683
1.153,57.0555079599221,-166.43154612942,-69.7625545800114,-166.488379373821,131.877385707648,-70.4879610417583
1.154,56.9716739650455,-166.577415945777,-69.9126991029709,-166.634299703615,131.696133040702,-70.6386473476559
1.155,56.8878748280855,-166.723288345923,-70.0627561072891,-166.780222143074,131.51488568817,-70.789240525783
1.156,56.8041105587079,-166.869163330637,-70.2127256234141,-166.926146692831,131.333643613867,-70.9397406297191
1.157,56.7203811668103,-167.015040900703,-70.3626076815641,-167.072073353532,131.152406781741,-71.0901477128023
1.158,56.6366866625232,-167.160921056916,-70.5124023117292,-167.218002125837,130.971175155876,-71.2404618281299
1.159,56.5530270562103,-167.30680380008,-70.6621095436726,-167.363933010423,130.789948700492,-71.3906830285598
1.16,56.4694023584697,-167.452689131005,-70.8117294069328,-167.509866007982,130.608727379939,-71.5408113667111
1.161,56.3858125801343,-167.598577050512,-70.9612619308249,-167.655801119218,130.427511158703,-71.6908468949652
1.162,56.3022577322726,-167.744467559427,-71.1107071444422,-167.801738344853,130.246300001406,-71.8407896654669
1.163,56.2187378261895,-167.890360658588,-71.2600650766584,-167.947677685623,130.065093872798,-71.9906397301255
1.164,56.135252873427,-168.036256348838,-71.4093357561288,-168.093619142277,129.883892737768,-72.1403971406153
1.165,56.0518028857649,-168.18215463103,-71.5585192112923,-168.239562715581,129.702696561335,-72.2900619483774
1.166,55.9683878752217,-168.328055506025,-71.7076154703733,-168.385508406314,129.521505308651,-72.4396342046202
1.167,55.8850078540551,-168.473958974692,-71.8566245613829,-168.531456215272,129.340318945001,-72.5891139603205
1.168,55.8016628347629,-168.619865037908,-72.0055465121212,-168.677406143263,129.159137435805,-72.7385012662251
1.169,55.7183528300838,-168.765773696559,-72.1543813501792,-168.82335819111,128.977960746613,-72.8877961728514
1.17,55.6350778529978,-168.911684951539,-72.30312910294,-168.969312359653,128.796788843106,-73.0369987304885
1.171,55.5518379167275,-169.057598803748,-72.4517897975812,-169.115268649743,128.615621691101,-73.1861089891988
1.172,55.4686330347383,-169.203515254096,-72.6003634610764,-169.261227062249,128.434459256543,-73.3351269988188
1.173,55.3854632207394,-169.349434303502,-72.7488501201973,-169.407187598051,128.253301505511,-73.4840528089603
1.174,55.3023284886848,-169.49535595289,-72.8972498015154,-169.553150258046,128.072148404216,-73.6328864690117
1.175,55.2192288527733,-169.641280203195,-73.045562531404,-169.699115043145,127.890999918998,-73.7816280281392
1.176,55.1361643274502,-169.787207055359,-73.1937883360401,-169.845081954272,127.709856016329,-73.9302775352879
1.177,55.0531349274073,-169.933136510329,-73.3419272414061,-169.991050992367,127.528716662814,-74.0788350391832
1.178,54.970140667584,-170.079068569065,-73.4899792732922,-170.137022158382,127.347581825186,-74.2273005883318
1.179,54.887181563168,-170.225003232532,-73.6379444572979,-170.282995453287,127.166451470311,-74.3756742310233
1.18,54.804257629596,-170.370940501702,-73.7858228188341,-170.428970878062,126.985325565182,-74.5239560153313
1.181,54.7213688825545,-170.516880377558,-73.9336143831254,-170.574948433705,126.804204076927,-74.6721459891148
1.182,54.6385153379806,-170.662822861086,-74.0813191752116,-170.720928121224,126.623086972799,-74.8202442000192
1.183,54.5556970120627,-170.808767953285,-74.2289372199499,-170.866909941645,126.441974220185,-74.9682506954782
1.184,54.4729139212411,-170.954715655159,-74.3764685420173,-171.012893896005,126.260865786598,-75.1161655227146
1.185,54.390166082209,-171.100665967719,-74.523913165912,-171.158879985358,126.079761639685,-75.2639887287421
1.186,54.3074535119134,-171.246618891985,-74.6712711159562,-171.304868210768,125.898661747217,-75.4117203603664
1.187,54.2247762275554,-171.392574428985,-74.8185424162973,-171.450858573318,125.717566077098,-75.5593604641868
1.188,54.1421342465911,-171.538532579753,-74.965727090911,-171.5968510741,125.53647459736,-75.7069090865973
1.189,54.0595275867328,-171.684493345332,-75.1128251636024,-171.742845714223,125.355387276163,-75.8543662737885
1.19,53.9769562659492,-171.830456726772,-75.2598366580092,-171.888842494808,125.174304081794,-76.0017320717489
1.191,53.8944203024664,-171.976422725131,-75.4067615976027,-172.034841416992,124.993224982672,-76.1490065262658
1.192,53.8119197147688,-172.122391341474,-75.553600005691,-172.180842481923,124.812149947342,-76.2961896829278
1.193,53.7294545215995,-172.268362576873,-75.7003519054205,-172.326845690764,124.631078944477,-76.4432815871255
1.194,53.6470247419615,-172.414336432408,-75.8470173197785,-172.472851044691,124.450011942877,-76.5902822840535
1.195,53.5646303951182,-172.560312909166,-75.9935962715949,-172.618858544896,124.26894891147,-76.7371918187115
1.196,53.4822715005941,-172.706292008243,-76.1400887835452,-172.764868192581,124.087889819313,-76.8840102359062
1.197,53.399948078176,-172.85227373074,-76.286494878152,-172.910879988964,123.906834635589,-77.030737580253
1.198,53.3176601479132,-172.998258077767,-76.4328145777877,-173.056893935275,123.725783329606,-77.1773738961769
1.199,53.2354077301186,-173.14424505044,-76.5790479046766,-173.202910032759,123.544735870802,-77.323919227915
1.2,53.1531908453696,-173.290234649883,-76.7251948808974,-173.348928282673,123.363692228739,-77.4703736195173
1.201,53.0710095145085,-173.436226877227,-76.871255528385,-173.494948686287,123.182652373107,-77.6167371148492
1.202,52.9888637586435,-173.582221733611,-77.0172298689338,-173.640971244885,123.00161627372,-77.7630097575923
1.203,52.9067535991495,-173.728219220179,-77.1631179241988,-173.786995959766,122.820583900522,-77.9091915912467
1.204,52.8246790576688,-173.874219338083,-77.3089197156989,-173.933022832239,122.639555223577,-78.0552826591324
1.205,52.7426401561119,-174.020222088484,-77.454635264819,-174.079051863627,122.458530213081,-78.2012830043909
1.206,52.6606369166584,-174.166227472548,-77.6002645928123,-174.225083055269,122.277508839349,-78.3471926699874
1.207,52.5786693617575,-174.312235491448,-77.7458077208027,-174.371116408512,122.096491072826,-78.4930116987121
1.208,52.4967375141289,-174.458246146365,-77.8912646697875,-174.51715192472,121.91547688408,-78.6387401331822
1.209,52.4148413967638,-174.604259438486,-78.0366354606394,-174.663189605268,121.734466243803,-78.7843780158434
1.21,52.3329810329255,-174.750275369004,-78.1819201141096,-174.809229451545,121.553459122812,-78.9299253889722
1.211,52.2511564461501,-174.896293939122,-78.3271186508294,-174.955271464952,121.37245549205,-79.0753822946771
1.212,52.1693676602473,-175.042315150047,-78.4722310913135,-175.101315646904,121.191455322582,-79.2207487749011
1.213,52.0876146993014,-175.188339002993,-78.6172574559623,-175.247361998827,121.010458585598,-79.3660248714228
1.214,52.005897587672,-175.334365499181,-78.7621977650639,-175.393410522161,120.829465252411,-79.5112106258591
1.215,51.9242163499945,-175.480394639841,-78.9070520387975,-175.539461218358,120.648475294458,-79.6563060796663
1.216,51.8425710111814,-175.626426426206,-79.0518202972353,-175.685514088883,120.467488683299,-79.8013112741425
1.217,51.7609615964226,-175.772460859517,-79.1965025603454,-175.831569135213,120.286505390619,-79.9462262504296
1.218,51.6793881311865,-175.918497941023,-79.3410988479942,-175.977626358838,120.105525388221,-80.0910510495147
1.219,51.5978506412207,-176.064537671978,-79.4856091799493,-176.123685761261,119.924548648037,-80.2357857122326
1.22,51.5163491525526,-176.210580053643,-79.6300335758817,-176.269747343996,119.743575142116,-80.3804302792675
1.221,51.4348836914906,-176.356625087284,-79.774372055369,-176.41581110857,119.562604842634,-80.524984791155
1.222,51.3534542846245,-176.502672774177,-79.9186246378976,-176.561877056522,119.381637721884,-80.6694492882845
1.223,51.2720609588267,-176.6487231156,-80.0627913428654,-176.707945189405,119.200673752285,-80.8138238109004
1.224,51.1907037412524,-176.794776112841,-80.2068721895847,-176.854015508782,119.019712906376,-80.9581083991051
1.225,51.109382659341,-176.940831767191,-80.3508671972852,-177.000088016228,118.838755156818,-81.1023030928605
1.226,51.0280977408165,-177.086890079951,-80.4947763851158,-177.146162713332,118.657800476392,-81.24640793199
1.227,50.9468490136886,-177.232951052425,-80.6385997721483,-177.292239601693,118.476848838001,-81.3904229561812
1.228,50.8656365062531,-177.379014685925,-80.7823373773798,-177.438318682924,118.295900214668,-81.5343482049874
1.229,50.7844602470932,-177.525080981769,-80.9259892197352,-177.584399958649,118.114954579539,-81.6781837178301
1.23,50.7033202650798,-177.671149941279,-81.0695553180704,-177.730483430502,117.934011905876,-81.8219295340007
1.231,50.6222165893725,-177.817221565786,-81.2130356911752,-177.876569100132,117.753072167066,-81.9655856926637
1.232,50.5411492494207,-177.963295856625,-81.3564303577755,-178.022656969197,117.572135336613,-82.1091522328575
1.233,50.4601182749638,-178.109372815139,-81.4997393365368,-178.168747039369,117.39120138814,-82.2526291934979
1.234,50.3791236960326,-178.255452442674,-81.6429626460669,-178.31483931233,117.210270295393,-82.3960166133793
1.235,50.2981655429496,-178.401534740584,-81.7861003049186,-178.460933789775,117.029342032234,-82.5393145311777
1.236,50.2172438463302,-178.547619710229,-81.9291523315925,-178.607030473408,116.848416572645,-82.6825229854525
1.237,50.1363586370831,-178.693707352974,-82.0721187445405,-178.753129364948,116.667493890728,-82.8256420146492
1.238,50.0555099464117,-178.839797670189,-82.214999562168,-178.899230466121,116.486573960703,-82.9686716571014
1.239,49.9746978058141,-178.985890663251,-82.3577948028375,-179.04533377867,116.305656756907,-83.1116119510328
1.24,49.8939222470846,-179.131986333543,-82.5005044848712,-179.191439304343,116.124742253798,-83.2544629345606
1.241,49.8131833023142,-179.278084682451,-82.6431286265537,-179.337547044904,115.94383042595,-83.3972246456968
1.242,49.7324810038914,-179.424185711371,-82.7856672461359,-179.483657002127,115.762921248055,-83.5398971223509
1.243,49.6518153845031,-179.5702894217,-82.928120361837,-179.629769177796,115.582014694923,-83.6824804023327
1.244,49.5711864771352,-179.716395814844,-83.0704879918482,-179.775883573706,115.401110741482,-83.8249745233541
1.245,49.4905943150739,-179.862504892212,-83.2127701543355,-179.922000191664,115.220209362776,-83.967379523032
1.246,49.4100389319058,179.991383344781,-83.354966867443,179.931880966512,115.039310533966,-84.1096954388905
1.247,49.3295203615193,179.845268894713,-83.4970781492955,179.785759898993,114.858414230331,-84.2519223083634
1.248,49.2490386381049,179.699151756159,-83.6391040180019,179.639636603941,114.677520427265,-84.394060168797
1.249,49.1685937961567,179.553031927688,-83.7810444916587,179.493511079506,114.496629100279,-84.536109057452
1.25,49.0881858704725,179.406909407863,-83.9228995883522,179.347383323825,114.315740225,-84.6780690115067
1.251,49.007814896155,179.260784195242,-84.0646693261626,179.20125333503,114.13485377717,-84.8199400680589
1.252,48.9274809086124,179.114656288379,-84.2063537231666,179.055121111236,113.953969732648,-84.961722264129
1.253,48.8471839435595,178.968525685821,-84.3479527974407,178.908986650553,113.773088067408,-85.1034156366624
1.254,48.7669240370181,178.822392386113,-84.4894665670645,178.762849951077,113.592208757539,-85.2450202225319
1.255,48.6867012253182,178.676256387792,-84.6308950501239,178.616711010894,113.411331779245,-85.3865360585408
1.256,48.6065155450988,178.530117689391,-84.7722382647142,178.470569828082,113.230457108844,-85.5279631814248
1.257,48.526367033308,178.383976289438,-84.9134962289434,178.324426400707,113.049584722769,-85.6693016278554
1.258,48.446255727205,178.237832186458,-85.0546689609356,178.178280726824,112.868714597568,-85.8105514344422
1.259,48.3661816643599,178.091685378968,-85.1957564788342,178.03213280448,112.687846709903,-85.9517126377357
1.26,48.286144882655,177.945535865483,-85.336758800805,177.88598263171,112.506981036548,-86.0927852742297
