Freq [GHz],dB(S11_OFF),dB(S11_ON),dB(S21_OFF),dB(S21_ON)
1.827,-1.2387282154,-16.5428797458,-9.1301696805,-0.5803330425
1.828,-1.2386560148,-16.5573513628,-9.1288647994,-0.5800178903
1.829,-1.2385831357,-16.5717993699,-9.1275629998,-0.5797045636
1.83,-1.2385095826,-16.5862236268,-9.1262642611,-0.5793930557
1.831,-1.2384353601,-16.6006239929,-9.1249685628,-0.57908336
1.832,-1.238360473,-16.6150003278,-9.1236758843,-0.5787754699
1.833,-1.238284926,-16.6293524906,-9.1223862053,-0.5784693787
1.834,-1.2382087236,-16.6436803404,-9.1210995055,-0.5781650801
1.835,-1.2381318705,-16.6579837361,-9.1198157644,-0.5778625674
1.836,-1.2380543714,-16.6722625363,-9.118534962,-0.5775618341
1.837,-1.2379762308,-16.6865165998,-9.117257078,-0.5772628738
1.838,-1.2378974534,-16.7007457851,-9.1159820925,-0.57696568
1.839,-1.2378180438,-16.7149499503,-9.1147099853,-0.5766702462
1.84,-1.2377380067,-16.7291289538,-9.1134407364,-0.5763765661
1.841,-1.2376573465,-16.7432826536,-9.1121743262,-0.5760846333
1.842,-1.237576068,-16.7574109077,-9.1109107346,-0.5757944414
1.843,-1.2374941756,-16.7715135738,-9.1096499419,-0.5755059841
1.844,-1.2374116741,-16.7855905096,-9.1083919285,-0.575219255
1.845,-1.2373285678,-16.7996415727,-9.1071366747,-0.5749342479
1.846,-1.2372448615,-16.8136666205,-9.105884161,-0.5746509565
1.847,-1.2371605596,-16.8276655104,-9.1046343678,-0.5743693745
1.848,-1.2370756667,-16.8416380997,-9.1033872757,-0.5740894957
1.849,-1.2369901874,-16.8555842453,-9.1021428653,-0.5738113139
1.85,-1.2369041261,-16.8695038044,-9.1009011174,-0.5735348229
1.851,-1.2368174874,-16.8833966339,-9.0996620127,-0.5732600166
1.852,-1.2367302759,-16.8972625906,-9.0984255319,-0.5729868888
1.853,-1.236642496,-16.9111015313,-9.0971916561,-0.5727154335
1.854,-1.2365541522,-16.9249133125,-9.095960366,-0.5724456445
1.855,-1.2364652491,-16.9386977909,-9.0947316428,-0.5721775157
1.856,-1.2363757911,-16.952454823,-9.0935054675,-0.5719110412
1.857,-1.2362857827,-16.9661842652,-9.0922818212,-0.5716462149
1.858,-1.2361952284,-16.9798859737,-9.0910606852,-0.5713830308
1.859,-1.2361041326,-16.9935598049,-9.0898420406,-0.5711214829
1.86,-1.2360124999,-17.007205615,-9.0886258688,-0.5708615652
1.861,-1.2359203346,-17.0208232602,-9.0874121511,-0.5706032719
1.862,-1.2358276412,-17.0344125965,-9.0862008691,-0.570346597
1.863,-1.2357344241,-17.0479734799,-9.0849920042,-0.5700915347
1.864,-1.2356406878,-17.0615057665,-9.083785538,-0.5698380791
1.865,-1.2355464367,-17.0750093122,-9.082581452,-0.5695862242
1.866,-1.2354516752,-17.088483973,-9.0813797281,-0.5693359644
1.867,-1.2353564077,-17.1019296045,-9.0801803478,-0.5690872938
1.868,-1.2352606386,-17.1153460628,-9.0789832931,-0.5688402067
1.869,-1.2351643723,-17.1287332036,-9.0777885458,-0.5685946973
1.87,-1.2350676132,-17.1420908828,-9.0765960878,-0.5683507598
1.871,-1.2349703656,-17.1554189559,-9.0754059011,-0.5681083885
1.872,-1.234872634,-17.1687172789,-9.0742179678,-0.5678675779
1.873,-1.2347744226,-17.1819857075,-9.0730322699,-0.5676283221
1.874,-1.2346757359,-17.1952240973,-9.0718487897,-0.5673906156
1.875,-1.2345765781,-17.2084323041,-9.0706675092,-0.5671544527
1.876,-1.2344769537,-17.2216101836,-9.0694884109,-0.5669198279
1.877,-1.2343768669,-17.2347575916,-9.0683114771,-0.5666867356
1.878,-1.2342763221,-17.2478743839,-9.0671366902,-0.5664551701
1.879,-1.2341753236,-17.2609604161,-9.0659640325,-0.5662251261
1.88,-1.2340738756,-17.274015544,-9.0647934867,-0.5659965979
1.881,-1.2339719826,-17.2870396235,-9.0636250354,-0.5657695801
1.882,-1.2338696487,-17.3000325103,-9.062458661,-0.5655440672
1.883,-1.2337668783,-17.3129940604,-9.0612943465,-0.5653200537
1.884,-1.2336636756,-17.3259241297,-9.0601320744,-0.5650975344
1.885,-1.2335600449,-17.338822574,-9.0589718276,-0.5648765036
1.886,-1.2334559905,-17.3516892494,-9.057813589,-0.5646569562
1.887,-1.2333515166,-17.3645240119,-9.0566573415,-0.5644388866
1.888,-1.2332466274,-17.3773267176,-9.055503068,-0.5642222897
1.889,-1.2331413273,-17.3900972227,-9.0543507517,-0.56400716
1.89,-1.2330356203,-17.4028353834,-9.0532003755,-0.5637934922
1.891,-1.2329295109,-17.4155410559,-9.0520519227,-0.5635812812
1.892,-1.232823003,-17.4282140967,-9.0509053764,-0.5633705216
1.893,-1.2327161011,-17.4408543621,-9.0497607199,-0.5631612082
1.894,-1.2326088091,-17.4534617088,-9.0486179366,-0.5629533358
1.895,-1.2325011315,-17.4660359933,-9.0474770098,-0.5627468993
1.896,-1.2323930722,-17.4785770724,-9.0463379229,-0.5625418934
1.897,-1.2322846356,-17.4910848029,-9.0452006594,-0.5623383131
1.898,-1.2321758257,-17.5035590416,-9.0440652029,-0.5621361531
1.899,-1.2320666468,-17.5159996456,-9.042931537,-0.5619354084
1.9,-1.2319571029,-17.5284064721,-9.0417996453,-0.561736074
1.901,-1.2318471983,-17.5407793783,-9.0406695115,-0.5615381447
1.902,-1.2317369369,-17.5531182216,-9.0395411194,-0.5613416155
1.903,-1.2316263231,-17.5654228595,-9.0384144528,-0.5611464815
1.904,-1.2315153609,-17.5776931497,-9.0372894955,-0.5609527376
1.905,-1.2314040544,-17.5899289499,-9.0361662316,-0.5607603788
1.906,-1.2312924076,-17.6021301181,-9.0350446449,-0.5605694002
1.907,-1.2311804248,-17.6142965124,-9.0339247196,-0.5603797968
1.908,-1.23106811,-17.6264279909,-9.0328064396,-0.5601915639
1.909,-1.2309554672,-17.6385244122,-9.0316897893,-0.5600046963
1.91,-1.2308425006,-17.6505856347,-9.0305747526,-0.5598191894
1.911,-1.2307292142,-17.6626115172,-9.029461314,-0.5596350382
1.912,-1.230615612,-17.6746019186,-9.0283494576,-0.5594522379
1.913,-1.2305016981,-17.6865566981,-9.0272391679,-0.5592707838
1.914,-1.2303874766,-17.6984757148,-9.0261304293,-0.559090671
1.915,-1.2302729514,-17.7103588282,-9.0250232262,-0.5589118947
1.916,-1.2301581267,-17.722205898,-9.0239175432,-0.5587344503
1.917,-1.2300430063,-17.7340167842,-9.0228133648,-0.5585583329
1.918,-1.2299275944,-17.7457913467,-9.0217106756,-0.558383538
1.919,-1.2298118949,-17.7575294458,-9.0206094603,-0.5582100608
1.92,-1.2296959117,-17.7692309421,-9.0195097037,-0.5580378966
1.921,-1.229579649,-17.7808956963,-9.0184113905,-0.5578670408
1.922,-1.2294631107,-17.7925235694,-9.0173145055,-0.5576974889
1.923,-1.2293463007,-17.8041144225,-9.0162190337,-0.5575292361
1.924,-1.2292292229,-17.8156681171,-9.0151249599,-0.557362278
1.925,-1.2291118815,-17.827184515,-9.0140322692,-0.5571966099
1.926,-1.2289942802,-17.838663478,-9.0129409465,-0.5570322273
1.927,-1.228876423,-17.8501048683,-9.0118509771,-0.5568691257
1.928,-1.2287583139,-17.8615085484,-9.0107623459,-0.5567073007
1.929,-1.2286399568,-17.872874381,-9.0096750383,-0.5565467477
1.93,-1.2285213555,-17.8842022292,-9.0085890394,-0.5563874622
1.931,-1.2284025141,-17.8954919562,-9.0075043345,-0.5562294399
1.932,-1.2282834363,-17.9067434255,-9.0064209091,-0.5560726763
1.933,-1.2281641261,-17.9179565012,-9.0053387484,-0.555917167
1.934,-1.2280445873,-17.9291310472,-9.0042578379,-0.5557629076
1.935,-1.2279248239,-17.9402669282,-9.0031781631,-0.5556098939
1.936,-1.2278048396,-17.9513640087,-9.0020997096,-0.5554581214
1.937,-1.2276846384,-17.962422154,-9.001022463,-0.5553075858
1.938,-1.2275642241,-17.9734412295,-8.9999464088,-0.5551582829
1.939,-1.2274436005,-17.9844211008,-8.9988715328,-0.5550102084
1.94,-1.2273227715,-17.9953616341,-8.9977978208,-0.5548633579
1.941,-1.2272017408,-18.0062626957,-8.9967252585,-0.5547177273
1.942,-1.2270805124,-18.0171241524,-8.9956538317,-0.5545733124
1.943,-1.22695909,-18.0279458712,-8.9945835264,-0.554430109
1.944,-1.2268374774,-18.0387277197,-8.9935143285,-0.5542881128
1.945,-1.2267156784,-18.0494695656,-8.992446224,-0.5541473197
1.946,-1.2265936968,-18.0601712771,-8.9913791988,-0.5540077256
1.947,-1.2264715363,-18.0708327228,-8.9903132392,-0.5538693264
1.948,-1.2263492008,-18.0814537715,-8.9892483313,-0.553732118
1.949,-1.226226694,-18.0920342927,-8.9881844611,-0.5535960962
1.95,-1.2261040196,-18.1025741559,-8.987121615,-0.5534612571
1.951,-1.2259811814,-18.1130732313,-8.9860597792,-0.5533275966
1.952,-1.2258581832,-18.1235313894,-8.9849989401,-0.5531951106
1.953,-1.2257350286,-18.1339485011,-8.983939084,-0.5530637952
1.954,-1.2256117213,-18.1443244376,-8.9828801973,-0.5529336464
1.955,-1.2254882652,-18.1546590708,-8.9818222666,-0.5528046602
1.956,-1.2253646639,-18.1649522728,-8.9807652783,-0.5526768327
1.957,-1.225240921,-18.1752039162,-8.979709219,-0.5525501599
1.958,-1.2251170403,-18.185413874,-8.9786540753,-0.552424638
1.959,-1.2249930255,-18.1955820197,-8.9775998339,-0.5523002631
1.96,-1.2248688803,-18.2057082272,-8.9765464815,-0.5521770313
1.961,-1.2247446082,-18.2157923709,-8.9754940047,-0.5520549387
1.962,-1.224620213,-18.2258343256,-8.9744423905,-0.5519339815
1.963,-1.2244956983,-18.2358339667,-8.9733916257,-0.551814156
1.964,-1.2243710677,-18.2457911698,-8.9723416971,-0.5516954583
1.965,-1.224246325,-18.2557058113,-8.9712925917,-0.5515778846
1.966,-1.2241214736,-18.2655777679,-8.9702442965,-0.5514614312
1.967,-1.2239965173,-18.2754069168,-8.9691967985,-0.5513460944
1.968,-1.2238714595,-18.2851931357,-8.9681500848,-0.5512318705
1.969,-1.2237463041,-18.2949363029,-8.9671041425,-0.5511187557
1.97,-1.2236210544,-18.3046362972,-8.9660589588,-0.5510067464
1.971,-1.2234957142,-18.3142929976,-8.9650145208,-0.550895839
1.972,-1.223370287,-18.3239062841,-8.9639708159,-0.5507860297
1.973,-1.2232447764,-18.3334760369,-8.9629278313,-0.550677315
1.974,-1.2231191858,-18.3430021368,-8.9618855544,-0.5505696912
1.975,-1.222993519,-18.3524844652,-8.9608439726,-0.5504631549
1.976,-1.2228677794,-18.361922904,-8.9598030733,-0.5503577023
1.977,-1.2227419706,-18.3713173356,-8.958762844,-0.5502533301
1.978,-1.222616096,-18.3806676431,-8.9577232723,-0.5501500345
1.979,-1.2224901593,-18.38997371,-8.9566843456,-0.5500478122
1.98,-1.222364164,-18.3992354205,-8.9556460517,-0.5499466597
1.981,-1.2222381135,-18.4084526592,-8.9546083781,-0.5498465734
1.982,-1.2221120113,-18.4176253115,-8.9535713126,-0.54974755
1.983,-1.221985861,-18.4267532632,-8.952534843,-0.5496495859
1.984,-1.221859666,-18.4358364008,-8.951498957,-0.5495526778
1.985,-1.2217334298,-18.4448746113,-8.9504636424,-0.5494568222
1.986,-1.2216071558,-18.4538677824,-8.9494288872,-0.5493620159
1.987,-1.2214808476,-18.4628158024,-8.9483946792,-0.5492682554
1.988,-1.2213545086,-18.4717185601,-8.9473610065,-0.5491755373
1.989,-1.2212281422,-18.480575945,-8.946327857,-0.5490838585
1.99,-1.2211017519,-18.4893878473,-8.9452952188,-0.5489932154
1.991,-1.2209753411,-18.4981541577,-8.94426308,-0.548903605
1.992,-1.2208489132,-18.5068747675,-8.9432314287,-0.5488150238
1.993,-1.2207224716,-18.5155495689,-8.9422002531,-0.5487274686
1.994,-1.2205960198,-18.5241784544,-8.9411695415,-0.5486409363
1.995,-1.2204695611,-18.5327613175,-8.940139282,-0.5485554235
1.996,-1.2203430989,-18.5412980521,-8.9391094631,-0.5484709271
1.997,-1.2202166367,-18.5497885528,-8.9380800731,-0.5483874439
1.998,-1.2200901777,-18.558232715,-8.9370511003,-0.5483049707
1.999,-1.2199637254,-18.5666304346,-8.9360225332,-0.5482235044
2,-1.2198372831,-18.5749816084,-8.9349943602,-0.5481430419
2.001,-1.2197108541,-18.5832861337,-8.93396657,-0.54806358
2.002,-1.2195844419,-18.5915439085,-8.9329391511,-0.5479851156
2.003,-1.2194580497,-18.5997548316,-8.931912092,-0.5479076458
2.004,-1.2193316809,-18.6079188025,-8.9308853814,-0.5478311673
2.005,-1.2192053388,-18.6160357213,-8.929859008,-0.5477556772
2.006,-1.2190790268,-18.6241054889,-8.9288329606,-0.5476811725
2.007,-1.218952748,-18.6321280069,-8.9278072278,-0.5476076501
2.008,-1.2188265058,-18.6401031776,-8.9267817986,-0.5475351071
2.009,-1.2187003036,-18.648030904,-8.9257566617,-0.5474635405
2.01,-1.2185741445,-18.65591109,-8.9247318061,-0.5473929472
2.011,-1.218448032,-18.66374364,-8.9237072206,-0.5473233245
2.012,-1.2183219691,-18.6715284594,-8.9226828944,-0.5472546694
2.013,-1.2181959593,-18.679265454,-8.9216588163,-0.5471869789
2.014,-1.2180700057,-18.6869545308,-8.9206349755,-0.5471202502
2.015,-1.2179441115,-18.6945955973,-8.919611361,-0.5470544804
2.016,-1.2178182801,-18.7021885617,-8.9185879619,-0.5469896667
2.017,-1.2176925147,-18.7097333331,-8.9175647675,-0.5469258063
2.018,-1.2175668185,-18.7172298215,-8.916541767,-0.5468628962
2.019,-1.2174411946,-18.7246779373,-8.9155189496,-0.5468009338
2.02,-1.2173156464,-18.732077592,-8.9144963047,-0.5467399162
2.021,-1.2171901769,-18.7394286979,-8.9134738214,-0.5466798407
2.022,-1.2170647895,-18.7467311679,-8.9124514894,-0.5466207045
2.023,-1.2169394872,-18.7539849159,-8.9114292978,-0.5465625049
2.024,-1.2168142733,-18.7611898564,-8.9104072363,-0.5465052392
2.025,-1.2166891509,-18.7683459049,-8.9093852943,-0.5464489046
2.026,-1.2165641232,-18.7754529776,-8.9083634613,-0.5463934985
2.027,-1.2164391934,-18.7825109916,-8.9073417269,-0.5463390183
2.028,-1.2163143645,-18.7895198648,-8.9063200807,-0.5462854613
2.029,-1.2161896398,-18.7964795158,-8.9052985124,-0.5462328248
2.03,-1.2160650223,-18.8033898642,-8.9042770116,-0.5461811062
2.031,-1.2159405152,-18.8102508305,-8.9032555682,-0.546130303
2.032,-1.2158161216,-18.8170623358,-8.9022341718,-0.5460804125
2.033,-1.2156918446,-18.8238243022,-8.9012128122,-0.5460314322
2.034,-1.2155676873,-18.8305366527,-8.9001914794,-0.5459833596
2.035,-1.2154436529,-18.837199311,-8.8991701631,-0.5459361921
2.036,-1.2153197443,-18.8438122018,-8.8981488533,-0.5458899271
2.037,-1.2151959647,-18.8503752506,-8.8971275401,-0.5458445623
2.038,-1.2150723171,-18.8568883837,-8.8961062132,-0.5458000951
2.039,-1.2149488047,-18.8633515286,-8.8950848629,-0.545756523
2.04,-1.2148254304,-18.8697646132,-8.8940634791,-0.5457138436
2.041,-1.2147021973,-18.8761275667,-8.893042052,-0.5456720545
2.042,-1.2145791085,-18.8824403188,-8.8920205717,-0.5456311532
2.043,-1.214456167,-18.8887028005,-8.8909990284,-0.5455911373
2.044,-1.2143333758,-18.8949149434,-8.8899774123,-0.5455520046
2.045,-1.214210738,-18.9010766801,-8.8889557138,-0.5455137524
2.046,-1.2140882565,-18.9071879441,-8.887933923,-0.5454763786
2.047,-1.2139659344,-18.9132486699,-8.8869120303,-0.5454398808
2.048,-1.2138437746,-18.9192587926,-8.8858900261,-0.5454042567
2.049,-1.2137217802,-18.9252182486,-8.8848679008,-0.5453695039
2.05,-1.2135999542,-18.931126975,-8.8838456448,-0.5453356202
2.051,-1.2134782994,-18.9369849099,-8.8828232487,-0.5453026033
2.052,-1.2133568189,-18.9427919923,-8.8818007029,-0.545270451
2.053,-1.2132355157,-18.948548162,-8.8807779979,-0.5452391609
2.054,-1.2131143927,-18.95425336,-8.8797551245,-0.5452087309
2.055,-1.2129934528,-18.959907528,-8.8787320731,-0.5451791587
2.056,-1.212872699,-18.9655106088,-8.8777088345,-0.5451504422
2.057,-1.2127521343,-18.971062546,-8.8766853994,-0.5451225792
2.058,-1.2126317614,-18.9765632843,-8.8756617585,-0.5450955675
2.059,-1.2125115835,-18.9820127692,-8.8746379025,-0.545069405
2.06,-1.2123916033,-18.9874109473,-8.8736138223,-0.5450440894
2.061,-1.2122718238,-18.9927577661,-8.8725895087,-0.5450196189
2.062,-1.2121522479,-18.9980531739,-8.8715649526,-0.5449959911
2.063,-1.2120328784,-19.0032971202,-8.870540145,-0.544973204
2.064,-1.2119137183,-19.0084895554,-8.8695150766,-0.5449512556
2.065,-1.2117947704,-19.0136304307,-8.8684897386,-0.5449301438
2.066,-1.2116760376,-19.0187196985,-8.867464122,-0.5449098665
2.067,-1.2115575228,-19.0237573122,-8.8664382177,-0.5448904217
2.068,-1.2114392288,-19.0287432258,-8.865412017,-0.5448718075
2.069,-1.2113211584,-19.0336773947,-8.8643855108,-0.5448540218
2.07,-1.2112033145,-19.0385597751,-8.8633586905,-0.5448370626
2.071,-1.2110857,-19.0433903242,-8.8623315471,-0.544820928
2.072,-1.2109683176,-19.0481690001,-8.8613040719,-0.544805616
2.073,-1.2108511702,-19.0528957621,-8.8602762561,-0.5447911247
2.074,-1.2107342605,-19.0575705704,-8.8592480911,-0.5447774522
2.075,-1.2106175915,-19.062193386,-8.8582195682,-0.5447645965
2.076,-1.2105011658,-19.0667641712,-8.8571906787,-0.5447525558
2.077,-1.2103849864,-19.0712828891,-8.8561614141,-0.5447413282
2.078,-1.2102690559,-19.0757495039,-8.8551317658,-0.5447309118
2.079,-1.2101533771,-19.0801639807,-8.8541017252,-0.5447213048
2.08,-1.2100379528,-19.0845262857,-8.8530712839,-0.5447125054
2.081,-1.2099227858,-19.0888363862,-8.8520404333,-0.5447045117
2.082,-1.2098078788,-19.0930942502,-8.8510091651,-0.5446973219
2.083,-1.2096932346,-19.097299847,-8.8499774709,-0.5446909343
2.084,-1.2095788559,-19.1014531468,-8.8489453422,-0.544685347
2.085,-1.2094647455,-19.1055541208,-8.8479127708,-0.5446805584
2.086,-1.209350906,-19.1096027412,-8.8468797484,-0.5446765667
2.087,-1.2092373403,-19.1135989814,-8.8458462666,-0.54467337
2.088,-1.2091240509,-19.1175428156,-8.8448123173,-0.5446709669
2.089,-1.2090110407,-19.121434219,-8.8437778923,-0.5446693554
2.09,-1.2088983123,-19.1252731681,-8.8427429834,-0.544668534
2.091,-1.2087858683,-19.1290596402,-8.8417075824,-0.5446685009
2.092,-1.2086737116,-19.1327936136,-8.8406716813,-0.5446692546
2.093,-1.2085618448,-19.1364750677,-8.839635272,-0.5446707933
2.094,-1.2084502705,-19.140103983,-8.8385983465,-0.5446731155
2.095,-1.2083389915,-19.1436803409,-8.8375608967,-0.5446762195
2.096,-1.2082280103,-19.1472041238,-8.8365229147,-0.5446801038
2.097,-1.2081173296,-19.1506753154,-8.8354843926,-0.5446847667
2.098,-1.2080069521,-19.1540939002,-8.8344453224,-0.5446902066
2.099,-1.2078968804,-19.1574598636,-8.8334056963,-0.5446964221
2.1,-1.2077871172,-19.1607731924,-8.8323655064,-0.5447034115
2.101,-1.207677665,-19.1640338742,-8.831324745,-0.5447111734
2.102,-1.2075685265,-19.1672418976,-8.8302834042,-0.5447197062
2.103,-1.2074597044,-19.1703972524,-8.8292414763,-0.5447290084
2.104,-1.2073512011,-19.1734999293,-8.8281989536,-0.5447390786
2.105,-1.2072430193,-19.17654992,-8.8271558284,-0.5447499152
2.106,-1.2071351616,-19.1795472175,-8.8261120931,-0.5447615168
2.107,-1.2070276306,-19.1824918156,-8.82506774,-0.5447738819
2.108,-1.2069204288,-19.1853837091,-8.8240227615,-0.5447870092
2.109,-1.2068135588,-19.188222894,-8.8229771501,-0.5448008972
2.11,-1.2067070233,-19.1910093672,-8.8219308983,-0.5448155445
2.111,-1.2066008247,-19.1937431268,-8.8208839986,-0.5448309497
2.112,-1.2064949656,-19.1964241717,-8.8198364435,-0.5448471114
2.113,-1.2063894485,-19.1990525021,-8.8187882255,-0.5448640282
2.114,-1.206284276,-19.2016281191,-8.8177393374,-0.5448816989
2.115,-1.2061794507,-19.2041510248,-8.8166897716,-0.544900122
2.116,-1.2060749749,-19.2066212224,-8.8156395209,-0.5449192963
2.117,-1.2059708513,-19.2090387161,-8.8145885779,-0.5449392205
2.118,-1.2058670824,-19.2114035112,-8.8135369355,-0.5449598931
2.119,-1.2057636707,-19.213715614,-8.8124845862,-0.5449813131
2.12,-1.2056606186,-19.2159750317,-8.8114315229,-0.545003479
2.121,-1.2055579287,-19.2181817728,-8.8103777385,-0.5450263896
2.122,-1.2054556035,-19.2203358466,-8.8093232257,-0.5450500437
2.123,-1.2053536453,-19.2224372635,-8.8082679775,-0.5450744401
2.124,-1.2052520568,-19.2244860351,-8.8072119867,-0.5450995775
2.125,-1.2051508403,-19.2264821737,-8.8061552462,-0.5451254548
2.126,-1.2050499984,-19.228425693,-8.8050977491,-0.5451520707
2.127,-1.2049495334,-19.2303166073,-8.8040394883,-0.545179424
2.128,-1.2048494479,-19.2321549324,-8.8029804568,-0.5452075136
2.129,-1.2047497442,-19.2339406847,-8.8019206477,-0.5452363384
2.13,-1.2046504249,-19.235673882,-8.8008600541,-0.5452658972
2.131,-1.2045514922,-19.2373545428,-8.799798669,-0.5452961889
2.132,-1.2044529487,-19.2389826868,-8.7987364857,-0.5453272123
2.133,-1.2043547968,-19.2405583347,-8.7976734973,-0.5453589664
2.134,-1.2042570388,-19.2420815082,-8.7966096969,-0.54539145
2.135,-1.2041596772,-19.24355223,-8.7955450778,-0.5454246622
2.136,-1.2040627144,-19.2449705239,-8.7944796333,-0.5454586018
2.137,-1.2039661527,-19.2463364145,-8.7934133566,-0.5454932678
2.138,-1.2038699946,-19.2476499277,-8.7923462411,-0.5455286592
2.139,-1.2037742424,-19.2489110903,-8.7912782801,-0.5455647748
2.14,-1.2036788984,-19.2501199299,-8.790209467,-0.5456016138
2.141,-1.2035839652,-19.2512764755,-8.7891397951,-0.5456391751
2.142,-1.2034894449,-19.2523807567,-8.7880692579,-0.5456774578
2.143,-1.20339534,-19.2534328044,-8.7869978488,-0.5457164608
2.144,-1.2033016527,-19.2544326505,-8.7859255614,-0.5457561831
2.145,-1.2032083856,-19.2553803275,-8.7848523891,-0.545796624
2.146,-1.2031155408,-19.2562758695,-8.7837783255,-0.5458377823
2.147,-1.2030231207,-19.2571193111,-8.7827033642,-0.5458796572
2.148,-1.2029311276,-19.2579106881,-8.7816274987,-0.5459222478
2.149,-1.2028395638,-19.2586500373,-8.7805507226,-0.5459655532
2.15,-1.2027484317,-19.2593373964,-8.7794730297,-0.5460095725
2.151,-1.2026577335,-19.2599728043,-8.7783944136,-0.5460543047
2.152,-1.2025674716,-19.2605563005,-8.777314868,-0.5460997492
2.153,-1.2024776482,-19.2610879257,-8.7762343866,-0.5461459049
2.154,-1.2023882656,-19.2615677218,-8.7751529632,-0.546192771
2.155,-1.2022993261,-19.2619957312,-8.7740705917,-0.5462403468
2.156,-1.202210832,-19.2623719976,-8.7729872657,-0.5462886314
2.157,-1.2021227854,-19.2626965657,-8.7719029792,-0.5463376241
2.158,-1.2020351888,-19.2629694808,-8.770817726,-0.5463873239
2.159,-1.2019480443,-19.2631907896,-8.7697315,-0.5464377302
2.16,-1.2018613541,-19.2633605395,-8.7686442952,-0.5464888422
2.161,-1.2017751206,-19.2634787789,-8.7675561054,-0.5465406591
2.162,-1.2016893459,-19.2635455572,-8.7664669248,-0.5465931802
2.163,-1.2016040324,-19.2635609246,-8.7653767472,-0.5466464047
2.164,-1.2015191821,-19.2635249326,-8.7642855668,-0.546700332
2.165,-1.2014347973,-19.2634376333,-8.7631933775,-0.5467549612
2.166,-1.2013508803,-19.2632990797,-8.7621001735,-0.5468102918
2.167,-1.2012674332,-19.2631093261,-8.7610059488,-0.5468663231
2.168,-1.2011844582,-19.2628684274,-8.7599106977,-0.5469230543
2.169,-1.2011019576,-19.2625764395,-8.7588144142,-0.5469804848
2.17,-1.2010199335,-19.2622334193,-8.7577170927,-0.547038614
2.171,-1.2009383881,-19.2618394246,-8.7566187272,-0.5470974412
2.172,-1.2008573235,-19.2613945141,-8.755519312,-0.5471569658
2.173,-1.200776742,-19.2608987475,-8.7544188414,-0.5472171871
2.174,-1.2006966456,-19.2603521851,-8.7533173097,-0.5472781047
2.175,-1.2006170366,-19.2597548885,-8.7522147113,-0.5473397178
2.176,-1.2005379172,-19.25910692,-8.7511110404,-0.5474020259
2.177,-1.2004592894,-19.2584083427,-8.7500062914,-0.5474650285
2.178,-1.2003811553,-19.2576592209,-8.7489004588,-0.5475287249
2.179,-1.2003035172,-19.2568596196,-8.7477935369,-0.5475931147
2.18,-1.2002263771,-19.2560096045,-8.7466855202,-0.5476581973
2.181,-1.2001497373,-19.2551092426,-8.7455764032,-0.5477239721
2.182,-1.2000735997,-19.2541586014,-8.7444661804,-0.5477904387
2.183,-1.1999979665,-19.2531577494,-8.7433548463,-0.5478575965
2.184,-1.1999228398,-19.2521067561,-8.7422423955,-0.5479254451
2.185,-1.1998482217,-19.2510056917,-8.7411288224,-0.547993984
2.186,-1.1997741142,-19.2498546274,-8.7400141218,-0.5480632127
2.187,-1.1997005196,-19.248653635,-8.7388982883,-0.5481331307
2.188,-1.1996274399,-19.2474027874,-8.7377813165,-0.5482037377
2.189,-1.199554877,-19.2461021583,-8.736663201,-0.5482750331
2.19,-1.1994828332,-19.2447518221,-8.7355439367,-0.5483470166
2.191,-1.1994113105,-19.2433518543,-8.7344235181,-0.5484196877
2.192,-1.1993403109,-19.2419023309,-8.7333019401,-0.548493046
2.193,-1.1992698364,-19.240403329,-8.7321791974,-0.5485670912
2.194,-1.1991998892,-19.2388549265,-8.7310552848,-0.5486418228
2.195,-1.1991304713,-19.2372572018,-8.7299301972,-0.5487172406
2.196,-1.1990615847,-19.2356102345,-8.7288039294,-0.548793344
2.197,-1.1989932314,-19.2339141049,-8.7276764762,-0.5488701328
2.198,-1.1989254135,-19.232168894,-8.7265478326,-0.5489476067
2.199,-1.198858133,-19.2303746837,-8.7254179935,-0.5490257652
2.2,-1.1987913918,-19.2285315566,-8.7242869538,-0.5491046082
2.201,-1.1987251921,-19.2266395961,-8.7231547085,-0.5491841352
2.202,-1.1986595358,-19.2246988865,-8.7220212526,-0.549264346
2.203,-1.1985944249,-19.2227095128,-8.720886581,-0.5493452403
2.204,-1.1985298613,-19.2206715608,-8.7197506889,-0.5494268178
2.205,-1.1984658472,-19.2185851169,-8.7186135712,-0.5495090783
2.206,-1.1984023844,-19.2164502686,-8.7174752232,-0.5495920215
2.207,-1.198339475,-19.2142671038,-8.7163356398,-0.5496756471
2.208,-1.1982771209,-19.2120357114,-8.7151948162,-0.549759955
2.209,-1.198215324,-19.2097561809,-8.7140527476,-0.5498449448
2.21,-1.1981540864,-19.2074286027,-8.7129094291,-0.5499306165
2.211,-1.1980934099,-19.2050530677,-8.711764856,-0.5500169697
2.212,-1.1980332966,-19.2026296678,-8.7106190235,-0.5501040043
2.213,-1.1979737484,-19.2001584954,-8.7094719267,-0.5501917201
2.214,-1.1979147671,-19.1976396437,-8.7083235611,-0.550280117
2.215,-1.1978563549,-19.1950732067,-8.7071739218,-0.5503691947
2.216,-1.1977985134,-19.192459279,-8.7060230042,-0.5504589531
2.217,-1.1977412448,-19.1897979559,-8.7048708037,-0.5505493921
2.218,-1.1976845509,-19.1870893336,-8.7037173156,-0.5506405115
