Freq [GHz],VSWR_HFSS,VSWR_measured_stub_matching,VSWR_measured_unmatched
1.226,422.7771834,21.70187,84.412369
1.227,423.0250247,21.559313,73.4599
1.228,423.2707943,22.228943,78.485252
1.229,423.5144914,21.206093,75.398277
1.23,423.7561157,22.319061,80.224808
1.231,423.9956666,22.003349,89.045311
1.232,424.2331436,21.445642,80.383148
1.233,424.4685464,21.734478,75.318947
1.234,424.7018747,21.326283,76.954948
1.235,424.9331283,21.058422,81.904915
1.236,425.1623068,21.074175,73.368225
1.237,425.3894101,21.835443,84.851929
1.238,425.6144381,21.99547,88.67099
1.239,425.8373908,21.559378,81.737396
1.24,426.0582682,21.289423,84.376907
1.241,426.2770702,21.803097,86.560432
1.242,426.4937971,21.593073,84.478287
1.243,426.7084489,21.248402,88.173759
1.244,426.9210259,20.871973,75.64193
1.245,427.1315283,20.836893,94.452164
1.246,427.3399564,21.048128,80.481995
1.247,427.5463105,20.862089,97.055779
1.248,427.7505912,20.204479,80.752747
1.249,427.9527988,20.325008,72.828163
1.25,428.1529339,20.463949,85.50061
1.251,428.350997,20.090052,78.242737
1.252,428.5469887,19.960455,84.126846
1.253,428.7409097,19.614782,82.046921
1.254,428.9327607,20.010801,74.67907
1.255,429.1225425,20.209167,79.450645
1.256,429.3102559,20.091112,87.706596
1.257,429.4959017,19.580214,75.836395
1.258,429.6794808,20.084656,96.461708
1.259,429.8609943,19.526678,80.616913
1.26,430.0404431,19.469419,88.849129
1.261,430.2178282,19.044302,63.471985
1.262,430.3931509,19.374929,71.919212
1.263,430.5664121,18.981411,79.684685
1.264,430.7376132,19.264275,78.729874
1.265,430.9067554,18.846752,70.069031
1.266,431.0738399,19.036457,69.61293
1.267,431.2388682,19.14274,82.608604
1.268,431.4018415,18.903019,70.900116
1.269,431.5627614,19.26576,74.665215
1.27,431.7216293,18.470289,67.057701
1.271,431.8784467,18.979996,74.147675
1.272,432.0332153,19.040733,78.504196
1.273,432.1859366,18.507479,68.648628
1.274,432.3366124,18.689074,70.236862
1.275,432.4852442,18.463598,76.310524
1.276,432.6318339,18.488945,75.539948
1.277,432.7763833,18.903879,72.613594
1.278,432.9188942,18.910917,77.646561
1.279,433.0593685,18.879805,75.264236
1.28,433.1978082,18.569798,69.707054
1.281,433.3342151,18.471024,71.649773
1.282,433.4685914,18.294979,76.242584
1.283,433.6009391,18.612448,70.444344
1.284,433.7312603,18.494934,68.657776
1.285,433.8595572,18.537197,75.36203
1.286,433.9858318,17.900852,74.485023
1.287,434.1100866,17.846825,69.708954
1.288,434.2323237,17.992294,72.572601
1.289,434.3525454,18.387154,77.385452
1.29,434.4707542,18.228481,80.078903
1.291,434.5869524,18.205149,75.719048
1.292,434.7011424,17.822887,71.942474
1.293,434.8133268,17.725672,82.551949
1.294,434.923508,17.816889,68.765923
1.295,435.0316887,17.472668,66.710785
1.296,435.1378713,17.2211,67.273544
1.297,435.2420586,17.739431,77.010048
1.298,435.3442532,17.568991,68.266083
1.299,435.4444578,17.765499,72.71273
1.3,435.5426752,17.549732,71.652855
1.301,435.6389082,17.30509,64.616516
1.302,435.7331597,17.178577,74.628784
1.303,435.8254324,17.237616,68.19976
1.304,435.9157292,17.193361,68.657082
1.305,436.0040532,17.315943,65.602356
1.306,436.0904073,17.385082,62.127953
1.307,436.1747945,17.250416,73.477585
1.308,436.2572179,17.095898,65.446892
1.309,436.3376805,16.987383,58.852135
1.31,436.4161855,17.065113,63.383804
1.311,436.492736,17.326757,60.611332
1.312,436.5673352,17.107906,63.91103
1.313,436.6399864,17.182348,61.058994
1.314,436.7106927,17.436686,66.561493
1.315,436.7794576,17.507978,70.652527
1.316,436.8462843,17.434784,62.413025
1.317,436.9111761,16.895,60.972889
1.318,436.9741366,16.97361,65.30954
1.319,437.035169,17.003422,66.289696
1.32,437.094277,17.310253,66.751938
1.321,437.1514638,17.106068,62.635258
1.322,437.2067332,17.089556,62.95829
1.323,437.2600886,16.848257,70.516556
1.324,437.3115336,17.277599,62.413303
1.325,437.3610718,17.190035,62.750568
1.326,437.4087069,16.595751,61.594078
1.327,437.4544426,17.274334,71.524643
1.328,437.4982826,17.129179,67.102943
1.329,437.5402305,17.053646,73.279236
1.33,437.5802903,16.835857,62.21064
1.331,437.6184656,16.657299,65.201958
1.332,437.6547602,17.172161,62.285336
1.333,437.6891782,16.970211,65.691452
1.334,437.7217232,16.968307,69.127449
1.335,437.7523993,16.846478,65.835403
1.336,437.7812104,16.657854,59.550865
1.337,437.8081604,16.556227,64.126808
1.338,437.8332534,16.837379,67.038765
1.339,437.8564932,17.042477,70.108925
1.34,437.8778841,17.376715,77.196152
1.341,437.89743,16.785519,66.551704
1.342,437.9151351,17.066319,65.423332
1.343,437.9310035,17.077374,67.36908
1.344,437.9450393,16.536928,64.428635
1.345,437.9572466,16.519278,60.368401
1.346,437.9676298,17.235741,62.949711
1.347,437.976193,16.732738,60.157238
1.348,437.9829404,16.631676,59.933205
1.349,437.9878763,16.903717,61.774155
1.35,437.991005,17.077215,62.505978
1.351,437.9923309,17.486336,61.820286
1.352,437.9918582,17.297783,62.30109
1.353,437.9895913,17.068304,58.489315
1.354,437.9855346,16.884251,65.151939
1.355,437.9796925,16.807114,56.019653
1.356,437.9720694,17.40567,62.268238
1.357,437.9626698,17.100023,61.637539
1.358,437.9514981,17.07412,57.930878
1.359,437.9385588,17.535828,60.69553
1.36,437.9238565,17.105999,60.511883
1.361,437.9073956,17.547115,57.377689
1.362,437.8891806,17.502409,61.991543
1.363,437.8692162,17.456034,55.698677
1.364,437.847507,17.068356,61.315804
1.365,437.8240575,17.217972,58.742805
1.366,437.7988723,17.463373,57.665573
1.367,437.7719562,17.434063,63.870533
1.368,437.7433137,17.288507,57.142323
1.369,437.7129495,17.366297,58.408344
1.37,437.6808684,17.131449,59.553326
1.371,437.647075,17.271832,60.523643
1.372,437.611574,17.748053,58.170139
1.373,437.5743702,17.406981,61.287598
1.374,437.5354684,17.401806,64.170212
1.375,437.4948733,17.130718,58.907677
1.376,437.4525898,17.244543,54.870319
1.377,437.4086225,17.06736,57.038391
1.378,437.3629764,17.668152,53.472153
1.379,437.3156563,17.547171,65.035812
1.38,437.266667,17.367634,65.682564
1.381,437.2160133,17.540522,58.243263
1.382,437.1637003,17.824316,56.415691
1.383,437.1097326,17.177223,54.90876
1.384,437.0541154,17.290077,54.647366
1.385,436.9968533,17.568747,57.952698
1.386,436.9379515,17.555199,57.255657
1.387,436.8774148,18.021385,56.83519
1.388,436.8152483,17.445456,58.216999
1.389,436.7514567,17.655058,56.807388
1.39,436.6860452,17.154243,54.481117
1.391,436.6190187,17.42304,53.136105
1.392,436.5503822,18.163698,56.851639
1.393,436.4801408,17.646622,56.622971
1.394,436.4082994,18.278109,57.464958
1.395,436.334863,17.913942,55.02393
1.396,436.2598368,17.401844,54.357811
1.397,436.1832257,18.119789,55.831173
1.398,436.1050349,17.737841,54.313744
1.399,436.0252693,18.449907,54.693039
1.4,435.9439342,17.694294,55.796162
1.401,435.8610344,18.584267,54.827637
1.402,435.7765752,18.742563,62.992149
1.403,435.6905617,18.417532,58.508453
1.404,435.6029989,18.563158,55.014851
1.405,435.513892,18.03693,56.115726
1.406,435.4232461,18.831112,60.009499
1.407,435.3310663,18.409918,56.917007
1.408,435.2373578,18.213202,55.84013
1.409,435.1421257,18.659964,54.39085
1.41,435.0453752,18.948164,55.318279
1.411,434.9471114,18.447519,53.406876
1.412,434.8473395,18.596855,55.753136
1.413,434.7460646,18.560509,56.412128
1.414,434.643292,18.714233,53.75811
1.415,434.5390267,18.880713,52.890739
1.416,434.4332741,19.291815,55.92012
1.417,434.3260393,18.517641,56.499401
1.418,434.2173274,18.746597,52.292328
1.419,434.1071437,18.879904,52.011372
1.42,433.9954934,18.597158,53.445377
1.421,433.8823816,19.274481,53.791878
1.422,433.7678137,19.241323,50.515179
1.423,433.6517947,19.548326,50.953541
1.424,433.53433,18.985851,49.034576
1.425,433.4154247,19.422087,54.916374
1.426,433.295084,18.767033,47.261242
1.427,433.1733133,19.579876,52.931515
1.428,433.0501176,20.048889,54.484402
1.429,432.9255022,19.66431,52.503242
1.43,432.7994724,20.310486,53.251442
1.431,432.6720334,20.221479,51.384853
1.432,432.5431903,19.846613,49.784973
1.433,432.4129486,19.64665,50.276081
1.434,432.2813132,20.15826,48.903709
1.435,432.1482896,19.905838,51.985443
1.436,432.013883,19.999292,48.39846
1.437,431.8780985,19.086121,46.721882
1.438,431.7409414,20.634823,50.407291
1.439,431.6024169,20.002298,47.200706
1.44,431.4625303,20.293289,49.81385
1.441,431.3212868,20.387413,47.967697
1.442,431.1786917,20.095207,47.741013
1.443,431.0347501,20.243378,47.172676
1.444,430.8894672,20.198151,44.159172
1.445,430.7428484,20.783587,46.424675
1.446,430.5948989,20.252613,48.763535
1.447,430.4456238,20.821436,51.66608
1.448,430.2950283,21.377657,53.703381
1.449,430.1431178,21.122219,50.159855
1.45,429.9898974,21.214817,48.350067
1.451,429.8353723,21.213516,48.350384
1.452,429.6795477,21.021889,48.746479
1.453,429.5224289,20.860304,50.227364
1.454,429.3640211,21.086332,52.46703
1.455,429.2043294,20.740721,45.717281
1.456,429.043359,21.938168,52.877064
1.457,428.8811152,20.863201,48.699638
1.458,428.7176031,21.656658,48.349155
1.459,428.5528279,21.597048,49.584026
1.46,428.3867949,21.270641,47.896564
1.461,428.2195091,21.081949,47.568542
1.462,428.0509757,22.606424,53.614048
1.463,427.8811999,22.186094,50.033539
1.464,427.710187,21.745689,47.636433
1.465,427.5379419,21.309128,46.312149
1.466,427.36447,22.311563,47.476719
1.467,427.1897762,22.665049,49.241764
1.468,427.0138659,22.08618,46.31979
1.469,426.836744,22.238295,45.924522
1.47,426.6584158,22.141951,45.385445
1.471,426.4788863,22.866074,47.464924
1.472,426.2981607,22.610962,45.415909
1.473,426.1162441,23.535088,43.983253
1.474,425.9331415,23.635077,46.239315
1.475,425.7488582,23.427559,44.258263
1.476,425.5633991,22.785318,43.611153
1.477,425.3767694,22.82583,46.68388
1.478,425.1889741,22.564541,45.339233
1.479,425.0000183,23.443972,45.300682
1.48,424.809907,24.059664,45.763866
1.481,424.6186454,23.608919,46.667854
1.482,424.4262384,23.44338,44.316525
1.483,424.2326911,23.761755,44.6595
1.484,424.0380085,23.360229,42.814159
1.485,423.8421957,23.010521,45.086617
1.486,423.6452577,23.775381,43.064335
1.487,423.4471994,23.845873,46.501255
1.488,423.2480258,24.09565,46.9603
1.489,423.047742,24.778767,48.509613
1.49,422.846353,25.01256,48.900032
1.491,422.6438636,24.246731,43.684868
1.492,422.4402789,24.38879,46.108273
1.493,422.2356038,23.924946,42.313938
1.494,422.0298432,24.339315,44.995037
1.495,421.8230022,23.898296,42.111107
1.496,421.6150855,23.940979,43.945354
1.497,421.4060981,24.438385,44.64027
1.498,421.196045,25.049904,44.425465
1.499,420.984931,24.446896,43.918804
1.5,420.772761,24.686605,43.221714
1.501,420.5595399,24.640495,42.96344
1.502,420.3452725,25.256512,44.649357
1.503,420.1299637,24.737026,44.159611
1.504,419.9136183,25.056292,44.465034
1.505,419.6962412,24.619593,43.315979
1.506,419.4778372,25.066271,45.248505
1.507,419.2584111,24.803738,43.270374
1.508,419.0379677,25.779202,43.963078
1.509,418.8165117,26.200403,46.157898
1.51,418.5940481,25.789261,43.691978
1.511,418.3705815,25.220648,43.022472
1.512,418.1461166,26.732,41.91222
1.513,417.9206583,25.929556,41.891006
1.514,417.6942113,24.11463,41.533245
1.515,417.4667802,26.510017,40.981865
1.516,417.2383699,25.887533,41.915253
1.517,417.0089849,26.015535,41.861073
1.518,416.77863,26.162609,42.743202
1.519,416.5473099,25.695229,40.715454
1.52,416.3150292,26.356457,43.630665
1.521,416.0817925,26.689342,41.094193
1.522,415.8476046,28.838692,43.45982
1.523,415.61247,28.04825,45.407875
1.524,415.3763933,28.192448,43.723549
1.525,415.1393792,28.396547,41.805412
1.526,414.9014322,27.490183,42.710495
1.527,414.662557,27.411446,43.353081
1.528,414.422758,28.707367,42.115009
1.529,414.1820398,27.673885,41.323345
1.53,413.940407,29.072474,43.076786
1.531,413.6978641,26.964325,40.622246
1.532,413.4544156,28.851133,42.4548
1.533,413.210066,28.130388,42.125782
1.534,412.9648198,28.96859,41.303398
1.535,412.7186814,26.84207,45.694305
1.536,412.4716554,29.127661,42.778564
1.537,412.2237461,27.481276,40.590836
1.538,411.974958,28.94323,40.908871
1.539,411.7252956,29.098518,41.6222
1.54,411.4747632,29.985826,42.374615
1.541,411.2233652,28.82914,42.882496
1.542,410.971106,29.537575,41.533379
1.543,410.71799,29.208864,38.862663
1.544,410.4640215,29.031176,39.577629
1.545,410.2092049,30.907825,41.826492
1.546,409.9535445,28.90885,40.269318
1.547,409.6970445,29.336477,40.785831
1.548,409.4397094,29.540657,42.379959
1.549,409.1815433,29.047188,38.525791
1.55,408.9225506,31.02553,39.473286
1.551,408.6627355,30.285442,40.22546
1.552,408.4021023,29.649632,41.614777
1.553,408.1406551,30.727892,40.168365
1.554,407.8783983,29.893757,39.488251
1.555,407.6153359,30.504324,39.683922
1.556,407.3514722,30.370964,38.870403
1.557,407.0868113,30.506687,38.876907
1.558,406.8213575,29.329826,38.908203
1.559,406.5551148,28.85874,36.654228
1.56,406.2880874,30.19269,37.790325
1.561,406.0202794,30.42746,37.8255
1.562,405.7516948,30.715042,40.777885
1.563,405.4823379,30.934202,39.676849
1.564,405.2122126,31.31991,37.548401
1.565,404.941323,30.883228,37.360889
1.566,404.6696731,32.310257,38.112556
1.567,404.397267,30.848633,36.565483
1.568,404.1241087,31.399874,39.320118
1.569,403.8502022,32.409943,37.713913
1.57,403.5755515,31.307663,37.87141
1.571,403.3001605,32.319931,37.855484
1.572,403.0240332,31.136585,37.293728
1.573,402.7471735,31.984261,35.946098
1.574,402.4695853,31.889441,36.635452
1.575,402.1912726,32.703365,38.233658
1.576,401.9122393,31.348577,36.260906
1.577,401.6324892,32.338245,37.68383
1.578,401.3520263,31.341702,36.246071
1.579,401.0708542,31.834049,39.597786
1.58,400.788977,32.492867,37.61795
1.581,400.5063984,31.734514,37.155453
1.582,400.2231221,35.251957,37.102554
1.583,399.9391521,32.817322,35.95063
1.584,399.6544921,32.711647,36.946323
1.585,399.3691458,32.50243,36.774929
1.586,399.083117,34.956791,37.33049
1.587,398.7964095,33.775139,38.010712
1.588,398.5090268,33.341064,36.627769
1.589,398.2209728,32.461002,36.17865
1.59,397.9322511,32.526558,37.095963
1.591,397.6428654,35.683601,37.923691
1.592,397.3528194,34.449547,37.356678
1.593,397.0621167,35.07341,36.470921
1.594,396.7707608,33.54554,35.140495
1.595,396.4787555,33.436165,36.434746
1.596,396.1861043,34.145226,34.93758
1.597,395.8928109,33.574604,35.982731
1.598,395.5988787,36.396248,35.783684
1.599,395.3043113,34.357803,34.128609
1.6,395.0091123,33.954597,36.711082
1.601,394.7132851,33.891075,35.844913
1.602,394.4168334,33.925922,35.497208
1.603,394.1197605,34.407791,37.093575
1.604,393.82207,34.85146,35.576439
1.605,393.5237653,35.747299,36.526142
1.606,393.2248498,34.104069,34.799175
1.607,392.925327,36.174065,34.068043
1.608,392.6252004,36.761944,36.830021
1.609,392.3244732,35.418373,36.377594
1.61,392.0231489,34.66671,35.848618
1.611,391.7212309,33.248871,35.539219
1.612,391.4187226,36.78315,35.865074
1.613,391.1156271,34.254723,34.264225
1.614,390.811948,36.8176,37.226578
1.615,390.5076885,33.631836,34.018745
1.616,390.2028518,37.504311,36.283463
1.617,389.8974413,34.803318,37.00993
1.618,389.5914603,35.160954,34.560059
1.619,389.284912,35.149059,33.110603
1.62,388.9777996,35.134418,34.530727
1.621,388.6701263,35.773693,33.479927
1.622,388.3618954,40.084564,35.715988
1.623,388.05311,36.160793,34.585621
1.624,387.7437734,34.694775,33.910149
1.625,387.4338887,36.464821,34.602173
1.626,387.123459,37.002895,33.027302
1.627,386.8124874,35.00008,32.705967
1.628,386.5009772,37.713154,34.557941
1.629,386.1889313,36.419857,35.43856
1.63,385.8763529,35.433697,33.507984
1.631,385.5632451,35.787743,34.143578
1.632,385.2496109,37.300297,34.880932
1.633,384.9354533,39.855629,33.826523
1.634,384.6207755,39.702045,34.717884
1.635,384.3055803,37.09547,31.782198
1.636,383.9898708,38.766396,33.521107
1.637,383.67365,39.230972,33.335384
1.638,383.3569209,36.444679,33.648598
1.639,383.0396864,37.552841,32.573788
1.64,382.7219495,39.357605,33.755116
1.641,382.403713,40.29118,33.976093
1.642,382.08498,40.063381,34.155743
1.643,381.7657533,40.134327,33.585632
1.644,381.4460357,39.317272,33.870411
1.645,381.1258302,38.455055,32.292736
1.646,380.8051396,44.499966,33.373245
1.647,380.4839668,39.983326,34.039501
1.648,380.1623146,39.989853,32.49715
1.649,379.8401857,40.855297,33.070133
1.65,379.5175831,41.767117,35.211178
1.651,379.1945094,37.761997,33.521137
1.652,378.8709675,42.264194,33.847382
1.653,378.5469601,41.970711,33.690262
1.654,378.22249,36.139244,31.215546
1.655,377.8975599,37.885193,32.049274
1.656,377.5721724,41.791637,32.424191
1.657,377.2463304,38.699738,33.234684
1.658,376.9200364,40.964367,31.233408
1.659,376.5932932,40.467655,33.583992
1.66,376.2661034,43.428082,33.972206
1.661,375.9384697,38.642189,31.966665
1.662,375.6103946,41.207275,32.884102
1.663,375.2818809,42.467747,34.074463
1.664,374.9529311,37.547451,32.522984
1.665,374.6235478,40.091301,31.614063
1.666,374.2937336,40.898594,31.171179
1.667,373.963491,40.658108,31.316067
1.668,373.6328226,42.414997,31.769384
1.669,373.301731,40.380188,32.451035
1.67,372.9702186,41.489079,32.24654
1.671,372.638288,38.899273,31.662603
1.672,372.3059416,41.165768,31.491655
1.673,371.973182,38.886356,31.193499
1.674,371.6400116,41.494038,30.523335
1.675,371.3064328,41.147591,33.370201
1.676,370.9724481,42.69059,31.551521
1.677,370.63806,41.438316,31.378033
1.678,370.3032708,39.564461,29.118607
1.679,369.968083,40.285065,31.49184
1.68,369.6324989,39.640194,32.240448
1.681,369.296521,40.552319,30.411638
1.682,368.9601515,42.054325,30.533388
1.683,368.6233928,41.695759,31.063293
1.684,368.2862474,44.680744,31.695354
1.685,367.9487174,41.888737,32.204636
1.686,367.6108052,43.774467,31.207333
1.687,367.2725131,43.262054,31.201832
1.688,366.9338434,43.036629,32.610825
1.689,366.5947983,43.233566,29.646437
1.69,366.2553802,42.23439,30.148094
1.691,365.9155912,41.664852,32.971554
1.692,365.5754336,44.129566,31.530413
1.693,365.2349097,42.537472,32.295258
1.694,364.8940216,42.514153,31.208811
1.695,364.5527715,40.728996,30.729492
1.696,364.2111617,42.32999,30.197464
1.697,363.8691942,40.373775,31.289677
1.698,363.5268713,41.133701,31.285408
1.699,363.184195,43.659218,31.285069
1.7,362.8411676,42.964931,30.083961
1.701,362.4977912,41.646694,32.106564
1.702,362.1540678,41.360203,29.921671
1.703,361.8099996,44.887936,32.201534
1.704,361.4655886,42.444679,30.12435
1.705,361.120837,43.507767,29.902771
1.706,360.7757467,42.02879,30.893398
1.707,360.4303199,44.680679,31.223421
1.708,360.0845586,42.534611,30.377272
1.709,359.7384648,44.369011,29.847984
1.71,359.3920405,41.257355,30.061388
