Freq(Hz),S21 Phase_HFSS,S21 Phase_milled,S21 Phase_z0lver
1130000000,-53.89483891,-144.83427,-151.2633195
1131000000,-54.10581908,-144.82072,-151.4054068
1132000000,-54.31681487,-144.71246,-151.5475427
1133000000,-54.52782633,-144.86252,-151.6896787
1134000000,-54.73885347,-145.16267,-151.8318535
1135000000,-54.94989631,-145.21654,-151.9740768
1136000000,-55.1609549,-145.50848,-152.1162905
1137000000,-55.37202925,-145.67604,-152.2585333
1138000000,-55.5831194,-145.70164,-152.4008052
1139000000,-55.79422536,-145.75578,-152.5430966
1140000000,-56.00534717,-145.76736,-152.6854462
1141000000,-56.21648485,-146.13815,-152.8277958
1142000000,-56.42763843,-146.21564,-152.9701552
1143000000,-56.63880794,-146.46632,-153.1125437
1144000000,-56.84999341,-146.45175,-153.2550099
1145000000,-57.06119486,-146.48433,-153.397447
1146000000,-57.27241232,-146.72685,-153.5399035
1147000000,-57.48364581,-147.08145,-153.682428
1148000000,-57.69489537,-146.87949,-153.8249622
1149000000,-57.90616102,-147.18364,-153.9675158
1150000000,-58.11744279,-147.369,-154.1101083
1151000000,-58.32874071,-147.30467,-154.2526911
1152000000,-58.54005479,-147.59854,-154.3953321
1153000000,-58.75138508,-147.56618,-154.5380023
1154000000,-58.9627316,-147.78564,-154.6806726
1155000000,-59.17409437,-147.95935,-154.8233913
1156000000,-59.38547343,-148.0657,-154.966149
1157000000,-59.5968688,-148.24637,-155.1088969
1158000000,-59.8082805,-148.39754,-155.2516739
1159000000,-60.01970857,-148.32137,-155.3944899
1160000000,-60.23115303,-148.62918,-155.5373543
1161000000,-60.44261391,-148.71805,-155.6801994
1162000000,-60.65409124,-148.90765,-155.8231125
1163000000,-60.86558505,-148.89264,-155.9660352
1164000000,-61.07709535,-149.04694,-156.1089774
1165000000,-61.28862219,-149.21788,-156.2519585
1166000000,-61.50016558,-149.28537,-156.3949687
1167000000,-61.71172557,-149.35861,-156.5379886
1168000000,-61.92330216,-149.47261,-156.6810279
1169000000,-62.13489539,-149.81871,-156.8241353
1170000000,-62.3465053,-149.91315,-156.9672232
1171000000,-62.55813189,-149.86487,-157.1103791
1172000000,-62.76977522,-149.97697,-157.253535
1173000000,-62.98143529,-150.12613,-157.3967103
1174000000,-63.19311214,-150.30341,-157.5399342
1175000000,-63.4048058,-150.53761,-157.6831679
1176000000,-63.6165163,-150.46292,-157.8264209
1177000000,-63.82824365,-150.6324,-157.9697322
1178000000,-64.0399879,-150.68124,-158.113063
1179000000,-64.25174906,-151.1326,-158.2563938
1180000000,-64.46352717,-150.99417,-158.3997925
1181000000,-64.67532226,-151.31145,-158.5431816
1182000000,-64.88713434,-151.57695,-158.6866192
1183000000,-65.09896346,-151.47951,-158.8300762
1184000000,-65.31080963,-151.73285,-158.9735721
1185000000,-65.52267288,-151.58461,-159.1170875
1186000000,-65.73455325,-151.89507,-159.2606125
1187000000,-65.94645077,-151.92943,-159.4041861
1188000000,-66.15836545,-152.09599,-159.5477694
1189000000,-66.37029732,-152.36691,-159.691411
1190000000,-66.58224643,-152.65173,-159.8350624
1191000000,-66.79421278,-152.52502,-159.9787428
1192000000,-67.00619642,-152.66684,-160.1224427
1193000000,-67.21819737,-152.68321,-160.2661718
1194000000,-67.43021565,-153.04407,-160.4099299
1195000000,-67.6422513,-153.05858,-160.5537173
1196000000,-67.85430434,-153.12642,-160.6975532
1197000000,-68.06637481,-153.32439,-160.841389
1198000000,-68.27846272,-153.43837,-160.9852735
1199000000,-68.49056812,-153.54695,-161.129158
1200000000,-68.70269102,-153.61867,-161.273091
1201000000,-68.91483145,-153.88736,-161.4170435
1202000000,-69.12698945,-153.91882,-161.5610348
1203000000,-69.33916504,-154.01353,-161.7050455
1204000000,-69.55135825,-154.25751,-161.8490951
1205000000,-69.76356911,-154.41853,-161.9931447
1206000000,-69.97579764,-154.49213,-162.1372526
1207000000,-70.18804388,-154.48238,-162.2813702
1208000000,-70.40030786,-154.45786,-162.4255364
1209000000,-70.61258959,-154.83008,-162.5697025
1210000000,-70.82488912,-154.83751,-162.713927
1211000000,-71.03720646,-155.22118,-162.8581514
1212000000,-71.24954165,-155.35773,-163.0024439
1213000000,-71.46189472,-155.45856,-163.1467169
1214000000,-71.67426569,-155.49448,-163.2910482
1215000000,-71.88665459,-155.66545,-163.4354184
1216000000,-72.09906145,-155.90984,-163.5797886
1217000000,-72.31148631,-155.92336,-163.724217
1218000000,-72.52392918,-155.94255,-163.8686455
1219000000,-72.7363901,-156.20435,-164.0130933
1220000000,-72.9488691,-156.21964,-164.1575995
1221000000,-73.1613662,-156.48798,-164.3021445
1222000000,-73.37388144,-156.38556,-164.4466895
1223000000,-73.58641484,-156.48946,-164.5912734
1224000000,-73.79896643,-156.83479,-164.7358767
1225000000,-74.01153624,-156.95346,-164.8805383
1226000000,-74.2241243,-157.07921,-165.0252193
1227000000,-74.43673063,-157.11055,-165.1698809
1228000000,-74.64935527,-157.12175,-165.3146396
1229000000,-74.86199825,-157.44247,-165.4593983
1230000000,-75.07465959,-157.37395,-165.6041959
1231000000,-75.28733933,-157.80634,-165.7490129
1232000000,-75.50003749,-157.99106,-165.8938494
1233000000,-75.7127541,-158.03809,-166.0387247
1234000000,-75.92548919,-158.02036,-166.1836388
1235000000,-76.13824279,-158.2057,-166.3285724
1236000000,-76.35101493,-158.35564,-166.4735448
1237000000,-76.56380564,-158.26564,-166.6185367
1238000000,-76.77661494,-158.68333,-166.7635674
1239000000,-76.98944287,-158.85287,-166.9086176
1240000000,-77.20228946,-158.94167,-167.0537066
1241000000,-77.41515473,-158.94318,-167.198815
1242000000,-77.62803871,-159.1534,-167.3439817
1243000000,-77.84094144,-159.21194,-167.489129
1244000000,-78.05386294,-159.28403,-167.634354
1245000000,-78.26680324,-159.44417,-167.779579
1246000000,-78.47976238,-159.48315,-167.9248428
1247000000,-78.69274037,-159.64166,-168.0701456
1248000000,-78.90573726,-159.86452,-168.2154677
1249000000,-79.11875306,-160.03278,-168.3608287
1250000000,-79.33178781,-159.93887,-168.5062091
1251000000,-79.54484154,-160.07642,-168.651609
1252000000,-79.75791428,-160.52805,-168.7970865
1253000000,-79.97100606,-160.61916,-168.9425641
1254000000,-80.18411691,-160.51312,-169.0880611
1255000000,-80.39724685,-160.77568,-169.2335969
1256000000,-80.61039592,-160.8333,-169.3791911
1257000000,-80.82356414,-161.06587,-169.5247852
1258000000,-81.03675155,-161.18272,-169.6703988
1259000000,-81.24995818,-161.34975,-169.8160706
1260000000,-81.46318405,-161.31451,-169.9617619
1261000000,-81.6764292,-161.43517,-170.1074726
1262000000,-81.88969366,-161.71407,-170.2532222
1263000000,-82.10297744,-161.66142,-170.39903
1264000000,-82.3162806,-161.94315,-170.5448184
1265000000,-82.52960315,-161.98386,-170.6906845
1266000000,-82.74294512,-162.11377,-170.8365507
1267000000,-82.95630655,-162.29008,-170.9824751
1268000000,-83.16968746,-162.46463,-171.1283995
1269000000,-83.38308789,-162.52728,-171.2743822
1270000000,-83.59650787,-162.66238,-171.4203649
1271000000,-83.80994742,-162.82253,-171.5664059
1272000000,-84.02340657,-163.03888,-171.7124857
1273000000,-84.23688536,-163.29022,-171.858585
1274000000,-84.45038382,-163.23149,-172.0047037
1275000000,-84.66390197,-163.29823,-172.1508806
1276000000,-84.87743985,-163.47177,-172.297077
1277000000,-85.09099749,-163.46132,-172.4432929
1278000000,-85.30457491,-163.74039,-172.5895281
1279000000,-85.51817215,-163.90663,-172.7358411
1280000000,-85.73178924,-163.78627,-172.8821346
1281000000,-85.94542621,-164.21786,-173.0285059
1282000000,-86.15908308,-164.12663,-173.1748966
1283000000,-86.3727599,-164.47487,-173.3212873
1284000000,-86.58645668,-164.25665,-173.4677557
1285000000,-86.80017347,-164.47502,-173.6142241
1286000000,-87.01391029,-164.92165,-173.7607508
1287000000,-87.22766717,-165.04512,-173.9072774
1288000000,-87.44144414,-164.86942,-174.0538624
1289000000,-87.65524123,-165.19016,-174.2004474
1290000000,-87.86905848,-165.34872,-174.34711
1291000000,-88.08289591,-165.35362,-174.4937727
1292000000,-88.29675356,-165.61491,-174.6404937
1293000000,-88.51063146,-165.64012,-174.7872341
1294000000,-88.72452963,-165.84778,-174.9339939
1295000000,-88.93844811,-165.97005,-175.080812
1296000000,-89.15238694,-165.8967,-175.2276107
1297000000,-89.36634613,-166.1825,-175.3745065
1298000000,-89.58032572,-166.42383,-175.5214023
1299000000,-89.79432575,-166.4193,-175.668337
1300000000,-90.00834623,-166.41637,-175.8152911
1301000000,-90.22238722,-166.65709,-175.9623035
1302000000,-90.43644873,-166.79483,-176.1093159
1303000000,-90.6505308,-166.89795,-176.2563865
1304000000,-90.86463345,-167.09515,-176.403496
1305000000,-91.07875673,-167.38843,-176.550625
1306000000,-91.29290065,-167.2343,-176.6977928
1307000000,-91.50706526,-167.4377,-176.8449995
1308000000,-91.72125059,-167.59094,-176.9922256
1309000000,-91.93545666,-167.70084,-177.1394711
1310000000,-92.1496835,-167.87032,-177.2867749
1311000000,-92.36393116,-167.98813,-177.4341176
1312000000,-92.57819965,-168.13823,-177.5814991
1313000000,-92.79248902,-167.99586,-177.7288806
1314000000,-93.00679928,-168.25252,-177.876301
1315000000,-93.22113049,-168.45572,-178.0237796
1316000000,-93.43548266,-168.70735,-178.1712777
1317000000,-93.64985583,-168.66092,-178.3188147
1318000000,-93.86425003,-168.94991,-178.4663905
1319000000,-94.07866529,-169.15129,-178.6139663
1320000000,-94.29310165,-169.34686,-178.7616198
1321000000,-94.50755913,-169.13216,-178.9092927
1322000000,-94.72203777,-169.47578,-179.0569851
1323000000,-94.9365376,-169.59073,-179.2047163
1324000000,-95.15105865,-169.97636,-179.3525252
1325000000,-95.36560096,-169.75044,-179.5003147
1326000000,-95.58016455,-169.87743,-179.6481431
1327000000,-95.79474946,-170.08588,-179.7960103
1328000000,-96.00935573,-170.18124,-179.9439358
1329000000,-96.22398337,-170.2052,179.9081299
1330000000,-96.43863243,-170.4966,179.7601461
1331000000,-96.65330294,-170.57602,179.6121429
1332000000,-96.86799493,-170.7905,179.4640619
1333000000,-97.08270843,-170.8327,179.3160198
1334000000,-97.29744348,-170.9823,179.1678612
1335000000,-97.5122001,-171.09735,179.019722
1336000000,-97.72697833,-171.08846,178.8715633
1337000000,-97.94177821,-171.26146,178.723327
1338000000,-98.15659976,-171.459,178.5750712
1339000000,-98.37144302,-171.48827,178.4267571
1340000000,-98.58630802,-171.75175,178.2784625
1341000000,-98.80119479,-171.69434,178.1300902
1342000000,-99.01610337,-171.87743,177.9817178
1343000000,-99.23103379,-172.15163,177.8332483
1344000000,-99.44598608,-172.34969,177.6847982
1345000000,-99.66096028,-172.32941,177.5362899
1346000000,-99.87595641,-172.36418,177.3877427
1347000000,-100.0909745,-172.59933,177.2391761
1348000000,-100.3060146,-172.62553,177.0905706
1349000000,-100.5210768,-172.74796,176.9419068
1350000000,-100.736161,-172.9836,176.7932236
1351000000,-100.9512673,-173.16847,176.644521
1352000000,-101.1663958,-173.37921,176.4957795
1353000000,-101.3815464,-173.35641,176.3469797
1354000000,-101.5967192,-173.56316,176.1981605
1355000000,-101.8119143,-173.69742,176.0493219
1356000000,-102.0271316,-173.81189,175.9004056
1357000000,-102.2423713,-173.76157,175.7514698
1358000000,-102.4576333,-174.00316,175.6024952
1359000000,-102.6729176,-174.24475,175.4534817
1360000000,-102.8882244,-174.30913,175.3044488
1361000000,-103.1035536,-174.40041,175.1553576
1362000000,-103.3189052,-174.51691,175.006247
1363000000,-103.5342794,-174.86931,174.8570975
1364000000,-103.7496761,-174.86949,174.7079286
1365000000,-103.9650954,-174.88376,174.5587014
1366000000,-104.1805373,-175.1102,174.4094548
1367000000,-104.3960019,-175.25829,174.2601499
1368000000,-104.6114891,-175.23372,174.1108061
1369000000,-104.826999,-175.38757,173.961443
1370000000,-105.0425317,-175.49858,173.8120409
1371000000,-105.2580871,-175.6566,173.6625806
1372000000,-105.4736654,-175.74614,173.5131203
1373000000,-105.6892665,-175.95686,173.3635822
1374000000,-105.9048905,-176.14708,173.2140442
1375000000,-106.1205374,-176.1998,173.0644479
1376000000,-106.3362073,-176.20004,172.9147933
1377000000,-106.5519001,-176.40341,172.7651387
1378000000,-106.767616,-176.64359,172.6154452
1379000000,-106.9833549,-176.83466,172.4656935
1380000000,-107.1991169,-176.93663,172.3159223
1381000000,-107.414902,-177.11687,172.1660928
1382000000,-107.6307103,-177.10724,172.0162439
1383000000,-107.8465418,-177.28232,171.8663368
1384000000,-108.0623965,-177.21922,171.7164102
1385000000,-108.2782744,-177.55272,171.5664447
1386000000,-108.4941757,-177.66052,171.4164404
1387000000,-108.7101003,-177.66483,171.2663778
1388000000,-108.9260483,-177.98802,171.1163152
1389000000,-109.1420196,-178.02571,170.9661749
1390000000,-109.3580144,-178.09776,170.8160346
1391000000,-109.5740327,-178.30968,170.665836
1392000000,-109.7900745,-178.36182,170.5155986
1393000000,-110.0061398,-178.58081,170.3653223
1394000000,-110.2222288,-178.53386,170.2150265
1395000000,-110.4383413,-178.73006,170.0646531
1396000000,-110.6544775,-178.96429,169.9142602
1397000000,-110.8706373,-179.04832,169.7638285
1398000000,-111.0868209,-179.02116,169.6133579
1399000000,-111.3030282,-179.35847,169.4628873
1400000000,-111.5192594,-179.46507,169.312339
1401000000,-111.7355143,-179.59204,169.1617324
1402000000,-111.9517932,-179.77066,169.0111258
1403000000,-112.1680959,-179.79099,168.860461
1404000000,-112.3844226,-179.92178,168.7097573
1405000000,-112.6007732,179.9167,168.5589952
1406000000,-112.8171478,179.67882,168.4082527
1407000000,-113.0335465,179.78821,168.2574324
1408000000,-113.2499693,179.59215,168.1065732
1409000000,-113.4664162,179.27299,167.9556558
1410000000,-113.6828872,179.43118,167.8047189
1411000000,-113.8993825,179.02364,167.6537627
1412000000,-114.1159019,178.95009,167.5027287
1413000000,-114.3324456,178.82596,167.3516752
1414000000,-114.5490137,178.76874,167.2005635
1415000000,-114.765606,178.45976,167.0494518
1416000000,-114.9822227,178.56973,166.8982818
1417000000,-115.1988639,178.25812,166.7470535
1418000000,-115.4155295,178.34015,166.5958058
1419000000,-115.6322195,178.05582,166.4445193
1420000000,-115.8489341,177.91589,166.2931744
1421000000,-116.0656733,177.70534,166.1418101
1422000000,-116.282437,177.49335,165.9903876
1423000000,-116.4992254,177.53593,165.8389261
1424000000,-116.7160384,177.32613,165.6874453
1425000000,-116.9328761,177.49123,165.5359062
1426000000,-117.1497386,177.09888,165.3843088
1427000000,-117.3666259,177.04544,165.2326919
1428000000,-117.583538,177.10132,165.0810556
1429000000,-117.8004749,176.87131,164.9293417
1430000000,-118.0174367,176.68344,164.7776082
1431000000,-118.2344235,176.39221,164.6258165
1432000000,-118.4514352,176.4895,164.473986
1433000000,-118.6684719,176.26268,164.322136
1434000000,-118.8855337,176.15233,164.1702278
1435000000,-119.1026206,176.01299,164.0183001
1436000000,-119.3197325,175.72456,163.8663141
1437000000,-119.5368697,175.67128,163.7142893
1438000000,-119.754032,175.72363,163.5622061
1439000000,-119.9712196,175.53883,163.4100842
1440000000,-120.1884324,175.24901,163.2579428
1441000000,-120.4056705,175.10594,163.1057431
1442000000,-120.622934,175.10399,162.953524
1443000000,-120.8402229,175.05907,162.8012368
1444000000,-121.0575372,174.87862,162.6488915
1445000000,-121.2748769,174.6895,162.4965655
1446000000,-121.4922422,174.44772,162.3441424
1447000000,-121.709633,174.51373,162.1916901
1448000000,-121.9270494,174.2617,162.0392184
1449000000,-122.1444914,174.22467,161.8866982
1450000000,-122.361959,174.11005,161.7341002
1451000000,-122.5794524,173.92822,161.5815023
1452000000,-122.7969714,173.741,161.4288557
1453000000,-123.0145163,173.70847,161.2761509
1454000000,-123.232087,173.59331,161.1233878
1455000000,-123.4496835,173.41432,160.9706053
1456000000,-123.6673059,173.34459,160.8177742
1457000000,-123.8849542,173.2294,160.6649237
1458000000,-124.1026286,172.99898,160.5119954
1459000000,-124.3203289,172.83463,160.3590478
1460000000,-124.5380552,172.63934,160.2060321
1461000000,-124.7558077,172.59984,160.052997
1462000000,-124.9735863,172.53673,159.8999036
1463000000,-125.191391,172.47116,159.7467714
1464000000,-125.409222,172.1246,159.59361
1465000000,-125.6270792,172.0518,159.4404001
1466000000,-125.8449627,172.00365,159.2871416
1467000000,-126.0628725,171.69032,159.1338345
1468000000,-126.2808087,171.70738,158.9804982
1469000000,-126.4987713,171.57266,158.8270843
1470000000,-126.7167603,171.49178,158.6736509
1471000000,-126.9347758,171.27386,158.5201787
1472000000,-127.1528179,171.21509,158.3666676
1473000000,-127.3708865,171.06912,158.2130983
1474000000,-127.5889817,171.08939,158.0594803
1475000000,-127.8071036,170.74886,157.9058138
1476000000,-128.0252522,170.72768,157.7521279
1477000000,-128.2434275,170.65034,157.5983934
1478000000,-128.4616296,170.52164,157.4446006
1479000000,-128.6798585,170.2439,157.2907689
1480000000,-128.8981142,170.24747,157.136879
1481000000,-129.1163968,170.01424,156.9829794
1482000000,-129.3347064,169.92691,156.829002
1483000000,-129.553043,169.72163,156.6749955
1484000000,-129.7714065,169.65433,156.5209307
1485000000,-129.9897972,169.49954,156.3668368
1486000000,-130.2082149,169.51448,156.2126846
1487000000,-130.4266598,169.33437,156.0584838
1488000000,-130.6451318,169.10165,155.9042442
1489000000,-130.8636311,169.03032,155.7499754
1490000000,-131.0821576,168.91927,155.5956581
1491000000,-131.3007115,168.63741,155.441263
1492000000,-131.5192927,168.64262,155.2868485
1493000000,-131.7379013,168.52309,155.1324049
1494000000,-131.9565374,168.30814,154.9778932
1495000000,-132.1752009,168.13232,154.8233428
1496000000,-132.3938919,168.09917,154.6687146
1497000000,-132.6126105,167.90295,154.5140961
1498000000,-132.8313567,167.99925,154.3594096
1499000000,-133.0501305,167.81738,154.2046357
1500000000,-133.2689321,167.52185,154.0498521
1501000000,-133.4877613,167.38593,153.8950393
1502000000,-133.7066184,167.22357,153.7401585
1503000000,-133.9255033,167.17393,153.5852195
1504000000,-134.144416,167.01035,153.4302707
1505000000,-134.3633566,166.92998,153.275254
1506000000,-134.5823252,166.86623,153.1201789
1507000000,-134.8013217,166.62491,152.965065
1508000000,-135.0203463,166.60994,152.8099123
1509000000,-135.239399,166.51439,152.6546915
1510000000,-135.4584798,166.24655,152.4994611
1511000000,-135.6775887,166.19563,152.3441626
1512000000,-135.8967258,165.96341,152.1888156
1513000000,-136.1158912,165.89891,152.0334102
1514000000,-136.3350849,165.83348,151.8779758
1515000000,-136.554307,165.52686,151.7224927
1516000000,-136.7735574,165.34769,151.5669514
1517000000,-136.9928362,165.42784,151.4113615
1518000000,-137.2121435,165.15428,151.2557134
1519000000,-137.4314793,164.88885,151.1000555
1520000000,-137.6508437,164.87637,150.9443296
1521000000,-137.8702367,164.70418,150.7885551
1522000000,-138.0896583,164.58058,150.6327321
1523000000,-138.3091086,164.44379,150.4768508
1524000000,-138.5285876,164.34142,150.3209501
1525000000,-138.7480954,164.2066,150.1649716
1526000000,-138.9676321,164.26372,150.0089543
1527000000,-139.1871976,163.97659,149.8528884
1528000000,-139.406792,163.94176,149.6967934
1529000000,-139.6264154,163.66399,149.540611
1530000000,-139.8460678,163.75529,149.3844188
1531000000,-140.0657492,163.58186,149.2281489
1532000000,-140.2854597,163.62341,149.0718402
1533000000,-140.5051994,163.28381,148.9154829
1534000000,-140.7249682,163.16869,148.7590868
1535000000,-140.9447663,163.00822,148.6026226
1536000000,-141.1645937,162.6655,148.4461293
1537000000,-141.3844503,162.73564,148.289568
1538000000,-141.6043364,162.52943,148.1329484
1539000000,-141.8242518,162.33745,147.9763094
1540000000,-142.0441967,162.39984,147.8195927
1541000000,-142.2641711,162.03552,147.6628663
1542000000,-142.4841751,161.98492,147.5060524
1543000000,-142.7042087,161.77328,147.3492191
1544000000,-142.9242719,161.86316,147.1922984
1545000000,-143.1443648,161.54036,147.035368
1546000000,-143.3644874,161.50473,146.8783501
1547000000,-143.5846398,161.27031,146.7213032
1548000000,-143.804822,161.35809,146.5642173
1549000000,-144.0250341,161.3308,146.4070537
1550000000,-144.2452762,161.05658,146.2498416
1551000000,-144.4655482,160.8091,146.0925809
1552000000,-144.6858502,160.78897,145.9352813
1553000000,-144.9061823,160.40337,145.7779138
1554000000,-145.1265445,160.61438,145.6205171
1555000000,-145.3469368,160.30148,145.4630621
1556000000,-145.5673594,160.09114,145.3055488
1557000000,-145.7878122,160.05565,145.1479773
1558000000,-146.0082953,159.94679,144.9903669
1559000000,-146.2288088,159.60208,144.8327176
1560000000,-146.4493526,159.62708,144.6750295
1561000000,-146.6699269,159.5999,144.5172442
1562000000,-146.8905317,159.53358,144.3594201
1563000000,-147.111167,159.49146,144.2015474
1564000000,-147.3318329,159.10757,144.0436359
1565000000,-147.5525295,159.02769,143.8856757
1566000000,-147.7732567,158.90228,143.7276476
1567000000,-147.9940147,158.71965,143.5695612
1568000000,-148.2148035,158.59192,143.4114457
1569000000,-148.4356231,158.61302,143.2532427
1570000000,-148.6564735,158.31551,143.0950203
1571000000,-148.8773549,158.32932,142.9367397
1572000000,-149.0982673,158.03217,142.7784007
1573000000,-149.3192107,158.11903,142.6199937
1574000000,-149.5401852,157.84442,142.4615673
1575000000,-149.7611908,157.74829,142.3030535
1576000000,-149.9822275,157.77411,142.1445009
1577000000,-150.2032955,157.48788,141.9858899
1578000000,-150.4243948,157.31732,141.8272692
1579000000,-150.6455254,157.1386,141.668532
1580000000,-150.8666874,157.06615,141.5097753
1581000000,-151.0878807,157.09004,141.3509604
